id,destination,origin,year,migrants
245,66,77,1990,0
246,66,12,1990,592
247,66,78,1990,13
248,66,13,1990,12
249,66,3,1990,1508
250,66,79,1990,12
251,66,29,1990,918
252,66,67,1990,1418
253,66,95,1990,22
254,66,151,1990,44
255,66,4,1990,14
256,66,53,1990,92349
257,66,147,1990,15
258,66,105,1990,2857
259,66,30,1990,8666
260,66,152,1990,67
261,66,116,1990,53
262,66,153,1990,22
263,66,135,1990,360
264,66,80,1990,0
265,66,136,1990,7
266,66,106,1990,693
267,66,172,1990,9703
268,66,173,1990,154
269,66,174,1990,9
270,66,107,1990,864
271,66,117,1990,0
272,66,137,1990,252
273,66,96,1990,99
274,66,54,1990,43774
275,66,81,1990,485
276,66,14,1990,178
277,66,31,1990,30293
278,66,176,1990,1550
279,66,137,1990,386
280,66,39,1990,782
281,66,118,1990,4
282,66,82,1990,28
283,66,83,1990,1722
284,66,108,1990,364
285,66,142,1990,8202
286,66,97,1990,38
287,66,138,1990,6
288,66,119,1990,57
289,66,40,1990,206
290,66,148,1990,13
291,66,120,1990,703
292,66,41,1990,0
293,66,42,1990,880
294,66,68,1990,4939
295,66,139,1990,14
296,66,155,1990,346
297,66,15,1990,1827
298,66,69,1990,100832
299,66,156,1990,1363
300,66,55,1990,0
301,66,56,1990,2205
302,66,84,1990,8
303,66,98,1990,206
304,66,157,1990,166
305,66,158,1990,38
306,66,110,1990,10
307,66,85,1990,35
308,66,99,1990,54
309,66,32,1990,14405
310,66,43,1990,104
311,66,5,1990,7478
312,66,6,1990,8535
313,66,16,1990,3043
314,66,44,1990,544
315,66,17,1990,1412
316,66,57,1990,18566
317,66,86,1990,115
318,66,177,1990,1636
319,66,18,1990,412
320,66,167,1990,608
321,66,121,1990,542
322,66,19,1990,140
323,66,168,1990,357
324,66,46,1990,445
325,66,20,1990,1015
326,66,149,1990,3
327,66,159,1990,150
328,66,143,1990,254
329,66,70,1990,208
330,66,47,1990,501
331,66,71,1990,420
332,66,122,1990,42
333,66,123,1990,21
334,66,7,1990,5
335,66,160,1990,54
336,66,58,1990,60
337,66,161,1990,19
338,66,124,1990,63
339,66,100,1990,832
340,66,72,1990,14
341,66,59,1990,12031
342,66,144,1990,1061
343,66,125,1990,37
344,66,150,1990,101
345,66,8,1990,323
346,66,73,1990,4668
347,66,101,1990,115
348,66,162,1990,4673
349,66,60,1990,12075
350,66,48,1990,533
351,66,21,1990,17
352,66,9,1990,2651
353,66,102,1990,34
354,66,111,1990,125
355,66,112,1990,930
356,66,179,1990,7633
357,66,33,1990,33851
358,66,61,1990,949
359,66,88,1990,3
