"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
southeastern asia,920,3826278,4753131,5881894,7136416,9011911,10329729,11903748
brunei darussalam,96,15605,21035,27186,26586,26048,26000,25825
cambodia,116,174749,205878,223794,319678,450385,505718,513004
indonesia,360,948258,1103287,1344276,1544224,1903542,2272231,2560770
lao peoples democratic republic,418,237312,270215,317564,421459,553800,592231,571192
malaysia,458,275352,401165,539648,631301,739362,816165,805157
myanmar,104,376108,494608,656671,960444,1392913,1593428,2323899
philippines,608,826634,1041934,1307609,1609037,2149714,2533069,2804967
singapore,702,74549,79794,91193,113294,136184,157614,166831
thailand,764,121071,155785,197201,230013,282453,348078,423456
timorleste,626,5921,39834,74436,50254,19023,20585,21796
viet nam,704,770719,939596,1102316,1230126,1358487,1464610,1686851
southern asia,5501,14296925,13063794,14057056,15523113,20886100,24330659,27404198
afghanistan,4,4133232,2372554,2610780,2282977,2867554,2902913,3226319
bangladesh,50,3162454,3161768,3192999,3263197,4104883,4505672,4971930
bhutan,64,13921,59851,61414,61514,46979,26218,26295
india,356,3806446,4113683,4624266,5803858,8500709,10356573,11732041
iran,364,362151,419763,456613,493083,530244,617010,708864
maldives,462,1697,1215,698,1126,1712,1685,1745
nepal,524,389292,453518,524840,676438,873613,1239154,1461696
pakistan,586,1969314,1993435,2060394,2304528,3136466,3743863,4147071
sri lanka,144,458418,488007,525052,636392,823940,937571,1128237
western asia,922,5751011,6433589,6997654,7545912,8781728,11946484,13944020
armenia,51,436813,456359,469987,487642,493848,507143,513437
azerbaijan,31,767905,843058,846926,756699,618392,606730,623400
bahrain,48,6118,13253,24582,27091,27727,29822,23771
cyprus,196,90729,83474,76411,76384,81809,79109,83014
georgia,268,446500,480830,502617,453879,405507,411330,428794
iraq,368,343128,411368,469465,746216,1365619,910222,1038010
israel,376,138265,144213,151741,160875,171967,169899,185213
jordan,400,187186,205575,226138,277273,385170,449065,516954
kuwait,414,45219,55486,66324,76100,108844,118278,129614
lebanon,422,291678,302457,315472,352390,414002,447670,506899
oman,512,6431,7228,8238,10002,11165,11967,13574
qatar,634,6018,6690,7489,8915,10713,11902,13145
saudi arabia,682,57684,74204,89831,105465,125982,154312,165183
state of palestine,275,888096,1129279,1400058,1666877,1805760,1972565,2112254
syrian arab republic,760,354582,379174,407236,484324,647361,3664034,4869975
turkey,792,1349675,1470656,1525093,1374195,1432749,1587410,1766026
united arab emirates,784,44671,57415,66226,69562,83884,94400,107455
yemen,887,290313,312870,343820,412023,591229,720626,847302
europe,908,22438898,22816174,23247653,24061192,25508453,26369327,29748898
eastern europe,923,11228730,10857238,10575403,11423677,12346406,12864866,14468129
belarus,112,815547,780219,735866,683202,622606,623669,630018
bulgaria,100,300350,312957,326504,426799,512180,496720,692856
czechia,203,272425,289839,324606,336590,335913,353286,436228
hungary,348,196559,201396,210583,228737,247593,292523,352495
poland,616,762917,792359,882240,1308371,1733144,1884117,2298995
"moldova, republic of",498,290609,297868,299267,342253,383845,430866,554320
romania,642,376790,459487,542472,986924,1580768,1567809,1874015
russian federation,643,5512948,4984699,4509883,4425027,4372877,4449268,4655021
slovakia,703,65915,95196,125238,128519,119280,157103,195564
ukraine,804,2634670,2643218,2618744,2557255,2438200,2609505,2778617
northern europe,924,2959183,2945625,3053954,3254617,3443327,3529209,3820591
channel islands,830,8755,7477,6316,7167,7744,8292,8836
denmark,208,91508,94661,100345,106327,111478,111890,122100
estonia,233,54294,60521,65057,67824,68652,84113,91437
faroe islands,234,2989,4113,5236,5200,5189,5736,5511
finland,246,101833,116149,125768,121279,115561,108794,123798
iceland,352,8613,10434,12764,14160,16160,18348,21173
ireland,372,413123,385333,361562,342406,328010,334784,341607
isle of man,833,5098,4363,3675,4167,4534,5185,5816
latvia,428,99917,105380,108961,121873,122669,165315,172595
lithuania,440,152568,150762,151578,179732,225126,244904,288652
norway,578,59772,65270,71032,77328,80335,82268,82789
sweden,752,87405,97040,112503,118935,129495,135980,147538
united kingdom,826,1873308,1844122,1929157,2088219,2228374,2223600,2408739
southern europe,925,5425783,6028232,6387954,5819357,5844716,6004592,7109579
albania,8,109414,281966,454773,517369,580912,576220,642626
andorra,20,1737,1939,2647,2741,3848,4200,5302
bosnia and herzegovina,70,427367,668720,732010,726700,760012,763150,820732
croatia,191,214109,362947,435683,399202,383471,375750,495533
gibraltar,292,5670,4889,4174,4743,5130,5766,6434
greece,300,533413,520579,506166,450195,408319,421173,567041
holy see,336,5,17,28,54,76,115,71
italy,380,1739388,1663871,1590861,1413246,1330202,1400582,1757002
malta,470,56490,55524,52311,49819,49396,47197,51684
montenegro,499,38819,70517,85403,70332,67741,61328,61547
north macedonia,807,216997,245834,266937,229907,259242,291278,357739
portugal,620,964178,986469,1021724,899359,987376,1010281,1074098
san marino,674,568,1132,1693,1298,864,1269,986
serbia,688,393867,480918,592896,491207,463834,406341,497564
slovenia,705,39956,47496,52205,52802,54436,61173,73387
spain,724,683805,635414,588443,510383,489857,578769,697833
western europe,926,2825202,2985079,3230342,3563541,3874004,3970660,4350599
austria,40,234319,227962,222934,227488,231771,233867,281323
belgium,56,156482,161376,172734,202650,218052,243956,276754
france,250,572481,645393,748629,833193,943288,1023721,1139109
germany,276,1341083,1413344,1520496,1629631,1719667,1689326,1784487
liechtenstein,438,1446,1304,1202,1307,1566,1565,1655
luxembourg,442,18542,19240,19991,26314,28889,32722,40460
monaco,492,2255,2388,2530,9580,13094,13915,15473
netherlands,528,353394,361252,372460,397891,427577,435630,484739
switzerland,756,145200,152820,169366,235487,290100,295958,326599
latin america and the caribbean,904,7544689,9726163,12182539,14495367,16857618,17582139,20697275
caribbean,915,1973524,2347284,2729146,2979365,3274934,3802917,4252967
anguilla,660,953,1116,1276,1220,1159,1350,1293
antigua and barbuda,28,9656,12194,14856,16580,18668,23792,29948
aruba,533,2606,2966,3395,4230,5880,7257,9326
bahamas,44,10606,12598,14737,15043,15388,18115,22329
barbados,52,40100,42423,44992,43951,45018,47152,45906
bonaire sint eustatius and saba,535,226,274,326,378,3150,3247,3657
"virgin islands, british",92,1340,1462,1603,1776,2173,2245,2343
cayman islands,136,187,363,559,590,658,796,863
cuba,192,399033,445646,499590,553465,618056,702390,822706
curaao,531,1025,1410,1885,2327,20929,3141,3800
dominica,212,18576,20399,22384,28772,31285,30442,32456
dominican republic,214,196168,283859,376036,430576,496745,608480,664406
grenada,308,19599,24526,28883,28858,27905,30025,27572
guadeloupe,312,2558,2893,3235,3662,4393,4674,4953
haiti,332,292687,361848,433429,515654,587744,793349,964896
jamaica,388,267945,324401,385488,402827,427047,440347,475022
martinique,474,5607,6043,6498,6637,6756,5516,5623
montserrat,500,3363,5193,7083,7090,7844,8863,10680
puerto rico,630,574579,637593,688171,710802,737672,841611,905682
saint barthlemy,652,0,0,0,0,0,0,0
saint kitts and nevis,659,8702,11466,14309,15279,16120,18114,22359
saint lucia,662,10050,13822,17671,20493,21372,24201,29632
saint martin french part,663,0,0,0,0,0,0,0
saint vincent and the grenadines,670,17889,22245,26215,26629,25950,29062,25768
sint maarten dutch part,534,344,446,591,623,1563,932,1065
trinidad and tobago,780,87571,109768,133408,139303,148434,154574,137377
turks and caicos islands,796,1004,679,345,525,949,1036,1136
united states virgin islands,850,1150,1651,2181,2075,2076,2206,2169
central america,916,3539221,4886482,6477478,7424343,8489498,8439482,8312535
belize,84,15084,17640,20421,22256,24357,26615,22097
costa rica,188,29052,35626,44546,50583,56633,59116,64129
el salvador,222,608473,463004,480184,568376,670201,753461,794168
guatemala,320,175814,234806,297854,375251,463621,557854,676642
honduras,340,66801,106313,148387,195742,249972,305667,401073
mexico,484,2358111,3746874,5172990,5877135,6668397,6358119,5947873
nicaragua,558,219504,216401,245092,269682,287563,305105,338488
panama,591,66382,65818,68004,65318,68754,73545,68065
south america,931,2031944,2492397,2975915,4091659,5093186,5339740,8131773
argentina,32,203580,230267,268387,397540,463178,462826,525891
bolivia plurinational state of,68,115446,144466,174719,265889,368682,390857,435335
brazil,76,221394,323017,406768,511722,632242,637038,801922
chile,152,248431,245982,246871,260036,271267,291195,306204
colombia,170,458639,556126,658250,859318,1177853,1234218,1376442
ecuador,218,105646,159665,217734,478800,556323,538153,531506
falkland islands malvinas,238,139,336,528,467,515,578,636
french guiana,254,1250,1390,1548,1612,1666,1847,1904
guyana,328,110591,139840,171419,185054,204145,222385,201232
paraguay,600,131474,147026,162710,238432,329005,363105,384808
peru,604,149436,231433,311609,437143,563929,605953,665107
suriname,740,86610,91317,98738,115287,116117,112784,120783
uruguay,858,116499,114568,115418,146441,161309,167247,174801
venezuela bolivarian republic of,862,82809,106964,141216,193918,246955,311554,2605202
northern america,905,1265636,1332584,1428451,1621606,1828799,1860379,2021487
bermuda,60,34691,20705,6962,7391,7588,8007,10312
canada,124,364830,393811,427501,452582,482978,479163,499038
greenland,304,3771,4552,5412,6038,6484,7154,7658
saint pierre and miquelon,666,238,246,260,219,189,222,242
