,destination,destination_id,origin,origin_id,1990,1995,2000,2005,2010,2015,2020
6557,burundi,116,belgium,67,642,621,475,466,497,605,718
6558,burundi,116,congo,137,36654,41447,37951,99099,147611,175768,199585
6559,burundi,116,france,68,321,310,237,232,248,302,358
6560,burundi,116,kenya,121,186,216,202,502,847,1032,1226
6561,burundi,116,rwanda,126,221943,160197,66415,61104,54794,64363,76567
6562,burundi,116,uganda,130,1833,1546,949,805,731,891,1058
6563,burundi,116,"tanzania, united republic of",131,11912,9780,5692,13732,22974,28008,33318
6613,comoros,117,france,68,543,538,532,509,486,482,479
6614,comoros,117,kenya,121,87,86,85,81,77,76,74
6615,comoros,117,madagascar,122,10810,10701,10595,10142,9689,9651,9605
6617,comoros,117,"tanzania, united republic of",131,163,162,160,153,146,145,143
6667,djibouti,118,ethiopia,120,13405,10943,11023,10103,11222,11676,12578
6668,djibouti,118,somalia,128,101216,82625,83230,76278,84725,88152,94976
6669,djibouti,118,yemen,28,289,236,238,219,242,6157,5322
6719,eritrea,119,angola,134,247,433,620,424,286,346,301
6720,eritrea,119,burundi,116,618,1141,1663,1189,864,1044,913
6721,eritrea,119,china,172,8,53,98,102,112,135,117
6722,eritrea,119,comoros,117,27,60,93,125,159,192,166
6723,eritrea,119,congo,137,407,816,1224,1273,1392,1685,1474
6724,eritrea,119,ethiopia,120,1284,687,91,1554,90,108,94
6725,eritrea,119,france,68,108,159,211,283,360,436,380
6726,eritrea,119,india,5,39,54,70,83,99,119,103
6727,eritrea,119,kenya,121,187,202,217,248,290,351,305
6728,eritrea,119,malawi,123,114,228,343,487,637,771,673
6729,eritrea,119,mozambique,125,3537,2218,896,876,913,1105,966
6730,eritrea,119,rwanda,126,991,703,414,385,385,467,407
6731,eritrea,119,somalia,128,1438,1607,1775,3657,4691,2485,2156
6732,eritrea,119,south africa,115,97,143,189,136,101,122,106
6733,eritrea,119,zimbabwe,133,82,125,168,215,268,324,282
6734,eritrea,119,south sudan,129,933,1109,1284,1214,1229,1487,1300
6735,eritrea,119,sudan,145,131,155,180,170,172,208,181
6736,eritrea,119,uganda,130,175,682,1190,1187,1257,1521,1331
6737,eritrea,119,united kingdom,50,34,38,43,44,47,56,48
6738,eritrea,119,"tanzania, united republic of",131,218,296,375,394,434,525,459
6739,eritrea,119,zambia,132,91,121,151,172,199,241,209
6789,ethiopia,120,burundi,116,19,25,35,26,131,180,166
6790,ethiopia,120,congo,137,48,63,90,66,678,1581,1468
6791,ethiopia,120,eritrea,119,69681,34949,6843,10700,44934,205821,191256
