"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
southeastern asia,920,1511104,1916620,2614376,3497791,4544819,5356686,5643257
brunei darussalam,96,41856,47832,53807,55265,56723,58181,63407
cambodia,116,19084,45361,71638,57545,43412,39854,42730
indonesia,360,229885,191600,153315,165287,176522,196717,206538
lao peoples democratic republic,418,11806,12199,11564,10930,20133,29335,31393
malaysia,458,405808,534964,822679,1133541,1469977,1996220,2156265
myanmar,104,72310,61489,52150,44506,41574,40178,41898
philippines,608,81347,107524,161904,133023,107933,109783,117105
singapore,702,345842,456411,601671,758762,956856,1096394,1112517
thailand,764,283486,426290,647728,1102248,1629881,1742708,1821857
timorleste,626,4450,4763,5095,5578,5837,5148,5076
viet nam,704,15230,28187,32825,31106,35971,42168,44471
southern asia,5501,10283173,7987547,7798733,6981986,7326556,7007526,7042488
afghanistan,4,32558,39105,42848,49281,57726,171550,69189
bangladesh,50,476097,503989,531907,572146,710548,751741,1093978
bhutan,64,19409,22804,26200,32742,39283,43396,45524
india,356,3967470,3608978,3303591,2931489,2699495,2474515,2273912
iran islamic republic of,364,2369093,1612428,1365390,1401736,1490419,1487403,1517518
maldives,462,4777,9243,14907,27079,41712,56345,61437
nepal,524,125966,217088,241959,235852,191167,156361,146930
pakistan,586,3264380,1951223,2249960,1710343,2075512,1845470,1812804
sri lanka,144,23423,22689,21971,21318,20694,20745,21196
western asia,922,8906428,9941901,11003367,13252419,20004053,25846271,30148030
armenia,51,270535,284995,270170,191432,85669,77436,78085
azerbaijan,31,157856,149509,141161,135143,129512,126656,121007
bahrain,48,122730,144227,165344,288614,481344,529546,694238
cyprus,196,20463,27604,34745,53532,82477,77357,85679
georgia,268,133285,66643,33321,31215,31993,33570,34879
iraq,368,55751,114821,120464,81877,74535,209217,201427
israel,376,770777,830330,853712,867805,892887,912899,886517
jordan,400,586473,784725,982977,1119171,1416784,1594808,1756637
kuwait,414,654878,591452,761512,918718,1312111,1901855,2063430
lebanon,422,267922,310613,353305,382830,413057,921661,839706
oman,512,242477,417444,488389,527845,658753,1552000,1984025
qatar,634,225932,269972,274242,498428,1206571,1416361,1842785
saudi arabia,682,3324873,3416485,3517768,4469805,5933281,7461502,9235130
state of palestine,275,132101,128328,124555,124608,124660,124710,124737
syrian arab republic,760,364077,423115,427981,452524,910982,426967,432279
turkey,792,577329,593938,616007,621694,629868,2390166,3124165
united arab emirates,784,931959,1309868,1757200,2388299,5463446,5890170,6419792
yemen,887,67010,77832,80514,98879,156123,199390,223512
europe,908,24119388,25913001,27501320,30770997,34086590,35808075,41979164
eastern europe,923,10199700,10013084,9695286,9358006,9035538,9395960,9978380
belarus,112,572021,543307,514593,506988,499384,495961,488713
bulgaria,100,9047,13642,18238,26594,33841,60058,91585
czechia,203,57405,88316,119227,181719,236160,239228,312941
hungary,348,156185,147202,138219,174216,210212,235719,303065
