Unnamed: 0,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020,latitude,longitude
34,botswana,72,27510,40168,74934,84661,94863,103053,110268,-23.1681782,24.5928742
35,eswatini,748,74991,35157,34084,33392,32637,32352,32858,-26.5624806,31.3991317
36,lesotho,426,8240,7204,6167,6290,6414,9152,12060,-29.6039267,28.3350193
37,namibia,516,120641,115372,135547,107347,103826,101618,109391,-23.2335499,17.3231107
38,south africa,710,1163883,1003807,1016963,1351031,2114801,3231728,2860495,-28.8166236,24.991639
39,benin,204,76751,105703,134655,248320,309225,366284,394276,9.5293472,2.2584408
40,burkina faso,854,349652,464104,520363,597658,674438,704676,723989,12.0753083,-1.6880314
41,cabo verde,132,8931,9979,11027,12700,14373,14924,15788,16.0000552,-24.0083947
42,cote divoire,384,1816426,2076394,2163644,2265090,2366537,2470613,2564857,,
43,gambia,270,118123,150890,182514,181839,185837,192540,215659,16.0000552,-24.0083947
44,ghana,288,164851,252879,191601,309932,337766,414744,476412,13.470062,-15.4900464
45,guinea,324,403621,774505,560075,233419,178762,126657,121437,8.0300284,-1.0800271
46,guineabissau,624,15368,27961,20450,20902,21391,22333,17945,10.7226226,-10.7083587
47,liberia,430,94964,208563,151868,87217,99165,112111,87947,,
48,mali,466,160736,176187,189475,258630,341078,420504,485829,10.7226226,-10.7083587
49,mauritania,478,111650,89562,57366,58211,84920,166552,182286,5.7499721,-9.3658524
50,niger,562,115464,145999,122260,124509,126482,252998,348056,16.3700359,-2.2900239
51,nigeria,566,456621,462999,487882,969714,990494,1199115,1308568,20.2540382,-9.2399263
52,saint helena,654,178,117,108,163,248,377,437,17.7356214,9.3238432
53,senegal,686,270410,287654,231901,238298,256092,266496,274929,9.6000359,7.9999721
54,sierra leone,694,222148,98516,97974,146227,79265,58830,53746,-15.9694573,-5.7129442
55,togo,768,84844,101583,137968,204219,255564,277384,279936,14.4750607,-14.4529612
56,kazakhstan,398,3619200,3251968,2874194,3103027,3334937,3546060,3732073,8.6400349,-11.8400269
57,kyrgyzstan,417,623083,518338,389824,309399,232065,204382,199011,8.7800265,1.0199765
58,tajikistan,762,428900,348347,299499,280466,279808,275101,276031,48.1012954,66.7780818
59,turkmenistan,795,306500,273565,219067,213053,197979,196376,194920,41.5089324,74.724091
60,uzbekistan,860,1653000,1512577,1406498,1329932,1220149,1170873,1162007,38.6281733,70.8156541
61,china,156,376361,442198,508034,678947,849861,978046,1039675,39.3763807,59.3924609
62,china hong kong sar,344,2218473,2443798,2669122,2721235,2779950,2841113,2962492,41.32373,63.9528098
63,china macao sar,446,205047,224929,240791,279308,318506,376066,403490,35.000074,104.999927
64,dem peoples republic of korea,408,34103,35143,36183,40097,44010,48458,49549,22.350627,114.1849161
65,japan,392,1075317,1362371,1686444,2011555,2134151,2232189,2770996,22.2926605,113.9324305
66,mongolia,496,6718,7424,8206,11477,16062,19886,21345,,
67,republic of korea,410,43247,123886,244224,486065,919987,1370905,1728182,22.2926605,113.9324305
68,brunei darussalam,96,73200,84748,96296,98441,100587,102733,111959,36.5748441,139.2394179
69,cambodia,116,38375,92230,146085,114096,82028,73962,79341,46.8250388,103.8499736
70,indonesia,360,465612,378960,292307,289310,307487,338124,355505,36.638392,127.6961188
71,lao peoples democratic republic,418,22866,23526,21948,20371,32955,45538,48731,4.4137155,114.5653908
72,malaysia,458,695920,937368,1463598,1918504,2417395,3280681,3476560,12.5433216,104.8144914
73,myanmar,104,133545,113663,98011,83025,76414,73309,76446,-2.4833826,117.8902853
74,philippines,608,154071,207345,318095,257468,208599,211862,225525,,
75,singapore,702,727262,991492,1351691,1710594,2164794,2483405,2523648,-2.4833826,117.8902853
76,thailand,764,528693,809720,1257821,2195610,3234381,3470220,3632496,4.5693754,102.2656823
77,timorleste,626,8954,9743,10602,11286,11540,8520,8399,17.1750495,95.9999652
78,viet nam,704,28118,51262,56754,51768,61756,72793,76767,12.7503486,122.7312101
79,afghanistan,4,57686,71522,75917,87314,102276,339432,144098,1.357107,103.8194992
80,bangladesh,50,881617,934735,987853,1062270,1345546,1422179,2115408,14.8971921,100.83273
81,bhutan,64,23807,27972,32137,40279,48420,51106,53612,,
82,india,356,7594801,6952238,6411331,5936740,5574018,5210847,4878704,14.8971921,100.83273
83,iran islamic republic of,364,4291601,2937668,2476469,2552206,2722397,2729939,2797235,15.9266657,107.9650855
84,maldives,462,8689,18510,27092,45045,54659,64273,70079,33.7680065,66.2385139
85,nepal,524,429974,690225,717900,680729,581889,509471,487564,24.4769288,90.2934413
86,pakistan,586,6208204,3669308,4181912,3174558,3943681,3506520,3276580,27.549511,90.5119273
87,sri lanka,144,41561,40841,40132,39526,38959,39706,40254,22.3511148,78.6677428
88,armenia,51,658789,693999,657900,469189,211147,191199,190349,32.6475314,54.5643516
89,azerbaijan,31,360600,344070,327540,301834,276901,264359,252228,3.7203503,73.2244152
90,bahrain,48,173212,205979,239361,404018,666406,722487,936094,28.1083929,84.0917139
91,cyprus,196,43805,61941,80076,122849,188472,176693,190366,30.3308401,71.247499
92,georgia,268,304470,152235,76117,71296,73078,76685,79368,7.877395849999999,80.66247852355892
93,iraq,368,83638,199460,210525,134863,120466,359352,365766,40.7696272,44.6736646
94,israel,376,1632704,1792185,1851309,1889503,1956190,2011727,1953575,40.3936294,47.7872508
95,jordan,400,1146349,1537097,1927845,2198740,2786853,3166961,3457691,26.1551249,50.5344606
96,kuwait,414,1074391,921954,1127640,1333530,1874812,2866136,3110159,34.9823018,33.1451285
97,lebanon,422,523693,608303,692913,742243,793191,1916259,1712762,32.3293809,-83.1137366
98,oman,512,304000,539643,623608,666164,816234,1856226,2372836,33.0955793,44.1749775
99,qatar,634,309753,361673,359697,646026,1456413,1687640,2226192,30.8124247,34.8594762
100,saudi arabia,682,4998445,5122702,5263387,6501819,8429956,10771366,13454842,31.1667049,36.941628
101,state of palestine,275,288332,281767,275202,274520,273840,273163,272784,29.2733964,47.4979476
102,syrian arab republic,760,714140,830610,834916,882398,1783595,835716,868711,33.8750629,35.843409
103,turkey,792,1163686,1216173,1280963,1324108,1373749,4346197,6052652,21.0000287,57.0036901
104,united arab emirates,784,1306574,1824118,2447010,3281115,7316697,7995126,8716332,25.3336984,51.2295295
105,yemen,887,118863,136515,144940,171871,288394,379882,387113,25.6242618,42.3528328
106,belarus,112,1248977,1186282,1123586,1106982,1090378,1082905,1067090,31.46242095,34.262716572130714
107,bulgaria,100,21510,32435,43360,61074,76287,123803,184363,34.6401861,39.0494106
108,czechia,203,110394,165592,220789,322540,398493,416454,540921,38.9597594,34.9249653
109,hungary,348,347510,322234,296957,366787,436616,475508,584567,24.0002488,53.9994829
110,poland,616,1127771,964725,825251,722509,642417,611855,817254,16.3471243,47.8915271
111,republic of moldova,498,544162,367231,247828,171122,129488,106374,104438,53.4250605,27.6971358
112,romania,642,135825,135037,134254,145162,177211,281048,705310,42.6073975,25.4856617
113,russian federation,643,11524948,11928927,11900297,11667588,11194710,11643276,11636911,49.7439047,15.3381061
114,slovakia,703,41295,69323,116376,130491,146319,177624,197161,47.1817585,19.5060937
115,ukraine,804,6892920,6172338,5527087,5050302,4818767,4915142,4997387,52.215933,19.134422
116,channel islands,830,61660,60519,64301,70941,77581,82307,84087,47.2879608,28.5670941
117,denmark,208,235189,303108,371026,440383,500772,595876,717574,45.9852129,24.6859225
118,estonia,233,381997,315755,249512,233701,217890,194664,199277,64.6863136,97.7453061
119,faroe islands,234,4285,2900,3593,4583,5096,5485,6812,48.7411522,19.4528646
120,finland,246,63255,99729,136203,192169,228481,314856,386052,49.4871968,31.2718321
121,iceland,352,9584,12738,15892,25492,35091,39072,65424,33.96579515,-120.09189711105296
122,ireland,372,227961,226892,350552,589046,730542,759256,871256,55.670249,10.3333283
123,isle of man,833,34769,36886,39002,41475,43447,42238,43040,58.7523778,25.3319078
124,latvia,428,646007,538093,430178,376725,313786,265418,239422,62.0448724,-7.0322972
125,lithuania,440,349258,273587,214311,201209,160772,136021,145184,63.2467777,25.9209164
126,norway,578,192587,233302,292440,361144,524601,746375,852238,64.9841821,-18.1059013
127,sweden,752,788767,936022,1003798,1125790,1337214,1602522,2003908,52.865196,-7.9794599
128,united kingdom,826,3650286,4155293,4730165,5926156,7119664,8406996,9359587,54.1936805,-4.5591148
129,albania,8,66013,71354,76695,64739,52784,52031,48810,56.8406494,24.7537645
130,andorra,20,38891,44206,42147,50298,52053,42264,45574,55.3500003,23.7499997
131,bosnia and herzegovina,70,56000,69476,82952,47287,38945,38597,36042,61.1529386,8.7876653
132,croatia,191,475438,674085,585298,579273,573248,561093,528056,59.6749712,14.5208584
