"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
world,900,75422690,79708475,85510752,93783747,107042306,119720586,134942261
subsaharan africa,947,6237924,6761344,6211237,6633203,7466593,9855568,10570519
northern africa and western asia,1833,7471631,7864355,8261331,8867261,11478799,14916129,17831662
central and southern asia,921,12913106,10604668,10013959,9459367,9859683,9662404,9699640
eastern and southeastern asia,1832,3327975,4148930,5340299,6543109,7894310,8926996,9670168
latin america and the caribbean,1830,3553754,3326324,3273509,3611615,4187157,4702854,7321202
oceania excluding australia and new zealand,1835,114440,127508,139830,144824,139717,142462,147564
australia and new zealand,927,2201841,2359437,2545236,2891102,3449346,3923349,4587233
europe and northern america,1829,39602019,44515909,49725351,55633266,62566701,67590824,75114273
developed regions,901,42340412,47557505,53160103,59604725,67177717,72696292,81125346
less developed regions,902,33082278,32150970,32350649,34179022,39864589,47024294,53816915
less developed regions excluding least developed countries,934,27572290,26293270,27320633,29358636,34617916,40272379,45667714
less developed regions excluding china,948,31695274,30541810,30521804,32194960,37715976,44724776,51344501
least developed countries,941,5509988,5857700,5030016,4820386,5246673,6751915,8149201
landlocked developing countries lldc,1636,7578670,6658264,6180896,6142167,6049745,7117801,7758651
small island developing states sids,1637,1097502,1342364,1643456,1936047,2289240,2525968,2671180
highincome countries,1503,37032388,42917272,49828008,57935930,68332225,75873719,86569390
middleincome countries,1517,33695021,32171195,31859584,32005226,34071846,38394173,41883420
uppermiddleincome countries,1502,17564670,17528553,17706861,18729961,20446343,24406428,27513056
lowermiddleincome countries,1501,16130351,14642642,14152723,13275265,13625503,13987745,14370364
lowincome countries,1500,4567244,4460769,3626920,3615509,4383766,5175361,6185645
africa,903,7410539,7737176,7054986,7336797,8263051,10720794,11950391
eastern africa,910,2889827,2413817,2363214,2240158,2337739,3319579,3835823
burundi,108,169843,130688,64534,98361,125559,151329,174642
comoros,174,7362,7325,7288,6923,6558,6484,6452
djibouti,262,57979,47298,47587,40779,48638,53270,56875
eritrea,232,5620,5858,6096,7302,7134,7108,6119
ethiopia,231,548106,382787,289165,244617,270679,570233,548710
kenya,404,136830,296556,354919,372990,481832,563977,520172
madagascar,450,10569,9276,10265,11314,12495,13805,15301
malawi,454,581204,125426,121090,115730,113853,103639,97750
mauritius,480,1850,4265,9838,10704,11648,12753,12890
mayotte,175,6449,11637,21928,31812,38257,43729,59931
mozambique,508,56272,77046,92527,138404,158366,166284,173360
runion,638,26486,36449,48414,55880,60322,62672,64917
rwanda,646,79261,105952,171335,209908,212853,258320,254000
seychelles,690,1517,2127,2737,3177,3616,3837,3914
somalia,706,234093,9245,9469,9670,22893,19406,26305
south sudan,728,0,0,0,0,111626,413168,438847
uganda,800,260936,298706,293421,301178,251027,435330,892649
united republic of tanzania,834,290635,558954,467784,284170,155256,193950,213010
zambia,894,136434,119009,168589,124267,74021,65456,90399
zimbabwe,716,278381,185213,176228,172972,171106,174829,179580
middle africa,911,716302,1307038,860019,958056,1195189,1650942,1830738
angola,24,15375,19058,22741,31595,174035,327543,325033
cameroon,120,120098,110846,103234,119374,129989,257035,292955
central african republic,140,31548,46737,57893,45110,44274,38421,42189
chad,148,34209,41286,48362,192385,230213,251328,297946
democratic republic of the congo,178,65075,95813,152773,145495,194068,176378,176203
democratic republic of the congo,180,391077,915584,379295,320650,305189,416052,493819
equatorial guinea,226,1275,1699,2123,3024,3924,48084,52902
gabon,266,55016,73627,91445,98717,112149,134904,148619
sao tome and principe,678,2629,2388,2153,1706,1348,1197,1072
northern africa,912,1172615,975832,843749,703594,796458,865226,1379872
algeria,12,123720,118336,112952,89294,102374,112951,118236
egypt,818,81838,78410,86550,119795,135913,146208,254385
libya,434,214368,207135,198486,179727,195889,221993,232740
morocco,504,25871,24096,25801,27736,35308,46037,49651
sudan,729,706511,527695,400468,268335,304157,308638,693970
tunisia,788,19084,18822,18040,17040,20936,27279,28671
western sahara,732,1223,1338,1452,1667,1881,2120,2219
southern africa,913,553453,483270,521843,672894,1000721,1571935,1352479
botswana,72,10896,16651,31094,35502,40844,44402,47451
eswatini,748,35086,16456,16163,16023,15847,15725,15937
lesotho,426,3922,3377,2832,2888,2945,4115,5523
namibia,516,56893,54062,62393,49722,48023,46879,50367
south africa,710,446656,392724,409361,568759,893062,1460814,1233201
western africa,914,2078342,2557219,2466161,2762095,2932944,3313112,3551479
benin,204,36333,49399,62465,125952,165593,194228,208657
burkina faso,854,181818,240948,269808,311787,353499,369348,379658
cabo verde,132,4502,4888,5274,6177,7080,7377,7803
cote divoire,384,804677,925684,965148,1010400,1056078,1102503,1144609
gambia,270,51817,68842,85376,85643,87714,91039,101893
ghana,288,81821,125456,94322,150405,157736,193718,222009
guinea,324,202361,387968,280967,119891,85495,52464,50052
guineabissau,624,7679,14128,10295,10522,10928,11507,9078
liberia,430,41040,96916,69739,36020,42263,48032,37253
mali,466,78687,85316,91723,125286,167990,207286,239521
mauritania,478,54081,42547,26203,25569,36174,72482,79083
niger,562,60242,76248,64068,65315,66440,133083,186037
nigeria,566,200455,204908,217671,405102,413846,541228,594890
saint helena,654,68,47,47,78,112,126,131
senegal,686,131570,140489,110409,113444,120213,125094,129338
sierra leone,694,99250,42579,43790,69518,35643,25753,23338
togo,768,41941,50856,68856,100986,126140,137844,138129
asia,935,22540097,21642121,22771840,24166143,28436334,32640303,35821598
central asia,5500,3658339,3249196,2861949,2822686,2774394,2796457,2878594
kazakhstan,398,1953036,1754513,1550614,1630207,1709782,1788232,1881976
kyrgyzstan,417,362667,301700,226897,181335,137469,121766,118555
tajikistan,762,240928,196453,167846,159063,158028,156462,156857
turkmenistan,795,172326,141443,116257,111839,107345,104845,102563
uzbekistan,860,929382,855087,800335,740242,661770,625152,618643
eastern asia,906,1962463,2365493,2841467,3290427,3741193,4122535,4698048
china,156,184407,219180,253952,299027,344103,377910,401723
china hong kong sar,344,1093929,1268711,1443493,1536114,1632411,1720131,1854522
china macao sar,446,108668,121269,131400,148921,172099,201477,216169
china taiwan province of china,158,0,0,0,0,0,0,0
dem peoples republic of korea,408,16710,17581,18452,20348,22244,24348,24895
japan,392,536552,682159,889516,1080357,1161670,1182119,1423840
mongolia,496,3299,3465,3642,3900,4182,6602,7082
republic of korea,410,18898,53128,101012,201760,404484,609948,769817
southeastern asia,920,1365512,1783437,2498832,3252682,4153117,4804461,4972120
brunei darussalam,96,31344,36916,42489,43176,43864,44552,48552
cambodia,116,19291,46869,74447,56551,38616,34108,36611
indonesia,360,235727,187360,138992,124023,130965,141407,148967
lao peoples democratic republic,418,11060,11327,10384,9441,12822,16203,17338
malaysia,458,290112,402404,640919,784963,947418,1284461,1320295
myanmar,104,61235,52174,45861,38519,34840,33131,34548
philippines,608,72724,99821,156191,124445,100666,102079,108420
singapore,702,381420,535081,750020,951832,1207938,1387011,1411131
thailand,764,245207,383430,610093,1093362,1604500,1727512,1810639
timorleste,626,4504,4980,5507,5708,5703,3372,3323
viet nam,704,12888,23075,23929,20662,25785,30625,32296
southern asia,5501,9254767,7355472,7152010,6636681,7085289,6865947,6821046
afghanistan,4,25128,32417,33069,38033,44550,167882,74909
bangladesh,50,405520,430746,455946,490124,634998,670438,1021430
bhutan,64,4398,5168,5937,7537,9137,7710,8088
india,356,3627331,3343260,3107740,3005251,2874523,2736332,2604792
iran islamic republic of,364,1922508,1325240,1111079,1150470,1231978,1242536,1279717
maldives,462,3912,9267,12185,17966,12947,7928,8642
nepal,524,304008,473137,475941,444877,390722,353110,340634
pakistan,586,2943824,1718085,1931952,1464215,1868169,1661050,1463776
sri lanka,144,18138,18152,18161,18208,18265,18961,19058
western asia,922,6299016,6888523,7417582,8163667,10682341,14050903,16451790
armenia,51,388254,409004,387730,277757,125478,113763,112264
azerbaijan,31,202744,194561,186379,166691,147389,137703,131221
bahrain,48,50482,61752,74017,115404,185062,192941,241856
cyprus,196,23342,34337,45331,69317,105995,99336,104687
georgia,268,171185,85592,42796,40081,41085,43115,44489
iraq,368,27887,84639,90061,52986,45931,150135,164339
israel,376,861927,961855,997597,1021698,1063303,1098828,1067058
jordan,400,559876,752372,944868,1079569,1370069,1572153,1701054
kuwait,414,419513,330502,366128,414812,562701,964281,1046729
lebanon,422,255771,297690,339608,359413,380134,994598,873056
oman,512,61523,122199,135219,138319,157481,304226,388811
qatar,634,83821,91701,85455,147598,249842,271279,383407
saudi arabia,682,1673572,1706217,1745619,2032014,2496675,3309864,4219712
state of palestine,275,156231,153439,150647,149912,149180,148453,148047
syrian arab republic,760,350063,407495,406935,429874,872613,408749,436432
turkey,792,586357,622235,664956,702414,743881,1956031,2928487
united arab emirates,784,374615,514250,689810,892816,1853251,2104956,2296540
yemen,887,51853,58683,64426,72992,132271,180492,163601
europe,908,25488837,27576826,29357473,32814734,36540570,38951008,44726904
eastern europe,923,11795612,11331040,10740499,10386551,10075148,10438029,10857022
belarus,112,676956,642975,608993,599994,590994,586944,578377
bulgaria,100,12463,18793,25122,34480,42446,63745,92778
czechia,203,52989,77276,101562,140821,162333,177226,227980
hungary,348,191325,175032,158738,192571,226404,239789,281502
poland,616,645595,560676,486928,425470,380154,355232,426805
republic of moldova,498,306109,211934,146731,103198,77290,62907,61695
romania,642,78224,74594,71133,75009,89544,134290,318364
russian federation,643,5869526,6003475,5917446,5860991,5680309,5928065,5924822
slovakia,703,23108,38792,65123,71775,79381,88613,96610
ukraine,804,3939317,3527493,3158723,2882242,2746293,2801218,2848089
northern europe,924,3469184,3790650,4189794,5024401,5847081,6843177,7716800
channel islands,830,32655,32051,34067,37330,40599,42969,43897
denmark,208,120778,155914,191049,227286,258743,304445,363098
estonia,233,210306,179487,148668,139457,130246,114640,112510
faroe islands,234,1845,1325,1672,2133,2396,2702,3270
finland,246,31573,50154,68734,95740,113376,155541,187230
iceland,352,5336,7011,8685,13079,17472,20002,29708
ireland,372,115868,118808,177593,279136,370102,382918,436500
isle of man,833,18398,19338,20277,21261,22086,21642,22053
latvia,428,355207,303877,252546,221980,189111,161407,142400
lithuania,440,184673,144946,113765,107020,91166,78513,72036
norway,578,93025,116080,147614,184700,257366,357005,413032
sweden,752,405682,485077,523587,587300,689210,815652,995902
united kingdom,826,1893838,2176582,2501537,3107979,3665208,4385741,4895164
southern europe,925,2277442,3270535,3992732,6152869,8329622,8388373,9310624
albania,8,35434,38070,40705,31746,25883,25514,23902
andorra,20,17901,20618,20054,23832,24766,20779,22241
bosnia and herzegovina,70,29462,36361,43261,24806,20364,20185,19162
croatia,191,252907,358352,310475,307628,304782,300620,282492
gibraltar,292,4181,4185,4189,4693,5198,5474,5534
greece,300,288101,412846,551871,603030,680418,672395,697817
holy see,336,386,399,411,417,408,414,437
italy,380,785805,965401,1144997,2134500,3124004,3167530,3421084
malta,470,8065,9374,11232,12661,15890,24310,48705
montenegro,499,0,0,0,0,46873,43541,43004
north macedonia,807,55481,63762,73280,74447,75634,76234,76571
portugal,620,225860,273485,331153,394410,391289,466424,522027
san marino,674,1582,1719,1870,1916,2119,2328,2552
serbia,688,52557,480846,540271,471760,461518,452261,460518
slovenia,705,88563,84164,99736,100477,108648,103156,115149
spain,724,431157,520953,819227,1966546,3041828,3007208,3569429
western europe,926,7946599,9184601,10434448,11250913,12288719,13281429,16842458
austria,40,424952,471591,518229,588240,667710,768586,889788
belgium,56,626040,636215,632093,627809,776925,913499,1021362
france,250,2897891,3041910,3185929,3436741,3755459,4069765,4394139
germany,276,2643053,3566009,4488965,4726269,4963574,5182457,7870822
liechtenstein,438,4950,6243,7503,9464,11475,12194,13258
luxembourg,442,57733,63814,70464,75667,81722,122759,146409
monaco,492,10888,11105,11329,10990,10807,13384,13704
netherlands,528,589920,677928,791035,892683,951246,1044005,1223929
switzerland,756,691172,709786,728901,883050,1069801,1154780,1269047
latin america and the caribbean,904,3553754,3326324,3273509,3611615,4187157,4702854,7321202
caribbean,915,492111,539446,589189,619659,654333,702214,752674
anguilla,660,1312,1733,2153,2474,2688,2877,3009
antigua and barbuda,28,6254,9504,12755,13689,14624,15558,16266
aruba,533,8015,12300,16585,17981,19016,20006,29286
bahamas,44,13028,15034,17040,21918,26862,29278,31422
barbados,52,13959,14989,16019,17049,18079,18987,19201
bonaire sint eustatius and saba,535,0,0,0,0,0,0,0
british virgin islands,92,3909,5012,6572,7615,8781,10122,11483
cayman islands,136,4728,6327,9505,10164,11752,12787,14225
cuba,192,17277,13628,10333,6541,4141,2622,1712
curaao,531,0,0,0,0,20434,22144,32252
dominica,212,1210,1498,1768,2253,3910,3878,3970
dominican republic,214,109474,124539,139603,147591,155671,195841,221252
grenada,308,2157,2798,3439,3478,3517,3555,3921
guadeloupe,312,33226,38318,43410,47792,52174,52276,52292
haiti,332,8478,8053,7650,7267,7630,8011,8385
jamaica,388,10494,11471,12449,12036,11653,11400,11621
martinique,474,19614,24328,29041,31143,33245,39742,39425
montserrat,500,984,787,589,605,627,655,668
puerto rico,630,168555,177328,186558,185364,162030,149578,132264
saint barthlemy,652,0,0,0,0,0,0,0
saint kitts and nevis,659,1568,2052,2803,3181,3439,3527,3659
saint lucia,662,2687,3592,4911,4998,4673,4494,4334
saint martin french part,663,0,0,0,0,0,0,0
saint vincent and the grenadines,670,2042,2124,2208,2238,2267,2282,2295
sint maarten dutch part,534,0,0,0,6814,13633,14218,15023
trinidad and tobago,780,27138,24691,22465,24165,25074,25557,39670
turks and caicos islands,796,2442,3396,4350,6328,8309,10964,12423
united states virgin islands,850,27146,28481,29881,29921,29962,29993,30009
central america,916,926578,655672,552691,689856,875999,935476,1136071
belize,84,14011,15934,17857,20386,22915,27142,30833
costa rica,188,205455,179802,154148,181953,209724,214084,257093
el salvador,222,25142,20973,16804,18995,21185,22053,22423
guatemala,320,151642,89275,26908,31166,35467,39124,44395
honduras,340,132850,73365,13880,13458,12982,18207,18620
mexico,484,347321,228960,267155,352924,478931,505459,596115
nicaragua,558,20561,13255,14966,17145,18210,19538,20484
panama,591,29596,34108,40973,53829,76585,89869,146108
south america,931,2135065,2131206,2131629,2302100,2656825,3065164,5432457
argentina,32,861789,842042,822295,898855,974261,1125991,1219195
bolivia plurinational state of,68,36209,40792,44993,51726,58466,68059,78160
brazil,76,372370,345405,318440,295563,272719,326847,496827
chile,152,52954,72785,92615,144946,197277,320010,814942
colombia,170,51168,52277,53386,51585,61918,74249,951658
ecuador,218,40132,57214,74296,92421,181756,187161,377927
falkland islands malvinas,238,367,358,431,491,629,698,868
french guiana,254,28769,33262,37754,43739,49724,55709,62607
guyana,328,1895,2947,3999,5051,3652,3867,16672
paraguay,600,93068,88701,84556,80545,76905,75159,81256
peru,604,28312,28670,33461,38918,48609,63684,582115
suriname,740,8316,10229,12568,15324,18055,19583,21530
uruguay,858,52286,50001,47779,44659,41768,43157,57330
venezuela bolivarian republic of,862,507430,506523,505056,538277,671086,700990,671370
northern america,905,14113182,16939083,20367878,22818532,26026131,28639816,30387369
bermuda,60,8126,8632,9144,9325,9512,9791,10015
canada,124,2223666,2508673,2852779,3163147,3524687,3895493,4220962
greenland,304,2810,2246,1985,2095,1972,2058,2077
