,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
0,WORLD,900,77563467,81581501,87719833,97663081,113940881,128238058,145655844
1,  Sub-Saharan Africa,947,8136844,8677806,8246575,9227058,10531120,12578348,14732802
2,  Northern Africa and Western Asia,1833,8830013,9829261,10736407,12097241,14249463,18177303,20941050
3,  Central and Southern Asia,921,17054672,16042463,17179372,18895884,24444167,27971106,31211577
4,  Eastern and South-Eastern Asia,1832,7414751,8861759,10500432,12487051,15130964,17150433,18801912
5,  Latin America and the Caribbean,1830,7544689,9726163,12182539,14495367,16857618,17582139,20697275
6,  Oceania (excluding Australia and New Zealand),1835,133623,152358,183319,198892,214866,240815,273803
7,  Australia and New Zealand,927,335351,366709,421127,481926,573939,622696,693842
8,  Europe and Northern America,1829,23704534,24148758,24676104,25682798,27337252,28229706,31770385
9,  Developed regions,901,24338984,24834922,25438034,26505508,28263791,29203683,32827157
10,  Less developed regions,902,48815493,52970355,58687841,67060709,81075598,93348863,106295489
11," Less developed regions, excluding least developed countries",934,32572508,37664396,43328634,50504229,61260381,70333340,79492160
12," Less developed regions, excluding China",948,46303670,50066462,55378675,63084782,76484858,88028326,100946274
13,  Least developed countries,941,16242985,15305959,15359207,16556480,19815217,23015523,26803329
14,  Land-locked Developing Countries (LLDC),1636,12878639,12222604,11981487,12609177,14227283,16089640,18147434
15,  Small island developing States (SIDS),1637,2605273,3085104,3608507,3940542,4285399,4903522,5417850
16,  High-income countries,1503,16390698,17139953,18150941,19612464,21784350,22710503,25556460
17,  Middle-income countries,1517,45289740,50350945,56045764,63532741,75477248,82602967,92895832
18, Upper-middle-income countries,1502,22500336,25869947,29121527,32157068,36086584,37485261,42001984
19, Lower-middle-income countries,1501,22789404,24480998,26924237,31375673,39390664,45117706,50893848
20,  Low-income countries,1500,11348393,10185505,9794758,10305271,11939008,17088744,20512220
21, AFRICA,903,11215846,12073478,11985328,13778387,15998855,18809167,21729832
22,  Eastern Africa,910,4056986,4002246,3167304,3320996,3932812,5021946,6136440
23,   Burundi,108,173892,277424,388445,386645,143736,227726,274913
24,   Comoros,174,22060,27869,36958,49839,54190,59176,73002
25,   Djibouti,262,2890,3904,5201,6293,7178,8659,9293
26,   Eritrea,232,89618,197413,255453,153062,172456,326403,422881
27,   Ethiopia,231,856294,413014,239365,284011,369043,451972,510262
28,   Kenya,404,123044,135350,154208,173569,213979,227217,252759
29,   Madagascar,450,25591,28611,32318,64403,64593,68219,74976
30,   Malawi,454,84442,88872,110217,129386,151191,172322,185426
31,   Mauritius*,480,51464,51947,53306,59779,67567,74559,82790
32,   Mayotte*,175,986,1948,2976,3137,3113,3199,3305
