,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
0,   burundi,108,333110.0,254853.0,125628.0,192774.0,247321.0,298299.0,344767.0
1,   comoros,174,14079.0,13939.0,13799.0,13209.0,12618.0,12555.0,12496.0
2,   djibouti,262,122221.0,99774.0,100507.0,92110.0,102307.0,112351.0,119738.0
3,   eritrea,232,11848.0,12400.0,12952.0,15905.0,15813.0,15941.0,13934.0
4,   ethiopia,231,1155390.0,806904.0,611384.0,514451.0,568748.0,1161642.0,1085517.0
5,   kenya,404,298089.0,618745.0,707852.0,773354.0,954925.0,1126886.0,1050147.0
6,   madagascar,450,23917.0,21177.0,23541.0,26058.0,28905.0,32075.0,35563.0
7,   malawi,454,1127724.0,241624.0,232620.0,221661.0,217722.0,197328.0,191362.0
8,   mauritius*,480,3613.0,7493.0,15543.0,19647.0,24836.0,28585.0,28893.0
9,   mayotte*,175,15229.0,26316.0,45474.0,63176.0,72757.0,81386.0,111540.0
10,   mozambique,508,122332.0,168256.0,195702.0,268694.0,306471.0,321794.0,338850.0
11,   réunion*,638,57210.0,77159.0,100678.0,115076.0,123029.0,127209.0,131769.0
12,   rwanda,646,160024.0,215735.0,347076.0,423187.0,426901.0,514647.0,513907.0
13,   seychelles,690,3721.0,5148.0,6574.0,8997.0,11420.0,12791.0,13050.0
14,   somalia,706,478294.0,19527.0,20097.0,20768.0,48106.0,40990.0,58590.0
15,   south sudan,728,0.0,0.0,0.0,0.0,230732.0,844112.0,882252.0
16,   uganda,800,544273.0,606987.0,584280.0,593308.0,492930.0,851175.0,1720313.0
17,   united republic of tanzania*,834,574025.0,1106043.0,949600.0,771153.0,309847.0,384567.0,426017.0
18,   zambia,894,279463.0,244338.0,343703.0,252895.0,149962.0,132107.0,187955.0
19,   zimbabwe,716,634621.0,431226.0,410109.0,402226.0,398307.0,400482.0,416141.0
20,   angola,24,33517.0,39813.0,46108.0,62331.0,336367.0,632178.0,656434.0
21,   cameroon,120,265967.0,244791.0,227242.0,265503.0,291474.0,508346.0,579209.0
22,   central african republic,140,67234.0,99712.0,123529.0,96409.0,94685.0,81568.0,88546.0
23,   chad,148,74342.0,89584.0,104825.0,352130.0,417034.0,466968.0,547494.0
24,   congo,178,129391.0,191635.0,305880.0,318724.0,425173.0,390142.0,387606.0
25,   democratic republic of the congo,180,754194.0,1816963.0,744387.0,623009.0,589882.0,810018.0,952871.0
26,   equatorial guinea,226,2740.0,3629.0,4517.0,6588.0,8658.0,209611.0,230618.0
27,   gabon,266,128188.0,171427.0,214431.0,233824.0,270829.0,378686.0,416651.0
28,   sao tome and principe,678,5582.0,4936.0,4365.0,3433.0,2700.0,2394.0,2139.0
29,   algeria,12,273954.0,262032.0,250110.0,197728.0,217268.0,239473.0,250378.0
30,   egypt,818,173833.0,166955.0,184774.0,285006.0,310017.0,353641.0,543937.0
31,   libya,434,457075.0,508041.0,567436.0,625412.0,687192.0,771146.0,826537.0
32,   morocco,504,54895.0,50360.0,53034.0,56222.0,71189.0,92424.0,102358.0
