,destination,destination_id,origin,origin_id,1990,1995,2000,2005,2010,2015,2020
6557,burundi,116,belgium,67,315,303,231,224,236,288,343
6558,burundi,116,congo,137,17963,20152,18451,49968,75099,89489,101757
6559,burundi,116,france,68,157,151,116,112,119,145,174
6560,burundi,116,kenya,121,104,122,115,283,477,582,693
6561,burundi,116,rwanda,126,108772,78063,32288,28813,24786,29140,34728
6562,burundi,116,uganda,130,898,753,461,425,426,520,619
6563,burundi,116,"tanzania, united republic of",131,5838,4763,2768,6449,10685,13037,15535
6613,comoros,117,france,68,310,306,301,289,278,277,276
6614,comoros,117,kenya,121,40,39,38,36,34,34,34
6615,comoros,117,madagascar,122,5007,4929,4851,4688,4521,4539,4519
6617,comoros,117,"tanzania, united republic of",131,79,78,77,74,71,71,71
6667,djibouti,118,ethiopia,120,5911,4829,4872,4832,4935,5185,5562
6668,djibouti,118,somalia,128,54118,44204,44574,43151,45213,47358,50876
6669,djibouti,118,yemen,28,139,114,115,113,117,2974,2595
6719,eritrea,119,angola,134,138,238,338,237,167,202,178
6720,eritrea,119,burundi,116,306,589,871,629,466,559,496
6721,eritrea,119,china,172,2,45,88,92,101,122,106
6722,eritrea,119,comoros,117,6,26,45,64,84,101,89
6723,eritrea,119,congo,137,235,438,640,682,765,922,818
6724,eritrea,119,ethiopia,120,668,357,48,832,48,58,52
6725,eritrea,119,france,68,52,75,99,143,190,229,203
6726,eritrea,119,india,5,22,23,24,31,38,46,41
6727,eritrea,119,kenya,121,125,121,117,139,168,203,179
6728,eritrea,119,malawi,123,39,101,163,259,356,428,379
6729,eritrea,119,mozambique,125,1813,1081,350,353,380,456,408
6730,eritrea,119,rwanda,126,540,366,191,179,182,220,196
6731,eritrea,119,somalia,128,741,869,997,1956,2421,1296,1135
6732,eritrea,119,south africa,115,60,88,116,80,57,69,61
6733,eritrea,119,zimbabwe,133,56,88,119,151,189,229,202
6734,eritrea,119,south sudan,129,494,612,730,745,805,971,856
6735,eritrea,119,sudan,145,69,85,102,104,112,136,120
6736,eritrea,119,uganda,130,109,427,746,763,827,998,881
6737,eritrea,119,united kingdom,50,14,14,14,15,18,21,19
6738,eritrea,119,"tanzania, united republic of",131,113,149,186,200,225,271,242
6739,eritrea,119,zambia,132,57,76,94,109,128,156,137
6789,ethiopia,120,burundi,116,10,15,22,14,65,90,81
6790,ethiopia,120,congo,137,25,37,57,37,341,798,721
6791,ethiopia,120,eritrea,119,36625,18680,4313,6187,22637,103940,93794
6792,ethiopia,120,djibouti,118,475,1154,2053,1362,1571,1887,1704
6793,ethiopia,120,rwanda,126,37,55,83,55,63,76,68
6794,ethiopia,120,somalia,128,324269,231129,182322,138555,181000,225596,203686
6795,ethiopia,120,south sudan,129,201974,129959,82820,55012,61433,209090,205655
6796,ethiopia,120,sudan,145,28308,18214,11608,42746,18806,19991,19609
6797,ethiopia,120,uganda,130,54,80,121,80,92,111,101
6798,ethiopia,120,yemen,28,36,53,80,54,61,676,1035
6848,kenya,121,burundi,116,55,79,99,1054,2106,4156,7629
6849,kenya,121,congo,137,216,211,335,1448,4491,12369,22012
6850,kenya,121,ethiopia,120,15293,16825,11399,11759,17361,20032,17590
6851,kenya,121,eritrea,119,0,34,479,359,829,1057,929
6852,kenya,121,mozambique,125,580,535,268,271,291,298,263
6853,kenya,121,namibia,150,66,61,31,31,33,33,29
6854,kenya,121,rwanda,126,2155,3107,1630,2097,3067,3142,2765
6855,kenya,121,somalia,128,4382,91248,82223,109595,201694,250295,220021
6856,kenya,121,south africa,115,110,101,50,50,53,54,47
