,pais,year,origen,destino,total
407,anguilla,1995,2166,3317,1151
477,nauru,1995,1511,2605,1094
1109,ireland,2010,729466,730542,1076
705,saint pierre and miquelon,2000,484,1458,974
460,saint pierre and miquelon,1995,477,1320,843
722,nauru,2000,1593,2394,801
142,holy see,1990,10,762,752
387,holy see,1995,26,778,752
632,holy see,2000,41,790,749
162,anguilla,1990,1832,2570,738
950,saint pierre and miquelon,2005,426,1147,721
877,holy see,2005,110,798,688
1612,holy see,2020,174,809,635
1195,saint pierre and miquelon,2010,390,1017,627
215,saint pierre and miquelon,1990,483,1099,616
1122,holy see,2010,175,783,608
204,falkland islands malvinas,1990,255,855,600
1440,saint pierre and miquelon,2015,400,986,586
1685,saint pierre and miquelon,2020,433,998,565
638,san marino,2000,3494,4045,551
1367,holy see,2015,310,790,480
1674,falkland islands malvinas,2020,1518,1957,439
967,nauru,2005,1869,2253,384
960,solomon islands,2005,2999,3271,272
1184,falkland islands malvinas,2010,1174,1436,262
1429,falkland islands malvinas,2015,1370,1571,201
1120,gibraltar,2010,10197,10369,172
449,falkland islands malvinas,1995,760,868,108
939,falkland islands malvinas,2005,1095,1166,71
1409,saint martin french part,2015,0,0,0
315,china taiwan province of china,1995,0,0,0
916,saint barthlemy,2005,0,0,0
1050,china taiwan province of china,2010,0,0,0
1540,china taiwan province of china,2020,0,0,0
1161,saint barthlemy,2010,0,0,0
919,saint martin french part,2005,0,0,0
1164,saint martin french part,2010,0,0,0
1654,saint martin french part,2020,0,0,0
1651,saint barthlemy,2020,0,0,0
426,saint barthlemy,1995,0,0,0
429,saint martin french part,1995,0,0,0
1295,china taiwan province of china,2015,0,0,0
560,china taiwan province of china,2000,0,0,0
1406,saint barthlemy,2015,0,0,0
184,saint martin french part,1990,0,0,0
671,saint barthlemy,2000,0,0,0
181,saint barthlemy,1990,0,0,0
805,china taiwan province of china,2005,0,0,0
674,saint martin french part,2000,0,0,0
70,china taiwan province of china,1990,0,0,0
531,eswatini,2000,34116,34084,-32
234,palau,1990,2957,2801,-156
694,falkland islands malvinas,2000,1262,1067,-195
214,greenland,1990,9504,9282,-222
1702,nauru,2020,2454,2201,-253
230,marshall islands,1990,1426,1158,-268
1313,bhutan,2015,51391,51106,-285
742,malawi,2005,222023,221661,-362
630,gibraltar,2000,8451,8054,-397
875,gibraltar,2005,9643,9211,-432
1457,nauru,2015,2267,1833,-434
1205,solomon islands,2010,3371,2760,-611
1209,kiribati,2010,3565,2868,-697
58,saint helena,1990,884,178,-706
186,sint maarten dutch part,1990,707,0,-707
1365,gibraltar,2015,11916,11065,-851
1711,tokelau,2020,2112,1238,-874
431,sint maarten dutch part,1995,914,0,-914
1466,tokelau,2015,2171,1185,-986
1221,tokelau,2010,2168,1128,-1040
976,tokelau,2005,2090,1003,-1087
676,sint maarten dutch part,2000,1186,0,-1186
1454,kiribati,2015,4127,2919,-1208
1212,nauru,2010,2130,906,-1224
1450,solomon islands,2015,3886,2585,-1301
486,tokelau,1995,1810,506,-1304
241,tokelau,1990,1684,360,-1324
731,tokelau,2000,2061,712,-1349
1682,bermuda,2020,21107,19739,-1368
964,kiribati,2005,4021,2487,-1534
719,kiribati,2000,3991,2283,-1708
385,gibraltar,1995,10130,8381,-1749
1695,solomon islands,2020,4270,2520,-1750
229,kiribati,1990,4053,2162,-1891
1699,kiribati,2020,5103,3126,-1977
474,kiribati,1995,4246,2223,-2023
243,tuvalu,1990,2350,318,-2032
303,saint helena,1995,2207,117,-2090
171,curaao,1990,2104,0,-2104
1610,gibraltar,2020,13389,11190,-2199
84,timorleste,1990,11261,8954,-2307
733,tuvalu,2000,2611,218,-2393
488,tuvalu,1995,2738,263,-2475
226,vanuatu,1990,4869,2308,-2561
475,marshall islands,1995,4154,1480,-2674
978,tuvalu,2005,2917,209,-2708
1223,tuvalu,2010,3011,220,-2791
416,curaao,1995,2849,0,-2849
1468,tuvalu,2015,3203,230,-2973
793,saint helena,2005,3268,163,-3105
471,vanuatu,1995,5611,2461,-3150
311,uzbekistan,1995,1515731,1512577,-3154
863,iceland,2005,28669,25492,-3177
126,faroe islands,1990,7518,4285,-3233
140,gibraltar,1990,11989,8709,-3280
1383,monaco,2015,29317,25983,-3334
1038,saint helena,2010,3607,248,-3359
1210,marshall islands,2010,6492,3089,-3403
1713,tuvalu,2020,3670,239,-3431
1451,vanuatu,2015,6751,3186,-3565
548,saint helena,2000,3715,108,-3607
716,vanuatu,2000,6242,2626,-3616
661,curaao,2000,3779,0,-3779
1283,saint helena,2015,4285,377,-3908
1696,vanuatu,2020,7246,3257,-3989
0,burundi,1990,337100,333110,-3990
231,micronesia fed states of,1990,7713,3685,-4028
965,marshall islands,2005,6654,2417,-4237
459,greenland,1995,11361,7121,-4240
1455,marshall islands,2015,7625,3284,-4341
1528,saint helena,2020,4885,437,-4448
961,vanuatu,2005,7264,2800,-4464
1709,niue,2020,5186,588,-4598
906,curaao,2005,4618,0,-4618
88,bhutan,1990,28461,23807,-4654
1206,vanuatu,2010,7692,2991,-4701
1219,niue,2010,5347,589,-4758
1464,niue,2015,5348,588,-4760
974,niue,2005,5291,522,-4769
244,wallis and futuna islands,1990,6484,1402,-5082
720,marshall islands,2000,6976,1891,-5085
