,pais,year,origen,destino,total
876,greece,2005,867619,1190707,323088
1229,ethiopia,2015,842496,1161642,319146
28,democratic republic of the congo,1990,436513,754194,317681
376,latvia,1995,228958,538093,309135
200,brazil,1990,491359,798517,307158
1445,new zealand,2015,738044,1039736,301692
106,qatar,1990,12175,309753,297578
105,oman,1990,12504,304000,291496
152,austria,1990,505214,793239,288025
1200,new zealand,2010,662316,947443,285127
955,new zealand,2005,555511,839952,284441
436,costa rica,1995,84980,364287,279307
281,sudan,1995,775375,1053396,278021
1249,chad,2015,191269,466968,275699
1171,costa rica,2010,132317,405779,273462
1416,costa rica,2015,138237,411697,273460
125,estonia,1990,113860,381997,268137
1104,denmark,2010,233531,500772,267241
569,malaysia,2000,1201135,1463598,262463
1539,china macao sar,2020,145192,403490,258298
1611,greece,2020,1088507,1340456,251949
1005,democratic republic of the congo,2010,178111,425173,247062
261,uganda,1995,361969,606987,245018
1294,china macao sar,2015,133296,376066,242770
926,costa rica,2005,117618,358398,240780
1010,gabon,2010,36933,270829,233896
16,uganda,1990,311591,544273,232682
66,uzbekistan,1990,1427980,1653000,225020
83,thailand,1990,306924,528693,221769
1627,luxembourg,2020,81757,298062,216305
859,denmark,2005,224462,440383,215921
1004,chad,2010,202423,417034,214611
681,costa rica,2000,105227,310946,205719
520,gabon,2000,18041,214431,196390
1049,china macao sar,2010,123599,318506,194907
18,zambia,1990,85201,279463,194262
765,gabon,2005,41357,233824,192467
587,bahrain,2000,47736,239361,191625
621,latvia,2000,238641,430178,191537
710,new zealand,2000,489824,678813,188989
868,norway,2005,174063,361144,187081
370,estonia,1995,129586,315755,186169
1250,democratic republic of the congo,2015,204829,390142,185313
508,zambia,2000,160201,343703,183502
541,guinea,2000,377019,560075,183056
342,bahrain,1995,26014,205979,179965
1382,luxembourg,2015,69366,248888,179522
1667,panama,2020,139520,313165,173645
465,new zealand,1995,416922,588617,171695
804,china macao sar,2005,108191,279308,171117
515,democratic republic of the congo,2000,135235,305880,170645
354,syrian arab republic,1995,661278,830610,169332
494,ethiopia,2000,445886,611384,165498
1495,democratic republic of the congo,2020,223767,387606,163839
97,bahrain,1990,12817,173212,160395
60,sierra leone,1990,61853,222148,160295
1247,cameroon,2015,348974,508346,159372
275,gabon,1995,16610,171427,154817
614,denmark,2000,217761,371026,153265
792,nigeria,2005,817392,969714,152322
22,cameroon,1990,115835,265967,150132
559,china macao sar,2000,94517,240791,146274
760,democratic republic of the congo,2005,172610,318724,146114
264,zimbabwe,1995,287995,431226,143231
759,chad,2005,210661,352130,141469
1474,ethiopia,2020,946129,1085517,139388
1492,cameroon,2020,441015,579209,138194
539,gambia,2000,45427,182514,137087
1599,ireland,2020,734317,871256,136939
79,malaysia,1990,560353,695920,135567
314,china macao sar,1995,90097,224929,134832
747,rwanda,2005,289100,423187,134087
594,lebanon,2000,558891,692913,134022
839,lebanon,2005,608856,742243,133387
1130,slovenia,2010,122948,253786,130838
220,new zealand,1990,388017,518047,130030
631,greece,2000,982685,1111665,128980
1481,runion,2020,3064,131769,128705
623,norway,2000,163834,292440,128606
599,syrian arab republic,2000,707070,834916,127846
1236,runion,2015,2907,127209,124302
784,gambia,2005,61209,181839,120630
991,runion,2010,2749,123029,120280
69,china macao sar,1990,86460,205047,118587
1620,slovenia,2020,160197,277964,117767
2,djibouti,1990,5308,122221,116913
1675,french guiana,2020,4595,119249,114654
194,honduras,1990,156379,270423,114044
30,gabon,1990,15347,128188,112841
746,runion,2005,2556,115076,112520
294,gambia,1995,38384,150890,112506
1029,gambia,2010,77440,185837,108397
615,estonia,2000,141821,249512,107691
267,cameroon,1995,138936,244791,105855
866,latvia,2005,270982,376725,105743
1479,mayotte,2020,6767,111540,104773
43,namibia,1990,16077,120641,104564
263,zambia,1995,140895,244338,103443
1499,equatorial guinea,2020,128774,230618,101844
1430,french guiana,2015,4517,106108,101591
1472,djibouti,2020,18365,119738,101373
1137,luxembourg,2010,62048,163142,101094
1375,slovenia,2015,136538,237616,101078
63,kyrgyzstan,1990,522574,623083,100509
647,luxembourg,2000,39762,139750,99988
501,runion,2000,2360,100678,98318
1487,united republic of tanzania,2020,327863,426017,98154
885,slovenia,2005,119399,217218,97819
892,luxembourg,2005,52806,150618,97812
640,slovenia,2000,118659,214508,95849
1274,gambia,2015,96963,192540,95577
369,denmark,1995,207707,303108,95401
1227,djibouti,2015,16969,112351,95382
109,syrian arab republic,1990,620285,714140,93855
1084,lebanon,2010,699704,793191,93487
247,djibouti,1995,6964,99774,92810
1254,equatorial guinea,2015,116947,209611,92664
992,rwanda,2010,334244,426901,92657
1185,french guiana,2010,3940,96288,92348
492,djibouti,2000,9055,100507,91452
717,micronesia,2000,39034,130186,91152
252,malawi,1995,150825,241624,90799
1242,united republic of tanzania,2015,294102,384567,90465
472,micronesia,1995,29154,118687,89533
982,djibouti,2010,13797,102307,88510
962,micronesia,2005,39932,128390,88458
402,luxembourg,1995,37875,126106,88231
227,micronesia,1990,21460,108969,87509
288,namibia,1995,28220,115372,87152
150,slovenia,1990,91447,178077,86630
533,namibia,2000,49348,135547,86199
1155,guadeloupe,2010,10779,94942,84163
860,estonia,2005,150101,233701,83600
940,french guiana,2005,3800,86468,82668
378,norway,1995,151041,233302,82261
49,gambia,1990,36280,118123,81843
910,guadeloupe,2005,8911,89065,80154
737,djibouti,2005,11987,92110,80123
1400,guadeloupe,2015,11993,90956,78963
1698,guam,2020,2213,80472,78259
157,luxembourg,1990,36108,113795,77687
1645,guadeloupe,2020,12542,90206,77664
349,lebanon,1995,531538,608303,76765
1519,gambia,2020,139210,215659,76449
324,malaysia,1995,861208,937368,76160
270,democratic republic of the congo,1995,115677,191635,75958
1207,micronesia,2010,39030,114743,75713
665,guadeloupe,2000,7750,83188,75438
1234,mayotte,2015,6545,81386,74841
256,runion,1995,2623,77159,74536
1597,finland,2020,311889,386052,74163
1453,guam,2015,2132,76089,73957
1208,guam,2010,2209,75416,73207
695,french guiana,2000,3640,76649,73009
963,guam,2005,2535,74743,72208
1452,micronesia,2015,41950,113466,71516
753,zambia,2005,181499,252895,71396
718,guam,2000,2797,74070,71273
473,guam,1995,1614,71912,70298
844,syrian arab republic,2005,813361,882398,69037
228,guam,1990,1375,69755,68380
513,central african republic,2000,55416,123529,68113
1697,micronesia,2020,50998,118860,67862
420,guadeloupe,1995,6748,74566,67818
1693,new caledonia,2020,5839,73141,67302
1593,channel islands,2020,17158,84087,66929
450,french guiana,1995,3221,70131,66910
1545,brunei darussalam,2020,45340,111959,66619
506,uganda,2000,517776,584280,66504
989,mayotte,2010,6342,72757,66415
1561,maldives,2020,3715,70079,66364
1348,channel islands,2015,16469,82307,65838
395,slovenia,1995,108611,174419,65808
1241,uganda,2015,786229,851175,64946
1105,estonia,2010,153633,217890,64257
1448,new caledonia,2015,5584,68881,63297
512,cameroon,2000,164296,227242,62946
1103,channel islands,2010,15699,77581,61882
1513,namibia,2020,47770,109391,61621
205,french guiana,1990,2840,63612,60772
1316,maldives,2015,3606,64273,60667
175,guadeloupe,1990,5765,65944,60179
509,zimbabwe,2000,351985,410109,58124
1300,brunei darussalam,2015,45110,102733,57623
744,mayotte,2005,6468,63176,56708
1403,martinique,2015,12675,69174,56499
858,channel islands,2005,14815,70941,56126
1055,brunei darussalam,2010,44541,100587,56046
1203,new caledonia,2010,5377,61158,55781
1648,martinique,2020,12963,68624,55661
133,norway,1990,138289,192587,54298
11,runion,1990,3087,57210,54123
810,brunei darussalam,2005,45314,98441,53127
924,united states virgin islands,2005,3638,56647,53009
1169,united states virgin islands,2010,3711,56684,52973
1659,united states virgin islands,2020,3908,56753,52845
679,united states virgin islands,2000,3814,56611,52797
1414,united states virgin islands,2015,3953,56721,52768
1525,mauritania,2020,130226,182286,52060
1280,mauritania,2015,114630,166552,51922
613,channel islands,2000,12825,64301,51476
775,botswana,2005,33281,84661,51380
434,united states virgin islands,1995,3030,54241,51211
1268,namibia,2015,50410,101618,51208
1071,maldives,2010,3543,54659,51116
565,brunei darussalam,2000,45242,96296,51054
51,guinea,1990,352763,403621,50858
1020,botswana,2010,44249,94863,50614
268,central african republic,1995,49205,99712,50507
958,new caledonia,2005,5219,55405,50186
139,croatia,1990,425544,475438,49894
320,brunei darussalam,1995,35052,84748,49696
189,united states virgin islands,1990,2309,51970,49661
1641,curaao,2020,7611,57210,49599
530,botswana,2000,26683,74934,48251
1265,botswana,2015,55294,103053,47759
5,kenya,1990,250332,298089,47757
997,united republic of tanzania,2010,262172,309847,47675
75,brunei darussalam,1990,26323,73200,46877
1510,botswana,2020,63561,110268,46707
65,turkmenistan,1990,260005,306500,46495
497,malawi,2000,186229,232620,46391
1158,martinique,2010,14637,59575,44938
368,channel islands,1995,15626,60519,44893
713,new caledonia,2000,4941,49651,44710
872,andorra,2005,5727,50298,44571
757,cameroon,2005,221232,265503,44271
1117,andorra,2010,7909,52053,44144
123,channel islands,1990,18726,61660,42934
826,maldives,2005,2212,45045,42833
913,martinique,2005,14340,57034,42694
778,namibia,2005,65598,107347,41749
668,martinique,2000,14019,54492,40473
382,andorra,1995,4142,44206,40064
41,eswatini,1990,35179,74991,39812
499,mayotte,2000,6214,45474,39260
468,new caledonia,1995,4600,43662,39062
723,northern mariana islands,2000,2765,40122,37357
627,andorra,2000,5575,42147,36572
1111,latvia,2010,278168,313786,35618
137,andorra,1990,3740,38891,35151
968,northern mariana islands,2005,2725,37542,34817
1422,panama,2015,150210,184710,34500
1607,andorra,2020,11132,45574,34442
1110,isle of man,2010,9033,43447,34414
423,martinique,1995,12501,46599,34098
124,denmark,1990,201514,235189,33675
223,new caledonia,1990,4148,37673,33525
1362,andorra,2015,8740,42264,33524
25,democratic republic of the congo,1990,96370,129391,33021
865,isle of man,2005,8484,41475,32991
1352,finland,2015,282223,314856,32633
1634,aruba,2020,21456,53593,32137
1355,isle of man,2015,10580,42238,31658
620,isle of man,2000,7377,39002,31625
1396,curaao,2015,6239,37611,31372
1600,isle of man,2020,12032,43040,31008
224,papua new guinea,1990,3107,33710,30603
1218,french polynesia,2010,1550,31640,30090
310,turkmenistan,1995,243523,273565,30042
478,northern mariana islands,1995,2647,32376,29729
973,french polynesia,2005,2717,32286,29569
469,papua new guinea,1995,4059,33526,29467
502,rwanda,2000,318198,347076,28878
1463,french polynesia,2015,1978,30058,28080
1708,french polynesia,2020,2157,30081,27924
375,isle of man,1995,9003,36886,27883
178,martinique,1990,11036,38705,27669
1639,cayman islands,2020,1908,29242,27334
1656,sint maarten dutch part,2020,2191,28845,26654
1694,papua new guinea,2020,4810,31068,26258
1204,papua new guinea,2010,4231,30425,26194
728,french polynesia,2000,4300,30329,26029
1449,papua new guinea,2015,4980,30940,25960
581,maldives,2000,1216,27092,25876
959,papua new guinea,2005,4493,29971,25478
1411,sint maarten dutch part,2015,1929,27295,25366
1078,cyprus,2010,163471,188472,25001
483,french polynesia,1995,3738,28360,24622
1394,cayman islands,2015,1709,26193,24484
233,northern mariana islands,1990,2517,26593,24076
130,isle of man,1990,10735,34769,24034
1658,turks and caicos islands,2020,2689,25748,23059
899,aruba,2005,9482,32540,23058
1166,sint maarten dutch part,2010,3303,26203,22900
238,french polynesia,1990,3132,25830,22698
1149,cayman islands,2010,1404,24062,22658
1354,ireland,2015,736639,759256,22617
654,aruba,2000,7662,30104,22442
254,mayotte,1995,3937,26316,22379
1598,iceland,2020,43251,65424,22173
1626,liechtenstein,2020,3706,25877,22171
1706,american samoa,2020,1832,23608,21776
714,papua new guinea,2000,4552,26304,21752
726,american samoa,2000,3186,24912,21726
1426,chile,2015,618015,639724,21709
971,american samoa,2005,2588,24233,21645
1213,northern mariana islands,2010,2611,24168,21557
1461,american samoa,2015,1961,23513,21552
1482,rwanda,2020,492489,513907,21418
1216,american samoa,2010,2157,23555,21398
23,central african republic,1990,46354,67234,20880
1144,aruba,2010,13524,34328,20804
481,american samoa,1995,2638,23098,20460
1413,turks and caicos islands,2015,2454,22723,20269
1381,liechtenstein,2015,3536,23799,20263
1389,aruba,2015,16621,36114,19493
904,cayman islands,2005,1290,20679,19389
236,american samoa,1990,2041,21283,19242
1703,northern mariana islands,2020,2741,21843,19102
1458,northern mariana islands,2015,2607,21648,19041
1145,bahamas,2010,35990,54745,18755
1136,liechtenstein,2010,3590,22342,18752
1637,bonaire sint eustatius and saba,2020,8148,26221,18073
1177,panama,2010,139844,157788,17944
659,cayman islands,2000,1278,19176,17898
1392,bonaire sint eustatius and saba,2015,7295,24571,17276
1568,cyprus,2020,173210,190366,17156
285,botswana,1995,23315,40168,16853
336,maldives,1995,1687,18510,16823
1638,british virgin islands,2020,5355,22164,16809
648,monaco,2000,5124,21787,16663
1390,bahamas,2015,42965,59241,16276
403,monaco,1995,4784,21060,16276
104,lebanon,1990,507722,523693,15971
891,liechtenstein,2005,2935,18898,15963
158,monaco,1990,4475,20359,15884
409,aruba,1995,6705,22274,15569
1168,turks and caicos islands,2010,2197,17216,15019
412,bonaire sint eustatius and saba,1995,540,15101,14561
1393,british virgin islands,2015,5118,19535,14417
1246,angola,2015,618288,632178,13890
1147,bonaire sint eustatius and saba,2010,7065,20941,13876
657,bonaire sint eustatius and saba,2000,647,14387,13740
902,bonaire sint eustatius and saba,2005,753,14399,13646
9,mayotte,1990,1835,15229,13394
646,liechtenstein,2000,2688,15483,12795
1002,cameroon,2010,278898,291474,12576
167,bonaire sint eustatius and saba,1990,445,13010,12565
1148,british virgin islands,2010,4921,17076,12155
1614,malta,2020,102793,114760,11967
923,turks and caicos islands,2005,1190,13115,11925
414,cayman islands,1995,794,12666,11872
921,sint maarten dutch part,2005,1246,13099,11853
445,brazil,1995,730491,741557,11066
903,british virgin islands,2005,4008,15016,11008
1237,rwanda,2015,503667,514647,10980
900,bahamas,2005,34715,45531,10816
401,liechtenstein,1995,3018,13311,10293
1323,cyprus,2015,166585,176693,10108
57,nigeria,1990,446753,456621,9868
1635,bahamas,2020,53793,63583,9790
1660,belize,2020,52756,62043,9287
658,british virgin islands,2000,3683,12958,9275
169,cayman islands,1990,356,9315,8959
164,aruba,1990,5887,14444,8557
132,lithuania,1990,340973,349258,8285
678,turks and caicos islands,2000,740,9015,8275
156,liechtenstein,1990,3425,10906,7481
751,uganda,2005,586602,593308,6706
413,british virgin islands,1995,3368,10046,6678
91,maldives,1990,2192,8689,6497
1350,estonia,2015,189109,194664,5555
433,turks and caicos islands,1995,1533,7039,5506
168,british virgin islands,1990,3094,8035,4941
286,eswatini,1995,30340,35157,4817
1023,namibia,2010,99599,103826,4227
702,bermuda,2000,14079,17684,3605
1192,bermuda,2010,15313,18547,3234
1632,anguilla,2020,2505,5715,3210
947,bermuda,2005,14907,18108,3201
1618,san marino,2020,2407,5543,3136
1437,bermuda,2015,16225,19212,2987
1387,anguilla,2015,2553,5471,2918
1214,palau,2010,2619,5490,2871
1142,anguilla,2010,2273,5103,2830
188,turks and caicos islands,1990,2308,5062,2754
1108,iceland,2010,32454,35091,2637
1128,san marino,2010,2266,4880,2614
1704,palau,2020,2656,5088,2432
1459,palau,2015,2559,4937,2378
724,palau,2000,3998,6310,2312
969,palau,2005,3782,6043,2261
897,anguilla,2005,2425,4684,2259
893,monaco,2005,19103,21312,2209
655,bahamas,2000,34301,36454,2153
1353,iceland,2015,37006,39072,2066
410,bahamas,1995,29594,31654,2060
225,solomon islands,1990,2212,4226,2014
479,palau,1995,2844,4749,1905
148,san marino,1990,1413,3310,1897
165,bahamas,1990,25137,26855,1718
470,solomon islands,1995,2542,4178,1636
1558,bhutan,2020,51998,53612,1614
652,anguilla,2000,2508,4063,1555
1373,san marino,2015,3688,5195,1507
40,botswana,1990,26048,27510,1462
232,nauru,1990,1419,2815,1396
883,san marino,2005,2907,4218,1311
715,solomon islands,2000,2728,3981,1253
393,san marino,1995,2456,3659,1203
