,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
0,world,900,152986157,161289976,173230585,191446828,220983187,247958644,280598105
1,  sub-saharan africa,947,15334807,16488973,15638014,17274985,19942724,24197211,28284538
2,  northern africa and western asia,1833,16365218,18069437,19437054,21867791,25313711,32606047,37563820
3,  central and southern asia,921,31104020,29069983,30897694,33347690,41082388,46481130,51229549
4,  eastern and south-eastern asia,1832,14774419,17860923,21440854,25556983,30977206,35205590,38400740
5,  latin america and the caribbean,1830,15273399,19669704,24628700,29338206,34637650,36206000,42890481
6,  oceania (excluding australia and new zealand),1835,272517,313061,375176,407138,441903,495220,565281
7,  australia and new zealand,927,689030,758234,871660,984280,1149265,1256202,1404924
8,  europe and northern america,1829,50532413,51582164,52877703,54849090,58681104,60592402,67601621
9,  developed regions,901,51826246,52993691,54458296,56551836,60587161,62613012,69815370
10,  less developed regions,902,92519577,100818788,111708559,127074327,151638790,174426790,198125584
11," less developed regions, excluding least developed countries",934,62696205,72701450,83646070,97124428,116141091,132944110,150520987
12," less developed regions, excluding china",948,87652367,95081133,105043210,118876449,141938473,163095388,186511434
13,  least developed countries,941,29823372,28117338,28062489,29949899,35497699,41482680,47604597
14,  land-locked developing countries (lldc),1636,25086015,23874777,23134479,24288062,27740905,31336289,35277768
15,  small island developing states (sids),1637,5452503,6572361,7793822,8501316,9401155,10467162,11559408
16,  high-income countries,1503,34008977,35677967,38024485,40882214,45649196,47356719,52808019
17,  middle-income countries,1517,88958999,98929758,109879954,123912679,144581899,157981964,177395834
18, upper-middle-income countries,1502,46251718,53059271,59585818,65735241,74175415,77576140,87648518
19, lower-middle-income countries,1501,42707281,45870487,50294136,58177438,70406484,80405824,89747316
20,  low-income countries,1500,21142448,18959483,18002895,18605623,21718616,31399947,37419672
21, africa,903,20621464,22341394,22080003,25241406,29193852,35111959,40567163
22,  eastern africa,910,7784743,7734774,6079992,6192747,7524192,9824290,12027289
23,   burundi,108,337100,540558,758673,619916,284078,459979,551105
24,   comoros,174,40079,51290,70502,96143,109125,121749,150823
25,   djibouti,262,5308,6964,9055,11987,13797,16969,18365
26,   eritrea,232,170603,375257,511506,299311,328366,624757,802822
27,   ethiopia,231,1689941,816420,445886,524038,680290,842496,946129
28,   kenya,404,250332,277647,317434,362031,442632,480647,535348
29,   madagascar,450,59415,67324,77089,148805,160819,175868,193526
30,   malawi,454,143436,150825,186229,222023,260531,297471,311052
31,   mauritius*,480,110707,114073,119003,130649,148186,165869,182973
32,   mayotte*,175,1835,3937,6214,6468,6342,6545,6767
33,   mozambique,508,2222354,812685,644421,662951,797808,596949,640160
34,   réunion*,638,3087,2623,2360,2556,2749,2907,3064
35,   rwanda,646,547717,2060363,318198,289100,334244,503667,492489
36,   seychelles,690,35633,27798,19244,23487,25932,27483,29258
37,   somalia,706,848055,968956,1006128,1060953,1595328,2008490,2034221
38,   south sudan,728,514943,438044,342628,228537,402616,1060678,2575870
39,   uganda,800,311591,361969,517776,586602,731768,786229,781440
40,   united republic of tanzania*,834,203043,229151,215460,234918,262172,294102,327863
41,   zambia,894,85201,140895,160201,181499,182766,184371,200700
42,   zimbabwe,716,204363,287995,351985,500773,754643,1167064,1243314
43,  middle africa,911,1922243,1857602,2439360,2726556,3007543,3816990,4420662
44,   angola,24,824886,688581,913206,716766,651383,618288,668066
45,   cameroon,120,115835,138936,164296,221232,278898,348974,441015
46,   central african republic,140,46354,49205,55416,131410,245933,686224,816668
47,   chad,148,336798,223096,206052,210661,202423,191269,222303
48,   congo,178,96370,115677,135235,172610,178111,204829,223767
49,   democratic republic of the congo,180,436513,559824,862039,1130872,1298544,1572222,1832069
50,   equatorial guinea,226,36175,46412,59930,71789,84390,116947,128774
51,   gabon,266,15347,16610,18041,41357,36933,43075,48392
52,   sao tome and principe,678,13965,19261,25145,29859,30928,35162,39608
53,  northern africa,912,5286657,5852421,6441989,7966421,9251128,10914748,12282625
54,   algeria,12,921665,979641,1037985,1599647,1655264,1836502,2022337
55,   egypt,818,1321915,1492004,1708296,1807941,2586643,3151069,3610461
56,   libya,434,76239,77398,80014,100248,127399,152544,185518
57,   morocco,504,1748116,1883924,2077010,2470656,2860702,2971770,3262222
58,   sudan,729,584935,775375,885660,1277632,1235193,1842602,2104887
59,   tunisia,788,465549,476933,486964,579009,615732,774376,902268
60,   western sahara,732,168238,167146,166060,131288,170195,185885,194932
61,  southern africa,913,576752,604456,732312,904614,1199813,1129951,1278435
