,Index,"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020,Emigracion_Promedio
61,91,   Turkmenistan,0.0,795,0.0,260005,243523,224398,231939,234635,238531,242554,239369.2857142857
62,92,   Uzbekistan,0.0,860,0.0,1427980,1515731,1575965,1730224,1888942,1976024,2027823,1734669.857142857
63,94,   China*,0.0,156,0.0,4231625,5030321,5884919,7337211,8714648,10240817,10461170,7414387.285714285
64,95,"   China, Hong Kong SAR*",0.0,344,0.0,549125,617237,685913,752476,862070,957289,1007788,775985.4285714285
65,96,"   China, Macao SAR*",0.0,446,0.0,86460,90097,94517,108191,123599,133296,145192,111621.71428571429
66,97,"   China, Taiwan Province of China*",0.0,158,0.0,0,0,0,0,0,0,0,0.0
67,98,   Dem. People's Republic of Korea,0.0,408,0.0,39383,53797,72350,86763,96459,103898,110377,80432.42857142857
68,99,   Japan,0.0,392,0.0,604803,653293,708933,718466,756792,764408,808825,716502.8571428572
69,100,   Mongolia,0.0,496,0.0,24466,27694,30648,42354,57405,65485,82098,47164.28571428572
70,101,   Republic of Korea,0.0,410,0.0,1513162,1694236,1875408,1974513,2252321,2152532,2204554,1952389.4285714286
71,103,   Brunei Darussalam,0.0,96,0.0,26323,35052,45242,45314,44541,45110,45340,40988.857142857145
72,104,   Cambodia,0.0,116,0.0,355428,418213,459621,674436,953059,1074572,1104819,720021.1428571428
73,105,   Indonesia,0.0,360,0.0,1622259,1937233,2415077,2781287,3415963,4065095,4601369,2976897.5714285714
74,106,   Lao People's Democratic Republic,0.0,418,0.0,483008,547786,649287,897002,1198862,1288179,1296051,908596.4285714285
75,107,   Malaysia*,0.0,458,0.0,560353,861208,1201135,1379305,1599061,1781038,1860037,1320305.2857142857
76,108,   Myanmar,0.0,104,0.0,685308,911445,1224310,1736590,2492274,2842494,3711751,1943453.142857143
77,109,   Philippines,0.0,608,0.0,2012499,2481963,3062665,3684528,4692695,5498232,6094307,3932412.714285714
78,110,   Singapore,0.0,702,0.0,156444,168100,192930,235683,282421,324639,348464,244097.2857142857
79,111,   Thailand,0.0,764,0.0,306924,411878,531028,631678,769257,921690,1086985,665634.2857142857
80,112,   Timor-Leste,0.0,626,0.0,11261,79050,148339,94961,35037,37325,39588,63651.57142857143
81,113,   Viet Nam,0.0,704,0.0,1505588,1842320,2158532,2376225,2630742,2909491,3392025,2402131.8571428573
82,115,   Afghanistan,0.0,4,0.0,7679582,4347049,4750677,4116739,5269518,5400916,5853838,5345474.142857143
83,116,   Bangladesh,0.0,50,0.0,5450443,5423528,5441094,5492474,6319871,6831282,7401763,6051493.571428572
84,117,   Bhutan,0.0,64,0.0,28461,117967,120183,120319,91934,51391,51998,83179.0
85,118,   India,0.0,356,0.0,6619431,7153439,7928051,9588533,13221963,15885657,17869492,11180938.0
86,119,   Iran (Islamic Republic of),0.0,364,0.0,631196,746739,831205,889502,985691,1155617,1325113,937866.1428571428
87,120,   Maldives,0.0,462,0.0,2192,1687,1216,2212,3543,3606,3715,2595.8571428571427
88,121,   Nepal,0.0,524,0.0,748053,856028,977396,1289629,1712697,2270166,2599701,1493381.4285714286
89,122,   Pakistan,0.0,586,0.0,3341086,3340157,3406434,3777830,4790584,5798210,6328400,4397528.714285715
90,123,   Sri Lanka,0.0,144,0.0,883684,923530,979093,1151553,1454292,1656253,1960025,1286918.5714285714
91,125,   Armenia,0.0,51,0.0,899678,901859,877148,900648,917043,944520,958190,914155.1428571428
92,126,   Azerbaijan*,0.0,31,0.0,1634157,1712214,1630589,1455180,1160863,1130348,1163922,1412467.5714285714
93,127,   Bahrain,0.0,48,0.0,12817,26014,47736,51835,52235,56721,58270,43661.142857142855
94,128,   Cyprus*,0.0,196,0.0,174370,163275,153561,153973,163471,166585,173210,164063.57142857142
95,129,   Georgia*,0.0,268,0.0,919438,953280,967022,885523,805539,828931,861077,888687.1428571428
96,130,   Iraq,0.0,368,0.0,642933,752604,828414,1340599,2554929,1675613,2077976,1410438.2857142857
97,131,   Israel,0.0,376,0.0,279625,290365,303860,317009,333968,331326,358691,316406.28571428574
98,132,   Jordan,0.0,400,0.0,313621,339026,368299,440788,602099,706832,814909,512224.85714285716
99,133,   Kuwait,0.0,414,0.0,81583,97009,113415,129005,177816,195034,212271,143733.2857142857
100,134,   Lebanon,0.0,422,0.0,507722,531538,558891,608856,699704,757183,856814,645815.4285714285
101,135,   Oman,0.0,512,0.0,12504,13844,15623,18824,20752,22797,25099,18491.85714285714
102,136,   Qatar,0.0,634,0.0,12175,13302,14680,17131,20674,23574,25705,18177.285714285714
103,137,   Saudi Arabia,0.0,682,0.0,107045,130911,153614,178744,215338,282906,299268,195403.7142857143
104,138,   State of Palestine*,0.0,275,0.0,1812673,2274589,2767331,3258102,3539908,3773988,4022791,3064197.4285714286
105,139,   Syrian Arab Republic,0.0,760,0.0,620285,661278,707070,813361,1057322,6447843,8457214,2680624.714285714
106,140,   Turkey,0.0,792,0.0,2512944,2771731,2847334,2577305,2708930,3073534,3411408,2843312.285714286
107,141,   United Arab Emirates,0.0,784,0.0,79499,97928,111082,125618,155609,178324,203214,135896.2857142857
108,142,   Yemen,0.0,887,0.0,455492,486249,529396,628869,876383,1095240,1301166,767542.1428571428
109,145,   Belarus,0.0,112,0.0,1767600,1736493,1685646,1581160,1464702,1469882,1483626,1598444.142857143
110,146,   Bulgaria,0.0,100,0.0,612960,649430,688682,907821,1106483,1179625,1683074,975439.2857142857
111,147,   Czechia,0.0,203,0.0,564746,620286,723333,752058,779438,819776,1026108,755106.4285714285
112,148,   Hungary,0.0,348,0.0,391583,404141,420959,466530,511199,600887,714420,501388.4285714286
113,149,   Poland,0.0,616,0.0,1673426,1775774,2047626,2884657,3716338,4077038,4825096,2999993.5714285714
114,150,   Republic of Moldova*,0.0,498,0.0,625680,620030,602773,715496,827409,929759,1159443,782941.4285714285
115,151,   Romania,0.0,642,0.0,811853,976732,1138825,2105906,3363361,3420714,3987093,2257783.4285714286
116,152,   Russian Federation,0.0,643,0.0,12653331,11587959,10664764,10302948,10118680,10179999,10756697,10894911.142857144
117,153,   Slovakia,0.0,703,0.0,132977,191610,251533,271828,260656,347385,419651,267948.5714285714
118,154,   Ukraine*,0.0,804,0.0,5545517,5606133,5596518,5566382,5429876,5797550,6139144,5668731.428571428
119,156,   Channel Islands*,0.0,830,0.0,18726,15626,12825,14815,15699,16469,17158,15902.57142857143
120,157,   Denmark*,0.0,208,0.0,201514,207707,217761,224462,233531,236832,257025,225547.42857142858
121,158,   Estonia,0.0,233,0.0,113860,129586,141821,150101,153633,189109,206631,154963.0
122,159,   Faroe Islands*,0.0,234,0.0,7518,10003,12410,12484,12364,13407,12927,11587.57142857143
123,160,   Finland*,0.0,246,0.0,250610,288655,315861,300562,291883,282223,311889,291669.0
124,161,   Iceland,0.0,352,0.0,17597,21433,26173,28669,32454,37006,43251,29511.85714285714
125,162,   Ireland,0.0,372,0.0,917101,863541,820657,769942,729466,736639,734317,795951.8571428572
126,163,   Isle of Man*,0.0,833,0.0,10735,9003,7377,8484,9033,10580,12032,9606.285714285714
127,164,   Latvia,0.0,428,0.0,215070,228958,238641,270982,278168,369238,380010,283009.5714285714
128,165,   Lithuania,0.0,440,0.0,340973,342389,348564,412371,517746,556292,658057,453770.28571428574
129,166,   Norway*,0.0,578,0.0,138289,151041,163834,174063,179971,185578,191392,169166.85714285713
130,167,   Sweden,0.0,752,0.0,205942,225655,256610,267953,291904,302408,327581,268293.28571428574
131,168,   United Kingdom*,0.0,826,0.0,3789316,3708650,3860006,4145206,4432928,4379366,4732510,4149711.714285714
132,170,   Albania,0.0,8,0.0,180204,501066,824442,966032,1117940,1142844,1250451,854711.2857142857
133,171,   Andorra,0.0,20,0.0,3740,4142,5575,5727,7909,8740,11132,6709.285714285715
134,172,   Bosnia and Herzegovina,0.0,70,0.0,861760,1372526,1496691,1501036,1572925,1593430,1687639,1440858.142857143
135,173,   Croatia,0.0,191,0.0,425544,735213,907031,839084,820407,806242,1039526,796149.5714285715
136,174,   Gibraltar*,0.0,292,0.0,11989,10130,8451,9643,10197,11916,13389,10816.42857142857
137,175,   Greece,0.0,300,0.0,1022125,1004201,982685,867619,789457,820119,1088507,939244.7142857143
138,176,   Holy See*,0.0,336,0.0,10,26,41,110,175,310,174,120.85714285714286
139,177,   Italy,0.0,380,0.0,3350982,3207728,3067498,2698486,2559233,2662661,3258831,2972202.714285714
140,178,   Malta,0.0,470,0.0,110738,109839,104869,100245,99294,93554,102793,103047.42857142857
141,179,   Montenegro,0.0,499,0.0,77384,144640,183451,148013,148754,134028,132965,138462.14285714287
142,180,   North Macedonia,0.0,807,0.0,432070,491992,532132,458822,526151,563354,693896,528345.2857142857
143,181,   Portugal,0.0,620,0.0,1871869,1920865,1993793,1743009,1927397,1971655,2081419,1930001.0
144,182,   San Marino,0.0,674,0.0,1413,2456,3494,2907,2266,3688,2407,2661.5714285714284
145,183,   Serbia*,0.0,688,0.0,742547,914112,1131919,960621,936001,826891,1003962,930864.7142857143
146,184,   Slovenia,0.0,705,0.0,91447,108611,118659,119399,122948,136538,160197,122542.71428571429
147,185,   Spain*,0.0,724,0.0,1439004,1362409,1290614,1114465,1087071,1269283,1489823,1293238.4285714286
148,187,   Austria,0.0,40,0.0,505214,490045,478091,493349,517401,515234,600740,514296.28571428574
149,188,   Belgium,0.0,56,0.0,363970,374734,398864,437701,484032,515793,577463,450365.28571428574
150,189,   France*,0.0,250,0.0,1215837,1353297,1555391,1725216,1956818,2119266,2341908,1752533.2857142857
151,190,   Germany,0.0,276,0.0,2929448,3045354,3235247,3442933,3696638,3630278,3855268,3405023.714285714
152,191,   Liechtenstein,0.0,438,0.0,3425,3018,2688,2935,3590,3536,3706,3271.1428571428573
153,192,   Luxembourg,0.0,442,0.0,36108,37875,39762,52806,62048,69366,81757,54246.0
154,193,   Monaco,0.0,492,0.0,4475,4784,5124,19103,26954,29317,32552,17472.714285714286
155,194,   Netherlands*,0.0,528,0.0,716471,726856,747631,790554,854388,867093,970403,810485.1428571428
156,195,   Switzerland,0.0,756,0.0,325580,339249,370442,502289,624385,644855,713623,502917.5714285714
157,198,   Anguilla*,0.0,660,0.0,1832,2166,2508,2425,2273,2553,2505,2323.1428571428573
158,199,   Antigua and Barbuda,0.0,28,0.0,21382,26965,32782,36398,41347,52189,66561,39660.57142857143
159,200,   Aruba*,0.0,533,0.0,5887,6705,7662,9482,13524,16621,21456,11619.57142857143
160,201,   Bahamas,0.0,44,0.0,25137,29594,34301,34715,35990,42965,53793,36642.142857142855
161,202,   Barbados,0.0,52,0.0,84766,89612,94998,92975,96193,101879,99611,94290.57142857143
162,203,"   Bonaire, Sint Eustatius and Saba*",0.0,535,0.0,445,540,647,753,7065,7295,8148,3556.1428571428573
163,204,   British Virgin Islands*,0.0,92,0.0,3094,3368,3683,4008,4921,5118,5355,4221.0
164,205,   Cayman Islands*,0.0,136,0.0,356,794,1278,1290,1404,1709,1908,1248.4285714285713
165,206,   Cuba,0.0,192,0.0,835175,934168,1047789,1160309,1314739,1505827,1757300,1222186.7142857143
166,207,   Curaçao*,0.0,531,0.0,2104,2849,3779,4618,45248,6239,7611,10349.714285714286
167,208,   Dominica,0.0,212,0.0,40563,44210,48275,64037,73583,72585,78191,60206.28571428572
168,209,   Dominican Republic,0.0,214,0.0,458021,667015,889451,1014070,1184417,1454602,1608567,1039449.0
169,210,   Grenada,0.0,308,0.0,43237,54075,63791,64646,63930,69055,62204,60134.0
170,211,   Guadeloupe*,0.0,312,0.0,5765,6748,7750,8911,10779,11993,12542,9212.57142857143
171,212,   Haiti,0.0,332,0.0,524711,661354,802218,967894,1123190,1467042,1769671,1045154.2857142857
172,213,   Jamaica,0.0,388,0.0,588450,718362,857865,905170,989790,1031596,1118931,887166.2857142857
173,214,   Martinique*,0.0,474,0.0,11036,12501,14019,14340,14637,12675,12963,13167.285714285714
174,215,   Montserrat*,0.0,500,0.0,7178,11586,16132,15810,17378,20136,24582,16114.57142857143
175,216,   Puerto Rico*,0.0,630,0.0,1200245,1405619,1600058,1640015,1731818,1715817,1850529,1592014.4285714286
176,217,   Saint Barthélemy*,0.0,652,0.0,0,0,0,0,0,0,0,0.0
177,218,   Saint Kitts and Nevis,0.0,659,0.0,18618,24662,30867,33317,35795,40211,50285,33393.57142857143
178,219,   Saint Lucia,0.0,662,0.0,21999,30672,39556,46897,50318,57939,71227,45515.42857142857
179,220,   Saint Martin (French part)*,0.0,663,0.0,0,0,0,0,0,0,0,0.0
180,221,   Saint Vincent and the Grenadines,0.0,670,0.0,37010,45669,53543,55611,55435,62292,55525,52155.0
181,222,   Sint Maarten (Dutch part)*,0.0,534,0.0,707,914,1186,1246,3303,1929,2191,1639.4285714285713
182,223,   Trinidad and Tobago,0.0,780,0.0,197440,251142,307795,322906,350517,368633,330519,304136.0
183,224,   Turks and Caicos Islands*,0.0,796,0.0,2308,1533,740,1190,2197,2454,2689,1873.0
184,225,   United States Virgin Islands*,0.0,850,0.0,2309,3030,3814,3638,3711,3953,3908,3480.4285714285716
185,227,   Belize,0.0,84,0.0,36101,41950,48211,51883,57371,63099,52756,50195.857142857145
186,228,   Costa Rica,0.0,188,0.0,69283,84980,105227,117618,132317,138237,150241,113986.14285714286
187,229,   El Salvador,0.0,222,0.0,1241849,933103,949042,1118793,1337085,1512895,1599058,1241689.2857142857
188,230,   Guatemala,0.0,320,0.0,348189,461891,582796,736715,924898,1118115,1368431,791576.4285714285
189,231,   Honduras,0.0,340,0.0,156379,246575,342103,448882,587503,729855,985077,499482.0
190,232,   Mexico,0.0,484,0.0,4395355,6949276,9562878,10817810,12415222,11923234,11185737,9607073.142857144
191,233,   Nicaragua,0.0,558,0.0,441488,437711,501517,555532,610211,655577,718154,560027.1428571428
192,234,   Panama,0.0,591,0.0,134392,132978,136929,131417,139844,150210,139520,137898.57142857142
193,236,   Argentina,0.0,32,0.0,430155,481968,555542,805291,938639,943843,1076148,747369.4285714285
194,237,   Bolivia (Plurinational State of),0.0,68,0.0,224693,283540,344702,543766,779961,824008,927244,561130.5714285715
195,238,   Brazil,0.0,76,0.0,491359,730491,940458,1194575,1495404,1504231,1897128,1179092.2857142857
196,239,   Chile,0.0,152,0.0,493026,499207,511997,541745,571842,618015,643800,554233.1428571428
197,240,   Colombia,0.0,170,0.0,1009148,1215967,1433940,1883904,2554020,2698688,3024273,1974277.142857143
198,241,   Ecuador,0.0,218,0.0,214008,326230,446380,986599,1152897,1130774,1127891,769254.1428571428
199,242,   Falkland Islands (Malvinas)*,0.0,238,0.0,255,760,1262,1095,1174,1370,1518,1062.0
200,243,   French Guiana*,0.0,254,0.0,2840,3221,3640,3800,3940,4517,4595,3793.285714285714
201,244,   Guyana,0.0,328,0.0,233318,295292,362157,392555,439233,481258,438413,377460.85714285716
202,245,   Paraguay,0.0,600,0.0,297742,335845,374675,545698,765811,845591,896484,580263.7142857143
203,246,   Peru,0.0,604,0.0,313209,505474,694144,969002,1299095,1410199,1519635,958679.7142857143
204,247,   Suriname,0.0,740,0.0,177857,191535,211219,248782,258715,254612,273209,230847.0
205,248,   Uruguay,0.0,858,0.0,237486,233993,235641,298986,338438,353225,367060,294975.5714285714
206,249,   Venezuela (Bolivarian Republic of),0.0,862,0.0,185492,241864,317753,437087,560528,709140,5415337,1123885.857142857
207,251,   Bermuda*,0.0,60,0.0,71681,42587,14079,14907,15313,16225,21107,27985.571428571428
208,252,   Canada,0.0,124,0.0,994254,1064305,1142641,1185156,1268057,1263552,1292329,1172899.142857143
209,253,   Greenland*,0.0,304,0.0,9504,11361,13388,14618,15391,16711,17866,14119.857142857143
210,254,   Saint Pierre and Miquelon*,0.0,666,0.0,483,477,484,426,390,400,433,441.85714285714283
211,255,   United States of America*,0.0,840,0.0,1726213,1827431,1979327,2296999,2670652,2717761,2996223,2316372.285714286
212,258,   Australia*,0.0,36,0.0,301013,341312,381836,428769,486949,518158,598765,436686.0
213,259,   New Zealand*,0.0,554,0.0,388017,416922,489824,555511,662316,738044,806159,579541.8571428572
214,261,   Fiji,0.0,242,0.0,90161,106488,131908,157045,183607,208568,233856,158804.7142857143
215,262,   New Caledonia*,0.0,540,0.0,4148,4600,4941,5219,5377,5584,5839,5101.142857142857
216,263,   Papua New Guinea,0.0,598,0.0,3107,4059,4552,4493,4231,4980,4810,4318.857142857143
217,264,   Solomon Islands,0.0,90,0.0,2212,2542,2728,2999,3371,3886,4270,3144.0
218,265,   Vanuatu,0.0,548,0.0,4869,5611,6242,7264,7692,6751,7246,6525.0
219,267,   Guam*,0.0,316,0.0,1375,1614,2797,2535,2209,2132,2213,2125.0
220,268,   Kiribati,0.0,296,0.0,4053,4246,3991,4021,3565,4127,5103,4158.0
221,269,   Marshall Islands,0.0,584,0.0,1426,4154,6976,6654,6492,7625,10886,6316.142857142857
222,270,   Micronesia (Fed. States of),0.0,583,0.0,7713,12138,16914,18346,19404,20633,24945,17156.14285714286
223,271,   Nauru,0.0,520,0.0,1419,1511,1593,1869,2130,2267,2454,1891.857142857143
224,272,   Northern Mariana Islands*,0.0,580,0.0,2517,2647,2765,2725,2611,2607,2741,2659.0
225,273,   Palau,0.0,585,0.0,2957,2844,3998,3782,2619,2559,2656,3059.285714285714
226,275,   American Samoa*,0.0,16,0.0,2041,2638,3186,2588,2157,1961,1832,2343.285714285714
227,276,   Cook Islands*,0.0,184,0.0,17485,17009,19478,19580,20556,21555,21106,19538.428571428572
228,277,   French Polynesia*,0.0,258,0.0,3132,3738,4300,2717,1550,1978,2157,2796.0
229,278,   Niue*,0.0,570,0.0,5858,5571,5749,5291,5347,5348,5186,5478.571428571428
230,279,   Samoa,0.0,882,0.0,74861,81952,94541,99230,104820,116855,135732,101141.57142857143
231,280,   Tokelau*,0.0,772,0.0,1684,1810,2061,2090,2168,2171,2112,2013.7142857142858
232,281,   Tonga,0.0,776,0.0,32665,38208,46444,48337,51521,59203,74550,50132.57142857143
233,282,   Tuvalu,0.0,798,0.0,2350,2738,2611,2917,3011,3203,3670,2928.5714285714284
234,283,   Wallis and Futuna Islands*,0.0,876,0.0,6484,6943,7401,7436,7465,11227,11917,8410.42857142857
