Unnamed: 0,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020,latitude,longitude
0,   burundi,108,333110.0,254853.0,125628.0,192774.0,247321.0,298299.0,344767.0,-3.426449,29.9324519
1,   comoros,174,14079.0,13939.0,13799.0,13209.0,12618.0,12555.0,12496.0,-12.2045176,44.2832964
2,   djibouti,262,122221.0,99774.0,100507.0,92110.0,102307.0,112351.0,119738.0,11.8145966,42.8453061
3,   eritrea,232,11848.0,12400.0,12952.0,15905.0,15813.0,15941.0,13934.0,15.9500319,37.9999668
4,   ethiopia,231,1155390.0,806904.0,611384.0,514451.0,568748.0,1161642.0,1085517.0,10.2116702,38.6521203
5,   kenya,404,298089.0,618745.0,707852.0,773354.0,954925.0,1126886.0,1050147.0,1.4419683,38.4313975
6,   madagascar,450,23917.0,21177.0,23541.0,26058.0,28905.0,32075.0,35563.0,-18.9249604,46.4416422
7,   malawi,454,1127724.0,241624.0,232620.0,221661.0,217722.0,197328.0,191362.0,-13.2687204,33.9301963
8,   mauritius,480,3613.0,7493.0,15543.0,19647.0,24836.0,28585.0,28893.0,-20.2759451,57.5703566
9,   mayotte,175,15229.0,26316.0,45474.0,63176.0,72757.0,81386.0,111540.0,-12.823048,45.1520755
10,   mozambique,508,122332.0,168256.0,195702.0,268694.0,306471.0,321794.0,338850.0,-19.302233,34.9144977
11,   runion,638,57210.0,77159.0,100678.0,115076.0,123029.0,127209.0,131769.0,48.1070493,-3.8354764
12,   rwanda,646,160024.0,215735.0,347076.0,423187.0,426901.0,514647.0,513907.0,-1.9646631,30.0644358
13,   seychelles,690,3721.0,5148.0,6574.0,8997.0,11420.0,12791.0,13050.0,-4.6574977,55.4540146
14,   somalia,706,478294.0,19527.0,20097.0,20768.0,48106.0,40990.0,58590.0,8.3676771,49.083416
15,   south sudan,728,0.0,0.0,0.0,0.0,230732.0,844112.0,882252.0,7.8699431,29.6667897
16,   uganda,800,544273.0,606987.0,584280.0,593308.0,492930.0,851175.0,1720313.0,1.5333554,32.2166578
17,   united republic of tanzania,834,574025.0,1106043.0,949600.0,771153.0,309847.0,384567.0,426017.0,-6.5247123,35.7878438
18,   zambia,894,279463.0,244338.0,343703.0,252895.0,149962.0,132107.0,187955.0,-14.5189121,27.5589884
19,   zimbabwe,716,634621.0,431226.0,410109.0,402226.0,398307.0,400482.0,416141.0,-18.4554963,29.7468414
20,   angola,24,33517.0,39813.0,46108.0,62331.0,336367.0,632178.0,656434.0,-11.8775768,17.5691241
21,   cameroon,120,265967.0,244791.0,227242.0,265503.0,291474.0,508346.0,579209.0,4.6125522,13.1535811
22,   central african republic,140,67234.0,99712.0,123529.0,96409.0,94685.0,81568.0,88546.0,7.0323598,19.9981227
23,   chad,148,74342.0,89584.0,104825.0,352130.0,417034.0,466968.0,547494.0,15.6134137,19.0156172
24,   congo,178,129391.0,191635.0,305880.0,318724.0,425173.0,390142.0,387606.0,-2.9814344,23.8222636
25,   democratic republic of the congo,180,754194.0,1816963.0,744387.0,623009.0,589882.0,810018.0,952871.0,-2.9814344,23.8222636
26,   equatorial guinea,226,2740.0,3629.0,4517.0,6588.0,8658.0,209611.0,230618.0,1.613172,10.5170357
27,   gabon,266,128188.0,171427.0,214431.0,233824.0,270829.0,378686.0,416651.0,-0.8999695,11.6899699
28,   sao tome and principe,678,5582.0,4936.0,4365.0,3433.0,2700.0,2394.0,2139.0,0.9713095,7.02255
29,   algeria,12,273954.0,262032.0,250110.0,197728.0,217268.0,239473.0,250378.0,28.0000272,2.9999825
30,   egypt,818,173833.0,166955.0,184774.0,285006.0,310017.0,353641.0,543937.0,26.2540493,29.2675469
31,   libya,434,457075.0,508041.0,567436.0,625412.0,687192.0,771146.0,826537.0,26.8234472,18.1236723
32,   morocco,504,54895.0,50360.0,53034.0,56222.0,71189.0,92424.0,102358.0,31.1728205,-7.3362482
33,   sudan,729,1402896.0,1053396.0,805086.0,546419.0,618709.0,620523.0,1379147.0,14.5844444,29.4917691
34,   tunisia,788,37984.0,37867.0,36719.0,35040.0,43172.0,56532.0,60145.0,33.8439408,9.400138
35,   western sahara,732,2688.0,2989.0,3289.0,3891.0,4493.0,5179.0,5424.0,24.16819605,-13.892143025000001
36,   botswana,72,27510.0,40168.0,74934.0,84661.0,94863.0,103053.0,110268.0,-23.1681782,24.5928742
37,   eswatini,748,74991.0,35157.0,34084.0,33392.0,32637.0,32352.0,32858.0,-26.5624806,31.3991317
38,   lesotho,426,8240.0,7204.0,6167.0,6290.0,6414.0,9152.0,12060.0,-29.6039267,28.3350193
39,   namibia,516,120641.0,115372.0,135547.0,107347.0,103826.0,101618.0,109391.0,-23.2335499,17.3231107
40,   south africa,710,1163883.0,1003807.0,1016963.0,1351031.0,2114801.0,3231728.0,2860495.0,-28.8166236,24.991639
41,   benin,204,76751.0,105703.0,134655.0,248320.0,309225.0,366284.0,394276.0,9.5293472,2.2584408
42,   burkina faso,854,349652.0,464104.0,520363.0,597658.0,674438.0,704676.0,723989.0,12.0753083,-1.6880314
43,   cabo verde,132,8931.0,9979.0,11027.0,12700.0,14373.0,14924.0,15788.0,16.0000552,-24.0083947
44,   cte divoire,384,1816426.0,2076394.0,2163644.0,2265090.0,2366537.0,2470613.0,2564857.0,16.0000552,-24.0083947
45,   gambia,270,118123.0,150890.0,182514.0,181839.0,185837.0,192540.0,215659.0,13.470062,-15.4900464
46,   ghana,288,164851.0,252879.0,191601.0,309932.0,337766.0,414744.0,476412.0,8.0300284,-1.0800271
47,   guinea,324,403621.0,774505.0,560075.0,233419.0,178762.0,126657.0,121437.0,10.7226226,-10.7083587
48,   guineabissau,624,15368.0,27961.0,20450.0,20902.0,21391.0,22333.0,17945.0,10.7226226,-10.7083587
49,   liberia,430,94964.0,208563.0,151868.0,87217.0,99165.0,112111.0,87947.0,5.7499721,-9.3658524
50,   mali,466,160736.0,176187.0,189475.0,258630.0,341078.0,420504.0,485829.0,16.3700359,-2.2900239
51,   mauritania,478,111650.0,89562.0,57366.0,58211.0,84920.0,166552.0,182286.0,20.2540382,-9.2399263
52,   niger,562,115464.0,145999.0,122260.0,124509.0,126482.0,252998.0,348056.0,17.7356214,9.3238432
53,   nigeria,566,456621.0,462999.0,487882.0,969714.0,990494.0,1199115.0,1308568.0,9.6000359,7.9999721
54,   saint helena,654,178.0,117.0,108.0,163.0,248.0,377.0,437.0,-15.96545515,-5.702575637953244
55,   senegal,686,270410.0,287654.0,231901.0,238298.0,256092.0,266496.0,274929.0,14.4750607,-14.4529612
56,   sierra leone,694,222148.0,98516.0,97974.0,146227.0,79265.0,58830.0,53746.0,8.6400349,-11.8400269
