Index,name,type,year,total_population_as_1_january_thousands,total_population_as_1_july_thousands,male_population_as_1_july_thousands,fem_population_as_1_july_thousands,population_density_as_1_july_persons_per_square_km,population_sex_ratio_as_1_july_males_per_100_fems,median_age_as_1_july_years,natural_change_births_minus_deaths_thousands,rate_natural_change_per_1000_population,population_change_thousands,population_growth_rate_percentage,population_annual_doubling_time_years,births_thousands,births_by_women_aged_15_to_19_thousands,crude_birth_rate_births_per_1000_population,total_fertility_rate_live_births_per_woman,net_reproduction_rate_surviving_daughters_per_woman,mean_age_childbearing_years,sex_ratio_at_birth_males_per_100_fem_births,total_deaths_thousands,male_deaths_thousands,fem_deaths_thousands,crude_death_rate_deaths_per_1000_population,life_expectancy_at_birth_both_sexes_years,male_life_expectancy_at_birth_years,fem_life_expectancy_at_birth_years,life_expectancy_at_age_15_both_sexes_years,male_life_expectancy_at_age_15_years,fem_life_expectancy_at_age_15_years,life_expectancy_at_age_65_both_sexes_years,male_life_expectancy_at_age_65_years,fem_life_expectancy_at_age_65_years,life_expectancy_at_age_80_both_sexes_years,male_life_expectancy_at_age_80_years,fem_life_expectancy_at_age_80_years,infant_deaths_under_age_1_thousands,infant_mortality_rate_infant_deaths_per_1000_live_births,live_births_surviving_to_age_1_thousands,underfive_deaths_under_age_5_thousands,underfive_mortality_deaths_under_age_5_per_1000_live_births,mortality_before_age_40_both_sexes_deaths_under_age_40_per_1000_live_births,male_mortality_before_age_40_deaths_under_age_40_per_1000_male_live_births,fem_mortality_before_age_40_deaths_under_age_40_per_1000_fem_live_births,mortality_before_age_60_both_sexes_deaths_under_age_60_per_1000_live_births,male_mortality_before_age_60_deaths_under_age_60_per_1000_male_live_births,fem_mortality_before_age_60_deaths_under_age_60_per_1000_fem_live_births,mortality_between_age_15_and_50_both_sexes_deaths_under_age_50_per_1000_alive_at_age_15,male_mortality_between_15_and_50_per_1000_15_yold_males,fem_mortality_between_15_and_50_per_1000_15_yold_fems,mortality_between_age_15_and_60_both_sexes_deaths_under_age_60_per_1000_alive_at_age_15,male_mortality_between_age_15_and_60_deaths_under_age_60_per_1000_males_alive_at_age_15,fem_mortality_between_age_15_and_60_deaths_under_age_60_per_1000_fems_alive_at_age_15,net_number_migrants_thousands,net_migration_rate_per_1000_population
887,"Less developed regions, excluding least developed countries",Development Group,1970.0,2352967.682,2382717.589,1211070.363,1171647.227,38.908,103.365,17.762,60263.588,25.284,59499.815,2.497,27.759,92477.21,11067.677,38.8,5.759,2.192,29.201,105.7,32213.622,16931.71,15281.912,13.516,53.968,52.678,55.327,50.221,48.827,51.691,11.684,10.904,12.402,5.178,4.901,5.378,9536.598,103.601,85742.704,13855.069,152.375,263.002,269.043,256.769,432.048,457.232,405.349,177.699,190.486,164.156,308.619,337.409,278.115,-763.491,-0.32
888,"Less developed regions, excluding least developed countries",Development Group,1971.0,2412467.497,2441687.624,1241104.063,1200583.561,39.871,103.375,17.823,59707.214,24.448,58440.253,2.394,28.954,91690.918,11348.306,37.544,5.526,2.119,29.099,105.7,31983.704,16818.23,15165.474,13.096,54.508,53.193,55.89,50.544,49.12,52.045,11.823,11.043,12.537,5.257,4.977,5.461,9339.621,101.547,85113.299,13566.886,148.678,256.868,263.417,250.129,423.68,449.134,396.699,173.293,186.685,159.1,302.144,331.175,271.347,-1266.564,-0.519
889,"Less developed regions, excluding least developed countries",Development Group,1972.0,2470907.75,2500239.282,1270989.663,1229249.62,40.827,103.396,17.921,59748.27,23.892,58663.064,2.346,29.546,91409.349,11430.019,36.553,5.337,2.059,29.051,105.7,31661.079,16636.991,15024.088,12.661,55.093,53.794,56.451,50.929,49.528,52.402,11.977,11.188,12.7,5.345,5.049,5.559,9118.838,99.59,84951.788,13245.651,145.081,250.216,256.24,244.049,414.348,439.001,388.291,167.909,180.429,154.657,294.422,322.383,264.823,-1084.91,-0.434
890,"Less developed regions, excluding least developed countries",Development Group,1973.0,2529570.814,2559129.935,1301052.8,1258077.134,41.788,103.416,18.037,60142.058,23.496,59118.242,2.31,30.006,91373.972,11593.488,35.698,5.154,2.004,28.941,105.7,31231.914,16431.673,14800.241,12.202,55.751,54.423,57.141,51.363,49.929,52.869,12.187,11.37,12.935,5.457,5.133,5.692,8903.122,97.369,85038.025,12890.459,141.184,243.459,249.616,237.159,404.139,428.768,378.12,162.759,175.297,149.482,286.157,313.963,256.723,-1023.406,-0.4
891,"Less developed regions, excluding least developed countries",Development Group,1974.0,2588689.056,2617781.004,1330981.853,1286799.151,42.746,103.434,18.181,59299.987,22.65,58183.896,2.223,31.181,90182.703,11648.985,34.446,4.909,1.921,28.825,105.7,30882.716,16285.639,14597.077,11.796,56.312,54.934,57.758,51.703,50.223,53.26,12.347,11.491,13.133,5.545,5.189,5.806,8632.251,95.337,84042.009,12472.94,137.564,237.447,243.785,230.941,395.657,420.69,369.179,158.689,171.316,145.309,279.724,307.784,250.002,-1115.714,-0.426
892,"Less developed regions, excluding least developed countries",Development Group,1975.0,2646872.952,2675426.862,1360365.393,1315061.469,43.687,103.445,18.343,57804.888,21.606,57107.821,2.135,32.466,88165.907,11518.747,32.955,4.643,1.83,28.776,105.8,30361.019,16029.185,14331.834,11.349,56.94,55.536,58.413,52.106,50.616,53.674,12.509,11.632,13.316,5.63,5.253,5.906,8291.882,93.474,82266.584,11963.26,133.995,230.475,236.734,224.033,385.799,410.773,359.375,153.407,165.661,140.427,271.875,299.561,242.561,-696.708,-0.26
893,"Less developed regions, excluding least developed countries",Development Group,1976.0,2703980.773,2732790.602,1389483.012,1343307.59,44.624,103.437,18.524,57975.356,21.214,57619.658,2.109,32.866,88075.495,11526.692,32.228,4.484,1.779,28.684,105.9,30100.139,15925.958,14174.181,11.014,57.461,56.011,58.987,52.4,50.868,54.015,12.611,11.716,13.435,5.682,5.288,5.972,8052.023,91.396,82301.965,11565.699,130.587,224.379,230.973,217.562,377.66,403.276,350.494,149.332,162.002,135.906,265.908,294.141,235.967,-355.291,-0.13
894,"Less developed regions, excluding least developed countries",Development Group,1977.0,2761600.431,2790125.951,1418518.981,1371606.971,45.56,103.42,18.722,57306.831,20.54,57051.04,2.045,33.895,87103.364,11189.592,31.22,4.29,1.714,28.606,105.9,29796.533,15811.519,13985.014,10.68,58.012,56.495,59.614,52.719,51.124,54.404,12.711,11.79,13.562,5.73,5.313,6.036,7796.974,89.235,81519.051,11149.474,127.027,217.797,224.873,210.457,369.007,395.68,340.651,144.699,158.039,130.561,259.464,288.679,228.425,-255.329,-0.092
895,"Less developed regions, excluding least developed countries",Development Group,1978.0,2818651.471,2847254.124,1447442.109,1399812.015,46.493,103.403,18.919,58375.499,20.497,57205.307,2.009,34.502,88051.62,11255.826,30.917,4.193,1.687,28.503,105.9,29676.121,15800.533,13875.588,10.42,58.511,56.92,60.198,52.968,51.294,54.745,12.785,11.837,13.664,5.766,5.325,6.091,7619.675,86.752,82553.585,10828.706,123.278,211.765,219.472,203.743,361.337,389.323,331.494,141.073,155.463,125.808,254.276,284.876,221.678,-1169.927,-0.411
896,"Less developed regions, excluding least developed countries",Development Group,1979.0,2875856.778,2906018.118,1477124.641,1428893.478,47.453,103.375,19.071,60762.408,20.903,60322.681,2.076,33.389,90366.767,11664.364,31.088,4.158,1.686,28.369,105.9,29604.359,15804.861,13799.498,10.185,59.075,57.423,60.833,53.247,51.509,55.097,12.85,11.88,13.751,5.792,5.329,6.133,7531.645,83.859,84898.214,10600.533,119.038,204.78,212.966,196.242,352.522,381.567,321.481,136.786,151.972,120.664,248.296,279.964,214.491,-439.333,-0.151
897,"Less developed regions, excluding least developed countries",Development Group,1980.0,2936179.459,2968084.996,1508585.272,1459499.724,48.466,103.363,19.19,62661.516,21.112,63811.073,2.15,32.239,92343.769,11974.167,31.113,4.108,1.676,28.265,106.0,29682.253,15895.455,13786.798,10.001,59.556,57.833,61.397,53.459,51.648,55.393,12.893,11.903,13.816,5.805,5.324,6.16,7460.531,81.22,86917.597,10426.74,115.046,198.774,207.674,189.472,345.105,375.412,312.636,133.501,149.756,116.228,243.639,276.584,208.393,1149.897,0.387
898,"Less developed regions, excluding least developed countries",Development Group,1981.0,2999990.532,3032988.255,1541533.234,1491455.021,49.526,103.358,19.287,64811.662,21.369,65995.446,2.176,31.854,94541.018,12591.691,31.171,4.059,1.668,28.111,106.1,29729.356,15981.683,13747.673,9.802,60.06,58.251,61.999,53.693,51.789,55.733,12.971,11.952,13.925,5.843,5.333,6.219,7392.749,78.617,89145.96,10275.439,111.029,193.12,202.979,182.793,337.499,369.207,303.456,130.524,148.141,111.78,238.832,273.254,201.927,1184.173,0.39
899,"Less developed regions, excluding least developed countries",Development Group,1982.0,3065985.978,3099626.132,1575162.437,1524463.696,50.614,103.326,19.408,67569.988,21.793,67280.309,2.171,31.928,97438.37,13227.401,31.426,4.046,1.672,28.007,106.2,29868.382,16091.005,13777.377,9.633,60.538,58.678,62.534,53.92,51.966,56.017,13.034,11.99,14.011,5.872,5.338,6.264,7360.493,76.027,92041.594,10190.894,107.244,187.548,197.838,176.76,330.182,362.531,295.429,127.375,145.54,108.038,234.094,269.097,196.545,-289.406,-0.093
900,"Less developed regions, excluding least developed countries",Development Group,1983.0,3133266.287,3165768.156,1608376.599,1557391.557,51.694,103.274,19.604,65853.144,20.802,65003.738,2.053,33.763,95570.097,13354.549,30.19,3.843,1.596,27.945,106.2,29716.953,16027.614,13689.339,9.388,61.024,59.133,63.053,54.219,52.239,56.343,13.115,12.043,14.12,5.909,5.349,6.317,7160.43,74.692,90365.943,9927.948,104.453,181.983,192.237,171.241,322.246,354.665,287.448,123.175,141.219,103.984,228.004,262.918,190.589,-848.92,-0.268
901,"Less developed regions, excluding least developed countries",Development Group,1984.0,3198270.025,3231700.902,1641449.471,1590251.431,52.771,103.219,19.86,67880.03,20.998,66861.754,2.069,33.502,97581.003,13506.319,30.185,3.797,1.584,27.866,106.3,29700.973,16006.231,13694.742,9.187,61.512,59.632,63.525,54.514,52.546,56.62,13.206,12.118,14.225,5.95,5.371,6.371,7072.609,72.806,92385.729,9787.127,101.523,176.568,186.353,166.335,314.517,346.219,280.571,119.243,136.625,100.785,222.222,256.281,185.808,-1018.122,-0.315
902,"Less developed regions, excluding least developed countries",Development Group,1985.0,3265131.779,3299526.202,1675455.992,1624070.21,53.879,103.164,20.113,69450.889,21.043,68788.846,2.085,33.244,99238.939,13577.758,30.069,3.738,1.565,27.777,106.4,29788.05,16050.536,13737.514,9.026,61.941,60.056,63.956,54.755,52.781,56.862,13.294,12.188,14.331,5.99,5.392,6.423,7003.268,70.801,94080.631,9665.504,98.707,172.056,181.63,162.057,308.064,339.395,274.575,116.376,133.426,98.286,217.748,251.344,181.891,-661.762,-0.201
903,"Less developed regions, excluding least developed countries",Development Group,1986.0,3333920.625,3369710.242,1710819.265,1658890.977,55.025,103.13,20.343,72057.558,21.377,71579.233,2.124,32.634,101971.908,13667.359,30.252,3.719,1.563,27.697,106.6,29914.35,16133.047,13781.303,8.875,62.385,60.475,64.424,54.999,52.996,57.136,13.393,12.26,14.457,6.035,5.412,6.484,6978.944,68.819,96799.767,9588.372,95.821,167.439,176.949,157.516,301.554,332.908,268.093,113.566,130.583,95.53,213.373,246.973,177.563,-477.891,-0.142
904,"Less developed regions, excluding least developed countries",Development Group,1987.0,3405499.858,3442091.641,1747518.597,1694573.043,56.206,103.124,20.558,73656.393,21.394,73183.566,2.126,32.603,103727.409,13223.795,30.128,3.676,1.549,27.7,106.9,30071.016,16235.142,13835.874,8.734,62.789,60.855,64.853,55.212,53.184,57.376,13.492,12.33,14.585,6.078,5.431,6.544,6928.937,66.993,98586.454,9494.116,93.14,163.324,172.705,153.536,295.902,327.255,262.475,111.296,128.182,93.411,209.799,243.341,174.088,-472.442,-0.137
905,"Less developed regions, excluding least developed countries",Development Group,1988.0,3478683.424,3514824.627,1784423.87,1730400.758,57.394,103.122,20.768,72736.569,20.695,72282.407,2.057,33.697,102933.477,13438.084,29.286,3.545,1.498,27.635,107.1,30196.908,16340.342,13856.566,8.591,63.114,61.131,65.233,55.399,53.326,57.613,13.588,12.401,14.704,6.117,5.451,6.595,6790.993,65.872,97907.934,9325.729,91.208,160.231,169.919,150.112,291.433,323.385,257.354,109.448,126.705,91.179,206.864,240.93,170.593,-453.704,-0.129
906,"Less developed regions, excluding least developed countries",Development Group,1989.0,3550965.831,3587406.632,1821333.875,1766072.757,58.579,103.129,20.974,73739.352,20.551,72881.602,2.032,34.112,104030.312,13580.902,28.993,3.484,1.476,27.548,107.3,30290.96,16390.037,13900.923,8.442,63.497,61.511,65.617,55.629,53.557,57.838,13.683,12.487,14.807,6.152,5.479,6.634,6698.798,64.51,99044.305,9191.784,89.07,156.215,165.584,146.43,285.834,317.55,252.041,106.732,123.61,88.886,202.932,236.649,167.073,-857.48,-0.239
907,"Less developed regions, excluding least developed countries",Development Group,1990.0,3623847.433,3660717.808,1858671.033,1802046.774,59.776,103.142,21.194,74564.59,20.364,73740.749,2.014,34.416,105137.735,13453.991,28.714,3.43,1.456,27.467,107.6,30573.145,16545.667,14027.478,8.35,63.773,61.779,65.901,55.752,53.676,57.963,13.741,12.55,14.858,6.164,5.497,6.638,6615.076,63.018,100202.346,9064.572,86.936,153.388,162.784,143.564,282.049,313.899,248.115,105.429,122.391,87.506,200.849,234.623,164.94,-823.637,-0.225
908,"Less developed regions, excluding least developed countries",Development Group,1991.0,3697588.182,3731584.857,1894794.998,1836789.859,60.934,103.158,21.446,69636.668,18.665,67993.349,1.822,38.043,100241.063,13590.05,26.868,3.187,1.355,27.278,107.6,30604.395,16485.427,14118.968,8.203,64.008,62.085,66.047,55.895,53.897,58.009,13.801,12.662,14.859,6.172,5.543,6.614,6335.429,62.643,95570.431,8728.366,85.782,151.091,159.962,141.823,278.506,309.233,245.842,103.851,120.077,86.737,198.319,230.849,163.808,-1642.825,-0.44
909,"Less developed regions, excluding least developed countries",Development Group,1992.0,3765581.531,3797724.296,1928467.628,1869256.668,62.014,103.168,21.72,68202.849,17.952,64285.53,1.693,40.942,98726.171,13331.766,25.986,3.079,1.312,27.225,107.7,30523.322,16460.393,14062.929,8.034,64.344,62.409,66.395,56.13,54.109,58.266,13.943,12.787,15.017,6.243,5.602,6.695,6120.712,61.823,94188.357,8441.208,84.357,148.544,157.244,139.453,273.955,304.558,241.433,102.008,118.261,84.879,194.899,227.37,160.454,-3916.964,-1.031
910,"Less developed regions, excluding least developed countries",Development Group,1993.0,3829867.061,3861514.407,1960859.131,1900655.275,63.055,103.168,22.001,67136.54,17.378,63294.691,1.639,42.291,97681.044,13088.842,25.285,2.999,1.279,27.21,108.0,30544.504,16504.573,14039.931,7.907,64.642,62.678,66.724,56.321,54.262,58.501,14.069,12.891,15.167,6.314,5.659,6.778,5940.7,60.701,93270.49,8183.118,82.849,146.277,154.938,137.223,270.197,301.015,237.449,100.698,117.216,83.301,192.355,225.128,157.586,-3841.556,-0.994
911,"Less developed regions, excluding least developed countries",Development Group,1994.0,3893161.752,3924872.681,1993090.186,1931782.495,64.09,103.174,22.289,66229.767,16.869,63421.858,1.616,42.893,96985.913,12914.64,24.703,2.932,1.251,27.146,108.2,30756.146,16559.044,14197.102,7.834,64.865,62.959,66.875,56.425,54.42,58.537,14.138,13.002,15.19,6.34,5.72,6.775,5778.404,59.527,92689.18,7936.143,81.174,144.279,152.521,135.667,267.466,297.464,235.647,100.037,116.21,83.032,190.987,222.967,157.111,-2807.548,-0.715
912,"Less developed regions, excluding least developed countries",Development Group,1995.0,3956583.61,3988123.266,2025307.635,1962815.63,65.123,103.184,22.577,65415.342,16.398,63079.311,1.582,43.815,96392.929,12867.506,24.164,2.872,1.227,27.059,108.4,30977.587,16704.459,14273.128,7.766,65.086,63.162,67.117,56.553,54.522,58.694,14.244,13.097,15.307,6.401,5.775,6.843,5638.568,58.451,92195.808,7733.268,79.791,142.769,151.036,134.122,265.129,295.339,233.07,99.523,116.01,82.197,189.746,222.011,155.555,-2335.686,-0.586
913,"Less developed regions, excluding least developed countries",Development Group,1996.0,4019662.921,4050873.547,2057294.039,1993579.508,66.147,103.196,22.864,64293.345,15.869,62421.251,1.541,44.98,95494.965,12593.438,23.57,2.811,1.203,27.051,108.5,31201.62,16804.492,14397.128,7.701,65.324,63.421,67.328,56.658,54.648,58.772,14.315,13.191,15.355,6.434,5.834,6.857,5464.778,57.147,91413.617,7480.695,77.934,140.727,148.808,132.278,262.293,292.26,230.518,98.992,115.378,81.788,188.448,220.45,154.559,-1871.783,-0.462
914,"Less developed regions, excluding least developed countries",Development Group,1997.0,4082084.172,4112997.609,2089069.054,2023928.555,67.162,103.219,23.154,63453.878,15.425,61826.874,1.503,46.118,94786.57,12468.792,23.042,2.759,1.183,27.07,108.5,31332.692,16883.297,14449.395,7.617,65.621,63.717,67.627,56.816,54.801,58.934,14.423,13.305,15.457,6.489,5.898,6.906,5288.696,55.733,90813.262,7227.724,75.9,138.4,146.454,129.989,258.715,288.701,226.961,98.106,114.572,80.831,186.484,218.509,152.6,-1626.522,-0.395
915,"Less developed regions, excluding least developed countries",Development Group,1998.0,4143911.046,4174555.905,2120589.227,2053966.678,68.167,103.244,23.444,62794.251,15.04,61289.719,1.468,47.217,94243.015,12560.25,22.572,2.713,1.166,27.047,108.6,31448.764,16982.85,14465.914,7.532,65.936,64.008,67.968,56.991,54.953,59.137,14.549,13.409,15.608,6.56,5.955,6.99,5122.649,54.315,90370.915,6988.405,73.875,136.031,143.96,127.76,255.048,285.112,223.258,97.163,113.572,79.961,184.423,216.494,150.535,-1504.403,-0.36
916,"Less developed regions, excluding least developed countries",Development Group,1999.0,4205200.765,4235512.251,2151785.126,2083727.126,69.162,103.266,23.725,62285.345,14.703,60622.972,1.431,48.438,93990.789,12452.853,22.187,2.676,1.153,27.088,108.7,31705.444,17072.978,14632.466,7.484,66.215,64.323,68.202,57.096,55.114,59.174,14.603,13.522,15.601,6.568,6.018,6.956,4960.199,52.758,90217.299,6742.821,71.585,133.221,141.202,124.892,251.42,281.269,219.901,96.35,112.49,79.442,182.792,214.402,149.448,-1661.991,-0.392
917,"Less developed regions, excluding least developed countries",Development Group,2000.0,4265823.737,4297029.546,2183305.279,2113724.267,70.167,103.292,23.991,63189.711,14.703,62411.617,1.452,47.737,95069.982,12409.715,22.121,2.677,1.157,27.118,108.8,31880.271,17232.69,14647.581,7.418,66.57,64.632,68.611,57.257,55.226,59.393,14.709,13.591,15.747,6.624,6.049,7.035,4833.661,50.948,91359.848,6532.496,69.006,130.046,138.028,121.718,247.032,277.34,215.051,95.509,111.786,78.458,180.639,212.701,146.833,-777.834,-0.181
918,"Less developed regions, excluding least developed countries",Development Group,2001.0,4328235.354,4358971.287,2214984.288,2143986.999,71.178,103.311,24.247,62759.479,14.396,61471.866,1.41,49.159,94665.871,12482.321,21.715,2.633,1.142,27.125,108.7,31906.392,17372.08,14534.312,7.319,66.962,64.925,69.119,57.5,55.369,59.753,14.885,13.68,16.015,6.738,6.096,7.205,4687.997,49.508,91057.33,6317.369,66.844,127.205,135.281,118.774,242.448,273.559,209.624,94.454,110.934,77.182,177.788,210.594,143.206,-1287.375,-0.295
919,"Less developed regions, excluding least developed countries",Development Group,2002.0,4389707.22,4419225.909,2245729.248,2173496.661,72.162,103.323,24.499,62280.745,14.088,59037.378,1.336,51.882,94370.402,12184.074,21.347,2.594,1.128,27.154,108.6,32089.657,17471.837,14617.82,7.259,67.31,65.27,69.466,57.682,55.55,59.933,14.969,13.757,16.105,6.778,6.129,7.251,4528.903,47.948,90868.396,6088.522,64.517,123.989,131.89,115.743,237.542,268.436,204.997,93.102,109.333,76.093,174.733,207.26,140.494,-3243.035,-0.734
920,"Less developed regions, excluding least developed countries",Development Group,2003.0,4448744.598,4478482.827,2275969.086,2202513.741,73.13,103.335,24.75,61744.414,13.783,59476.458,1.328,52.195,94076.776,11873.887,21.001,2.555,1.115,27.163,108.7,32332.362,17634.934,14697.428,7.218,67.635,65.562,69.83,57.818,55.659,60.099,15.035,13.809,16.188,6.798,6.145,7.277,4350.693,46.2,90694.757,5834.754,61.977,121.012,129.049,112.604,233.064,264.308,200.16,92.426,108.769,75.291,172.406,205.173,137.934,-2267.751,-0.506
921,"Less developed regions, excluding least developed countries",Development Group,2004.0,4508221.056,4538188.274,2306420.042,2231768.232,74.105,103.345,24.999,61713.9,13.596,59934.435,1.321,52.471,94475.131,11175.123,20.813,2.538,1.109,27.242,108.7,32761.231,17880.285,14880.946,7.217,67.863,65.775,70.073,57.918,55.757,60.201,15.103,13.861,16.273,6.836,6.166,7.329,4211.551,44.581,91182.397,5657.599,59.966,119.24,127.294,110.79,230.208,261.28,197.503,92.295,108.398,75.408,170.965,203.397,136.891,-1779.251,-0.392
922,"Less developed regions, excluding least developed countries",Development Group,2005.0,4568155.491,4598085.37,2337023.527,2261061.842,75.083,103.36,25.256,61845.831,13.448,59859.757,1.302,53.237,94672.21,10321.84,20.585,2.515,1.104,27.36,108.7,32826.379,17955.552,14870.827,7.137,68.303,66.175,70.558,58.157,55.959,60.481,15.19,13.931,16.378,6.875,6.195,7.377,4055.276,42.82,91487.164,5418.214,57.334,114.849,123.041,106.237,223.668,255.222,190.451,89.96,106.331,72.778,166.687,199.526,132.184,-1985.812,-0.432
923,"Less developed regions, excluding least developed countries",Development Group,2006.0,4628015.248,4658387.1,2367991.094,2290396.006,76.068,103.388,25.521,62109.183,13.33,60743.704,1.304,53.155,95071.805,9914.386,20.405,2.497,1.1,27.45,108.7,32962.622,18075.514,14887.108,7.075,68.706,66.526,71.018,58.367,56.127,60.735,15.286,14.016,16.483,6.923,6.239,7.428,3907.084,41.099,91984.728,5196.816,54.833,110.974,119.593,101.883,218.163,250.443,184.143,88.214,105.024,70.547,163.394,196.827,128.246,-1365.203,-0.293
924,"Less developed regions, excluding least developed countries",Development Group,2007.0,4688758.952,4719447.795,2399423.217,2320024.578,77.065,103.422,25.795,62696.599,13.281,61377.686,1.301,53.278,96058.551,9798.858,20.349,2.491,1.101,27.487,108.7,33361.952,18329.644,15032.308,7.068,68.996,66.781,71.349,58.488,56.215,60.896,15.332,14.042,16.551,6.941,6.248,7.456,3790.687,39.515,93044.613,5019.744,52.582,107.871,116.56,98.686,214.208,246.937,179.713,87.074,104.027,69.241,161.37,195.215,125.789,-1318.701,-0.279
925,"Less developed regions, excluding least developed countries",Development Group,2008.0,4750136.638,4781078.665,2431099.609,2349979.056,78.071,103.452,26.071,63323.424,13.242,61884.054,1.294,53.566,97145.198,10052.464,20.314,2.488,1.102,27.512,108.7,33821.774,18575.993,15245.781,7.072,69.254,67.034,71.61,58.592,56.317,61.001,15.388,14.102,16.603,6.974,6.288,7.482,3684.864,37.988,94199.936,4864.316,50.473,105.295,113.86,96.223,211.102,243.977,176.475,86.289,103.164,68.53,160.033,193.989,124.357,-1439.343,-0.301
926,"Less developed regions, excluding least developed countries",Development Group,2009.0,4812020.692,4843390.65,2463001.133,2380389.516,79.089,103.471,26.358,63868.474,13.185,62739.915,1.295,53.525,97909.354,9685.454,20.212,2.479,1.102,27.55,108.6,34040.88,18721.139,15319.741,7.027,69.626,67.377,72.013,58.8,56.501,61.234,15.48,14.188,16.7,7.025,6.337,7.535,3571.932,36.521,95041.777,4698.845,48.359,101.649,110.272,92.496,206.084,239.304,171.095,84.071,101.023,66.216,156.905,191.137,120.948,-1128.521,-0.233
927,"Less developed regions, excluding least developed countries",Development Group,2010.0,4874760.607,4906070.531,2494883.058,2411187.472,80.112,103.471,26.645,63763.968,12.995,62619.847,1.276,54.322,98097.374,9542.069,19.992,2.457,1.096,27.541,108.6,34333.406,18877.582,15455.824,6.997,69.953,67.701,72.341,58.983,56.681,61.416,15.568,14.275,16.786,7.073,6.385,7.583,3453.031,35.209,95314.952,4534.742,46.475,98.51,106.968,89.519,202.077,235.138,167.282,82.017,98.685,64.452,154.589,188.619,118.867,-1143.847,-0.233
928,"Less developed regions, excluding least developed countries",Development Group,2011.0,4937380.454,4968329.558,2526453.399,2441876.158,81.129,103.464,26.93,63850.199,12.849,61898.207,1.246,55.63,98433.5,9377.464,19.808,2.443,1.093,27.543,108.4,34583.301,19022.015,15561.286,6.959,70.301,68.032,72.702,59.182,56.871,61.623,15.675,14.378,16.894,7.137,6.444,7.65,3335.596,33.9,95733.139,4371.512,44.607,95.242,103.761,86.172,198.051,231.029,163.337,79.831,96.37,62.384,152.304,186.149,116.774,-1951.69,-0.393
929,"Less developed regions, excluding least developed countries",Development Group,2012.0,4999278.661,5030952.958,2558219.667,2472733.291,82.151,103.457,27.207,65199.747,12.956,63348.595,1.259,55.055,100081.209,9250.891,19.887,2.466,1.107,27.562,108.4,34881.462,19208.929,15672.533,6.931,70.636,68.345,73.061,59.38,57.052,61.837,15.805,14.49,17.041,7.223,6.509,7.752,3240.332,32.44,97442.125,4244.616,42.759,92.446,101.026,83.296,194.648,227.367,160.192,78.196,94.568,60.904,150.535,184.004,115.39,-1850.925,-0.368
930,"Less developed regions, excluding least developed countries",Development Group,2013.0,5062627.256,5093639.797,2589982.36,2503657.437,83.175,103.448,27.489,63932.757,12.55,62025.082,1.218,56.909,99040.529,9173.139,19.442,2.427,1.093,27.573,108.1,35107.772,19316.151,15791.621,6.892,70.967,68.677,73.385,59.606,57.285,62.049,15.949,14.631,17.183,7.313,6.593,7.845,3124.014,31.496,96496.308,4096.67,41.415,89.749,98.305,80.611,191.256,223.358,157.444,76.374,92.468,59.356,148.405,181.154,114.012,-1907.506,-0.374
931,"Less developed regions, excluding least developed countries",Development Group,2014.0,5124652.338,5155576.851,2621359.038,2534217.814,84.186,103.439,27.783,63485.422,12.312,61849.027,1.2,57.762,98800.23,9100.84,19.161,2.414,1.09,27.659,108.1,35314.808,19393.129,15921.679,6.849,71.33,69.058,73.72,59.84,57.544,62.247,16.092,14.77,17.327,7.401,6.671,7.94,2992.098,30.266,96353.304,3926.121,39.744,86.762,95.093,77.855,187.394,218.425,154.725,74.54,90.039,58.139,146.074,177.615,112.968,-1636.239,-0.317
932,"Less developed regions, excluding least developed countries",Development Group,2015.0,5186501.365,5216435.195,2652158.57,2564276.625,85.18,103.427,28.088,61702.66,11.827,59867.659,1.148,60.379,97348.248,8110.322,18.66,2.374,1.075,27.835,107.9,35645.588,19548.261,16097.327,6.833,71.62,69.361,73.992,60.033,57.754,62.417,16.229,14.896,17.471,7.482,6.737,8.033,2870.277,29.43,94997.038,3763.056,38.484,84.45,92.562,75.768,184.583,214.7,152.88,73.123,88.107,57.251,144.435,174.976,112.381,-1835.057,-0.352
933,"Less developed regions, excluding least developed countries",Development Group,2016.0,5246369.024,5275583.39,2681806.995,2593776.396,86.146,103.394,28.404,61517.313,11.657,58428.733,1.108,62.558,97631.526,7717.884,18.5,2.376,1.078,28.028,107.8,36114.213,19823.581,16290.632,6.843,71.88,69.604,74.271,60.182,57.885,62.584,16.341,14.978,17.614,7.548,6.778,8.119,2769.82,28.388,95350.588,3622.702,37.06,82.369,90.439,73.723,182.023,211.707,150.751,72.198,86.996,56.5,143.204,173.276,111.613,-3088.639,-0.585
934,"Less developed regions, excluding least developed countries",Development Group,2017.0,5304797.757,5333614.388,2710632.851,2622981.538,87.093,103.342,28.72,60371.178,11.316,57633.262,1.081,64.121,97067.216,7599.608,18.195,2.358,1.072,28.082,107.7,36696.038,20230.419,16465.619,6.879,72.104,69.761,74.574,60.294,57.937,62.77,16.406,14.982,17.744,7.578,6.767,8.185,2660.799,27.392,94873.545,3473.774,35.7,80.186,88.342,71.441,179.366,209.31,147.788,71.167,85.991,55.424,141.845,172.084,110.05,-2737.684,-0.513
