,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020,Emigracion_Promedio,Inmigracion_Promedio
206,   United States of America*,840,23251026,28451053,34814053,39258293,44183643,48178877,50632836,38395683.0,38395683.0
113,   Russian Federation,643,11524948,11928927,11900297,11667588,11194710,11643276,11636911,11642379.57142857,11642379.57142857
100,   Saudi Arabia,682,4998445,5122702,5263387,6501819,8429956,10771366,13454842,7791788.142857143,7791788.142857143
148,   Germany,276,5936181,7464406,8992631,9402447,9812263,10220418,15762457,9655829.0,9655829.0
128,   United Kingdom*,826,3650286,4155293,4730165,5926156,7119664,8406996,9359587,6192592.428571428,6192592.428571428
104,   United Arab Emirates,784,1306574,1824118,2447010,3281115,7316697,7995126,8716332,4698138.857142857,4698138.857142857
147,   France*,250,5897267,6087993,6278718,6737600,7309986,7878338,8524876,6959254.0,6959254.0
203,   Canada,124,4333318,4864778,5511914,6078985,6761226,7428657,8049323,6146885.857142857,6146885.857142857
207,   Australia*,36,3955213,4153330,4386250,4878030,5882980,6729730,7685860,5381627.571428572,5381627.571428572
144,   Spain*,724,821605,1020067,1657285,4107226,6280062,5891208,6842202,3802807.8571428573,3802807.8571428573
136,   Italy,380,1428219,1774954,2121688,3954790,5787893,5805328,6386998,3894267.1428571427,3894267.1428571427
82,   India,356,7594801,6952238,6411331,5936740,5574018,5210847,4878704,6079811.285714285,6079811.285714285
115,   Ukraine*,804,6892920,6172338,5527087,5050302,4818767,4915142,4997387,5481991.857142857,5481991.857142857
103,   Turkey,792,1163686,1216173,1280963,1324108,1373749,4346197,6052652,2393932.5714285714,2393932.5714285714
56,   Kazakhstan,398,3619200,3251968,2874194,3103027,3334937,3546060,3732073,3351637.0,3351637.0
86,   Pakistan,586,6208204,3669308,4181912,3174558,3943681,3506520,3276580,3994394.714285714,3994394.714285714
