"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
  Southern Africa,,913,, 841 812, 718 438, 745 852, 909 827,1 351 820,1 905 968,1 772 593
   Botswana,,72,B R, 16 614, 23 517, 43 840, 49 159, 54 019, 58 651, 62 817
   Eswatini,,748,B R, 39 905, 18 701, 17 921, 17 369, 16 790, 16 627, 16 921
   Lesotho,,426,C R, 4 318, 3 827, 3 335, 3 402, 3 469, 5 037, 6 537
   Namibia,,516,B R, 63 748, 61 310, 73 154, 57 625, 55 803, 54 739, 59 024
   South Africa,,710,B R, 717 227, 611 083, 607 602, 782 272,1 221 739,1 770 914,1 627 294
  Western Africa,,914,,2 392 396,2 876 376,2 794 970,3 194 953,3 388 693,3 754 026,4 000 618
   Benin,,204,C B R, 40 418, 56 304, 72 190, 122 368, 143 632, 172 056, 185 619
   Burkina Faso,,854,B R, 167 834, 223 156, 250 555, 285 871, 320 939, 335 328, 344 331
   Cabo Verde,,132,B R, 4 429, 5 091, 5 753, 6 523, 7 293, 7 547, 7 985
   Côte d'Ivoire,,384,C B R,1 011 749,1 150 710,1 198 496,1 254 690,1 310 459,1 368 110,1 420 248
   Gambia,,270,B R, 66 306, 82 048, 97 138, 96 196, 98 123, 101 501, 113 766
   Ghana,,288,B R, 83 030, 127 423, 97 279, 159 527, 180 030, 221 026, 254 403
   Guinea,,324,C B R, 201 260, 386 537, 279 108, 113 528, 93 267, 74 193, 71 385
   Guinea-Bissau,,624,B R, 7 689, 13 833, 10 155, 10 380, 10 463, 10 826, 8 867
   Liberia,,430,B R, 53 924, 111 647, 82 129, 51 197, 56 902, 64 079, 50 694
   Mali,,466,B R, 82 049, 90 871, 97 752, 133 344, 173 088, 213 218, 246 308
   Mauritania,,478,C R, 57 569, 47 015, 31 163, 32 642, 48 746, 94 070, 103 203
   Niger,,562,B R, 55 222, 69 751, 58 192, 59 194, 60 042, 119 915, 162 019
   Nigeria,,566,C R, 256 166, 258 091, 270 211, 564 612, 576 648, 657 887, 713 678
   Saint Helena*,4,654,C,  110,  70,  61,  85,  136,  251,  306
   Senegal,,686,B R, 138 840, 147 165, 121 492, 124 854, 135 879, 141 402, 145 591
   Sierra Leone,,694,B R, 122 898, 55 937, 54 184, 76 709, 43 622, 33 077, 30 408
   Togo,,768,C R, 42 903, 50 727, 69 112, 103 233, 129 424, 139 540, 141 807
 ASIA,,935,,25 669 852,24 775 923,26 295 146,29 083 644,37 687 306,44 550 946,49 796 904
