"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
  Western Africa,,914,, 90 312, 102 991, 117 611, 134 342, 154 153, 176 806, 202 280
   Benin,,204,C B R, 2 424, 2 895, 3 383, 3 955, 4 569, 5 270, 6 054
   Burkina Faso,,854,B R, 4 306, 4 943, 5 702, 6 622, 7 738, 9 019, 10 445
   Cabo Verde,,132,B R,  160,  186,  206,  225,  246,  263,  279
   Côte d'Ivoire,,384,C B R, 6 208, 7 369, 8 479, 9 379, 10 427, 11 747, 13 300
   Gambia,,270,B R,  477,  564,  656,  767,  890, 1 035, 1 199
   Ghana,,288,B R, 7 438, 8 581, 9 731, 11 019, 12 533, 14 105, 15 750
   Guinea,,324,C B R, 3 049, 3 484, 3 934, 4 343, 4 858, 5 475, 6 353
   Guinea-Bissau,,624,B R,  471,  527,  581,  649,  738,  846,  963
   Liberia,,430,B R, 1 032, 1 017, 1 420, 1 609, 1 948, 2 244, 2 543
   Mali,,466,B R, 4 171, 4 740, 5 428, 6 358, 7 517, 8 720, 10 145
   Mauritania,,478,C R, 1 010, 1 146, 1 308, 1 508, 1 747, 2 028, 2 335
   Niger,,562,B R, 3 925, 4 672, 5 613, 6 783, 8 227, 10 030, 12 170
   Nigeria,,566,C R, 47 897, 54 345, 61 648, 70 121, 80 161, 91 721, 104 470
   Saint Helena*,4,654,C,..,..,..,..,..,..,..
   Senegal,,686,B R, 3 746, 4 311, 4 813, 5 417, 6 172, 7 089, 8 171
   Sierra Leone,,694,B R, 2 133, 2 130, 2 274, 2 805, 3 193, 3 574, 3 981
   Togo,,768,C R, 1 862, 2 080, 2 432, 2 777, 3 186, 3 639, 4 119
 ASIA,,935,,1 648 968,1 785 949,1 912 363,2 035 224,2 155 312,2 268 503,2 373 462
  Central Asia,,5500,, 24 617, 26 207, 27 264, 28 817, 31 018, 33 869, 36 812
   Kazakhstan,,398,B R, 7 952, 7 673, 7 177, 7 419, 7 856, 8 508, 9 113
   Kyrgyzstan,,417,B R, 2 145, 2 253, 2 433, 2 516, 2 680, 2 948, 3 227
   Tajikistan,,762,B R, 2 619, 2 876, 3 114, 3 413, 3 798, 4 265, 4 806
   Turkmenistan,,795,B R, 1 810, 2 072, 2 223, 2 339, 2 503, 2 740, 2 969
   Uzbekistan,,860,B R, 10 091, 11 333, 12 317, 13 130, 14 182, 15 407, 16 697
  Eastern Asia,,906,, 711 282, 747 554, 775 571, 798 705, 819 646, 839 695, 855 476
   China*,,156,C, 603 859, 636 687, 662 188, 683 486, 703 414, 722 508, 738 247
"   China, Hong Kong SAR*",,344,B R, 2 910, 3 052, 3 250, 3 252, 3 277, 3 333, 3 440
"   China, Macao SAR*",,446,B,  170,  187,  205,  229,  258,  289,  312
"   China, Taiwan Province of China*",,158,, 10 534, 10 912, 11 159, 11 494, 11 654, 11 766, 11 834
   Dem. People's Republic of Korea,,408,I, 9 859, 10 658, 11 178, 11 670, 11 995, 12 314, 12 608
   Japan,,392,C, 61 357, 62 190, 62 625, 62 886, 62 875, 62 537, 61 753
   Mongolia,,496,C R, 1 078, 1 138, 1 196, 1 257, 1 349, 1 482, 1 615
   Republic of Korea,,410,C R, 21 514, 22 730, 23 772, 24 431, 24 825, 25 466, 25 666
  South-Eastern Asia,,920,, 221 821, 242 088, 261 486, 279 657, 298 345, 316 954, 333 932
   Brunei Darussalam,,96,B,  136,  155,  169,  186,  201,  216,  227
   Cambodia,,116,B R, 4 335, 5 173, 5 907, 6 442, 6 972, 7 570, 8 162
   Indonesia,,360,B R, 91 096, 98 510, 105 854, 113 592, 121 821, 130 133, 137 718
   Lao People's Democratic Republic,,418,C R, 2 130, 2 417, 2 650, 2 846, 3 099, 3 381, 3 652
   Malaysia*,,458,C R, 9 172, 10 428, 11 818, 13 168, 14 550, 15 585, 16 631
   Myanmar,,104,C, 20 124, 21 351, 22 630, 23 672, 24 399, 25 392, 26 220
   Philippines,,608,C R, 31 268, 35 201, 39 281, 43 387, 47 398, 51 389, 55 029
   Singapore,,702,B, 1 516, 1 790, 2 066, 2 156, 2 675, 2 926, 3 062
   Thailand,,764,B R, 28 018, 29 538, 31 094, 32 174, 32 931, 33 559, 33 966
   Timor-Leste,,626,B R,  373,  426,  447,  503,  553,  605,  666
   Viet Nam,,704,C R, 33 653, 37 098, 39 570, 41 532, 43 746, 46 197, 48 598
  Southern Asia,,5501,, 615 915, 685 275, 754 263, 822 613, 885 445, 943 628,1 000 786
   Afghanistan,,4,B R, 6 345, 9 393, 10 690, 13 240, 14 936, 17 686, 19 976
   Bangladesh,,50,B R, 53 216, 59 294, 65 595, 71 222, 75 016, 79 217, 83 259
   Bhutan,,64,B,  273,  274,  302,  340,  360,  384,  410
   India,,356,B R, 453 257, 500 831, 549 388, 597 052, 642 164, 681 223, 717 101
   Iran (Islamic Republic of),,364,C R, 28 745, 31 304, 33 388, 35 490, 37 180, 39 730, 42 408
   Maldives,,462,C,  114,  129,  141,  167,  199,  271,  343
   Nepal,,524,B R, 9 396, 10 903, 11 920, 12 788, 13 297, 12 398, 13 348
   Pakistan,,586,B R, 55 821, 63 985, 73 474, 82 676, 92 427, 102 641, 113 672
   Sri Lanka,,144,B R, 8 748, 9 163, 9 366, 9 638, 9 866, 10 078, 10 267
  Western Asia,,922,, 75 333, 84 826, 93 779, 105 431, 120 860, 134 356, 146 457
   Armenia,,51,B R, 1 715, 1 524, 1 441, 1 402, 1 346, 1 375, 1 394
   Azerbaijan*,,31,B R, 3 541, 3 797, 3 971, 4 207, 4 475, 4 789, 5 065
   Bahrain,,48,C R,  286,  325,  381,  534,  774,  847, 1 100
   Cyprus*,,196,B,  389,  432,  475,  520,  556,  581,  604
   Georgia*,,268,B R, 2 572, 2 355, 2 072, 2 007, 1 953, 1 922, 1 901
   Iraq,,368,C R, 8 785, 10 160, 11 852, 13 600, 15 022, 17 984, 20 358
   Israel,,376,B R, 2 220, 2 603, 2 930, 3 221, 3 628, 3 956, 4 308
   Jordan,,400,C R, 1 868, 2 400, 2 655, 2 975, 3 704, 4 693, 5 166
   Kuwait,,414,C R, 1 191,  933, 1 195, 1 340, 1 730, 2 256, 2 614
   Lebanon,,422,B R, 1 383, 1 754, 1 915, 2 391, 2 516, 3 288, 3 436
   Oman,,512,C R, 1 009, 1 307, 1 273, 1 420, 1 835, 2 783, 3 370
   Qatar,,634,C,  319,  338,  386,  585, 1 419, 1 950, 2 165
   Saudi Arabia,,682,C R, 9 087, 10 336, 11 248, 13 261, 15 427, 18 041, 20 131
   State of Palestine*,5,275,B, 1 065, 1 329, 1 637, 1 817, 2 058, 2 298, 2 587
   Syrian Arab Republic,,760,C R, 6 292, 7 256, 8 302, 9 368, 10 785, 9 066, 8 760
   Turkey,,792,B R, 26 630, 28 836, 31 144, 33 420, 35 564, 38 650, 41 636
   United Arab Emirates,,784,C R, 1 198, 1 604, 2 117, 3 229, 6 396, 6 521, 6 836
   Yemen,,887,C R, 5 782, 7 537, 8 783, 10 134, 11 672, 13 356, 15 025
 EUROPE,,908,, 347 005, 350 136, 349 427, 351 223, 354 615, 358 183, 361 061
  Eastern Europe,,923,, 146 842, 146 744, 143 818, 140 214, 138 614, 138 435, 137 830
   Belarus,,112,B, 4 761, 4 725, 4 634, 4 464, 4 380, 4 392, 4 399
   Bulgaria,,100,B, 4 357, 4 102, 3 898, 3 741, 3 616, 3 502, 3 374
   Czechia,,203,C, 5 020, 5 033, 5 006, 4 997, 5 172, 5 209, 5 273
   Hungary,,348,B, 4 984, 4 944, 4 862, 4 786, 4 710, 4 647, 4 598
   Poland,,616,B, 18 485, 18 706, 18 718, 18 577, 18 532, 18 435, 18 338
   Republic of Moldova*,,498,B, 2 081, 2 073, 2 011, 1 992, 1 964, 1 956, 1 932
   Romania,,642,B, 11 580, 11 284, 10 830, 10 439, 9 940, 9 700, 9 354
   Russian Federation,,643,B, 69 061, 69 530, 68 503, 66 851, 66 541, 67 171, 67 640
   Slovakia,,703,B, 2 581, 2 616, 2 622, 2 617, 2 621, 2 641, 2 658
   Ukraine*,,804,B, 23 933, 23 732, 22 734, 21 750, 21 137, 20 782, 20 263
  Northern Europe,,924,, 44 789, 45 345, 46 050, 47 127, 49 283, 50 984, 52 487
   Channel Islands*,6,830,B,  68,  70,  72,  74,  79,  82,  86
   Denmark*,7,208,B, 2 536, 2 585, 2 643, 2 685, 2 756, 2 829, 2 879
   Estonia,,233,B,  732,  663,  653,  630,  620,  615,  628
   Faroe Islands*,8,234,B,..,..,..,..,..,..,..
   Finland*,,246,B, 2 425, 2 493, 2 533, 2 574, 2 633, 2 698, 2 732
   Iceland,,352,B,  128,  134,  140,  148,  161,  166,  171
   Ireland,,372,B, 1 747, 1 784, 1 880, 2 067, 2 263, 2 303, 2 451
   Isle of Man*,9,833,B,..,..,..,..,..,..,..
   Latvia,,428,B, 1 241, 1 156, 1 096, 1 032,  970,  916,  869
   Lithuania,,440,B, 1 749, 1 709, 1 639, 1 554, 1 438, 1 350, 1 260
   Norway*,,578,B, 2 100, 2 160, 2 229, 2 298, 2 442, 2 618, 2 740
   Sweden,,752,B, 4 232, 4 366, 4 392, 4 482, 4 677, 4 881, 5 059
   United Kingdom*,10,826,B, 27 772, 28 167, 28 712, 29 517, 31 175, 32 461, 33 542
  Southern Europe,,925,, 70 196, 70 467, 70 716, 73 241, 74 754, 74 663, 74 369
   Albania,,8,B, 1 683, 1 534, 1 584, 1 552, 1 485, 1 471, 1 465
   Andorra,,20,C,..,..,..,..,..,..,..
   Bosnia and Herzegovina,,70,I R, 2 210, 1 878, 1 842, 1 850, 1 820, 1 681, 1 607
   Croatia,,191,B, 2 316, 2 233, 2 132, 2 108, 2 085, 2 035, 1 979
   Gibraltar*,11,292,B,..,..,..,..,..,..,..
   Greece,,300,B, 5 070, 5 339, 5 508, 5 556, 5 349, 5 233, 5 116
   Holy See*,,336,I,..,..,..,..,..,..,..
   Italy,,380,B, 27 733, 27 752, 27 435, 28 296, 28 705, 29 394, 29 438
   Malta,,470,B,  178,  186,  195,  201,  206,  217,  221
   Montenegro,,499,B,  306,  308,  303,  303,  308,  310,  311
   North Macedonia,,807,B, 1 004,  995, 1 019, 1 030, 1 035, 1 040, 1 042
   Portugal,,620,B, 4 763, 4 861, 4 966, 5 080, 5 071, 4 910, 4 824
   San Marino,,674,C,..,..,..,..,..,..,..
   Serbia*,,688,B, 4 698, 4 871, 4 656, 4 501, 4 406, 4 351, 4 280
   Slovenia,,705,B,  975,  966,  972,  975, 1 012, 1 029, 1 035
   Spain*,,724,B, 19 204, 19 481, 20 041, 21 716, 23 196, 22 916, 22 978
  Western Europe,,926,, 85 177, 87 579, 88 843, 90 641, 91 965, 94 101, 96 375
   Austria,,40,B, 3 695, 3 856, 3 916, 4 012, 4 099, 4 249, 4 440
   Belgium,,56,B, 4 896, 4 986, 5 035, 5 174, 5 372, 5 549, 5 744
   France*,12,250,B, 27 577, 28 087, 28 625, 29 590, 30 459, 31 231, 31 589
   Germany,,276,B, 38 146, 39 343, 39 641, 39 873, 39 619, 40 225, 41 416
   Liechtenstein,,438,B,..,..,..,..,..,..,..
   Luxembourg,,442,B,  187,  200,  215,  226,  252,  284,  317
   Monaco,,492,B,..,..,..,..,..,..,..
   Netherlands*,13,528,B, 7 402, 7 661, 7 889, 8 116, 8 284, 8 420, 8 537
   Switzerland,,756,B, 3 248, 3 417, 3 490, 3 616, 3 845, 4 106, 4 294
 LATIN AMERICA AND THE CARIBBEAN,,904,, 219 608, 238 982, 257 773, 274 945, 291 416, 307 137, 321 629
  Caribbean,,915,, 16 905, 17 930, 18 859, 19 676, 20 391, 21 071, 21 494
   Anguilla*,14,660,B R,..,..,..,..,..,..,..
   Antigua and Barbuda,,28,B R,  30,  33,  36,  39,  42,  45,  47
   Aruba*,15,533,B R,  31,  40,  44,  48,  48,  50,  51
   Bahamas,,44,B R,  127,  138,  145,  158,  172,  182,  191
   Barbados,,52,B R,  126,  128,  130,  133,  135,  138,  139
"   Bonaire, Sint Eustatius and Saba*",16,535,B,..,..,..,..,..,..,..
   British Virgin Islands*,18,92,B R,..,..,..,..,..,..,..
   Cayman Islands*,19,136,C R,..,..,..,..,..,..,..
   Cuba,,192,B, 5 307, 5 447, 5 547, 5 613, 5 584, 5 628, 5 623
   Curaçao*,20,531,B R,  70,  68,  62,  61,  69,  73,  75
   Dominica,,212,B,..,..,..,..,..,..,..
   Dominican Republic,,214,B R, 3 589, 3 926, 4 245, 4 576, 4 866, 5 147, 5 418
   Grenada,,308,B,  48,  50,  51,  52,  54,  55,  57
   Guadeloupe*,21,312,B,  190,  196,  204,  190,  189,  185,  185
   Haiti,,332,B R, 3 461, 3 811, 4 168, 4 531, 4 907, 5 280, 5 626
   Jamaica,,388,B R, 1 194, 1 254, 1 320, 1 358, 1 398, 1 437, 1 470
   Martinique*,22,474,B R,  173,  176,  182,  185,  182,  175,  173
   Montserrat*,23,500,B,..,..,..,..,..,..,..
   Puerto Rico*,24,630,B, 1 646, 1 719, 1 764, 1 741, 1 719, 1 618, 1 356
   Saint Barthélemy*,,652,,..,..,..,..,..,..,..
   Saint Kitts and Nevis,,659,B R,..,..,..,..,..,..,..
   Saint Lucia,,662,B R,  68,  72,  77,  80,  86,  88,  90
   Saint Martin (French part)*,,663,,..,..,..,..,..,..,..
   Saint Vincent and the Grenadines,,670,B R,  53,  54,  54,  55,  55,  56,  56
   Sint Maarten (Dutch part)*,25,534,B R,..,..,..,..,..,..,..
   Trinidad and Tobago,,780,B R,  609,  625,  631,  643,  658,  678,  691
   Turks and Caicos Islands*,26,796,B R,..,..,..,..,..,..,..
   United States Virgin Islands*,27,850,B,  51,  52,  53,  52,  51,  50,  50
  Central America,,916,, 56 161, 61 349, 66 528, 71 514, 77 241, 82 776, 88 051
   Belize,,84,B R ,  95,  104,  125,  143,  161,  180,  198
   Costa Rica,,188,B R, 1 571, 1 783, 1 989, 2 149, 2 293, 2 426, 2 545
   El Salvador,,222,B R, 2 571, 2 732, 2 836, 2 889, 2 926, 2 974, 3 036
   Guatemala,,320,B R, 4 603, 5 136, 5 717, 6 423, 7 186, 7 995, 8 827
   Honduras,,340,B R, 2 461, 2 836, 3 270, 3 715, 4 149, 4 550, 4 949
   Mexico,,484,B R, 41 540, 45 071, 48 558, 51 837, 55 826, 59 594, 63 071
   Nicaragua,,558,B R, 2 070, 2 304, 2 507, 2 684, 2 869, 3 067, 3 265
   Panama,,591,B R, 1 249, 1 382, 1 527, 1 676, 1 830, 1 990, 2 160
  South America,,931,, 146 542, 159 704, 172 385, 183 755, 193 785, 203 290, 212 083
   Argentina,,32,B R, 15 885, 16 945, 17 895, 18 897, 19 899, 20 989, 22 049
   Bolivia (Plurinational State of),,68,B R, 3 452, 3 836, 4 235, 4 648, 5 056, 5 463, 5 858
   Brazil,,76,B R, 74 078, 80 415, 86 582, 92 002, 96 536, 100 658, 104 436
   Chile,,152,B, 6 520, 7 071, 7 548, 7 963, 8 397, 8 845, 9 426
   Colombia,,170,B, 16 315, 17 896, 19 427, 20 901, 22 160, 23 289, 24 985
   Ecuador,,218,B R, 5 144, 5 755, 6 365, 6 934, 7 520, 8 115, 8 824
   Falkland Islands (Malvinas)*,28,238,B,..,..,..,..,..,..,..
   French Guiana*,29,254,B R,  60,  71,  84,  101,  116,  129,  148
   Guyana,,328,B R,  367,  375,  372,  374,  372,  384,  396
   Paraguay,,600,B R, 2 139, 2 421, 2 701, 2 957, 3 178, 3 404, 3 624
   Peru,,604,B R, 10 978, 12 102, 13 191, 13 893, 14 474, 15 133, 16 379
   Suriname,,740,C R,  206,  224,  238,  252,  267,  281,  295
   Uruguay,,858,B R, 1 508, 1 562, 1 607, 1 602, 1 619, 1 646, 1 678
   Venezuela (Bolivarian Republic of),,862,B R, 9 889, 11 029, 12 140, 13 230, 14 190, 14 953, 13 985
 NORTHERN AMERICA,,905,, 137 269, 144 781, 153 979, 161 579, 169 617, 176 639, 182 581
   Bermuda*,30,60,B,..,..,..,..,..,..,..
   Canada,,124,B, 13 657, 14 438, 15 152, 15 945, 16 942, 17 864, 18 732
   Greenland*,31,304,B,..,..,..,..,..,..,..
   Saint Pierre and Miquelon*,32,666,B,..,..,..,..,..,..,..
   United States of America*,33,840,B, 123 549, 130 279, 138 762, 145 568, 152 611, 158 712, 163 786
 OCEANIA ,,909,, 13 668, 14 696, 15 729, 16 866, 18 490, 19 954, 21 363
  Australia and New Zealand,,927,, 10 128, 10 762, 11 368, 12 096, 13 225, 14 194, 15 069
   Australia*,,36,B, 8 455, 8 951, 9 474, 10 070, 11 079, 11 925, 12 699
   New Zealand*,34,554,B, 1 673, 1 811, 1 894, 2 026, 2 146, 2 269, 2 370
  Melanesia,,928,, 3 041, 3 400, 3 801, 4 188, 4 675, 5 157, 5 671
   Fiji,,242,B R,  370,  394,  412,  419,  439,  441,  454
   New Caledonia*,,540,B,  87,  99,  110,  119,  128,  137,  143
   Papua New Guinea,,598,C R, 2 348, 2 636, 2 972, 3 303, 3 720, 4 134, 4 568
   Solomon Islands,,90,B R,  160,  185,  212,  240,  268,  307,  349
   Vanuatu,,548,B R,  75,  86,  95,  107,  120,  138,  156
  Micronesia,,954,,  216,  233,  244,  252,  255,  265,  277
   Guam*,35,316,B,  70,  76,  79,  81,  81,  82,  85
   Kiribati,,296,B,  36,  39,  42,  45,  51,  54,  59
   Marshall Islands,,584,B,..,..,..,..,..,..,..
   Micronesia (Fed. States of),,583,B,  49,  55,  54,  54,  52,  55,  58
   Nauru,,520,C R,..,..,..,..,..,..,..
   Northern Mariana Islands*,36,580,B,..,..,..,..,..,..,..
   Palau,,585,B,..,..,..,..,..,..,..
  Polynesia*,,957,,  284,  301,  317,  330,  335,  339,  347
   American Samoa*,,16,B,..,..,..,..,..,..,..
   Cook Islands*,37,184,B R,..,..,..,..,..,..,..
   French Polynesia*,38,258,B R,  104,  113,  124,  133,  136,  139,  142
   Niue*,39,570,B,..,..,..,..,..,..,..
   Samoa,,882,B R,  85,  88,  91,  93,  96,  100,  103
   Tokelau*,40,772,B R,..,..,..,..,..,..,..
   Tonga,,776,B R,  48,  49,  50,  51,  52,  50,  53
   Tuvalu,,798,C,..,..,..,..,..,..,..
   Wallis and Futuna Islands*,41,876,B R,..,..,..,..,..,..,..
