"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
WORLD,,900,,152 986 157,161 289 976,173 230 585,191 446 828,220 983 187,247 958 644,280 598 105
  Sub-Saharan Africa,,947,,13 286 341,14 275 437,13 151 229,14 290 369,15 854 637,20 721 874,22 221 538
  Northern Africa and Western Asia,,1833,,17 608 769,18 912 064,20 321 397,23 165 804,32 638 434,42 036 092,49 767 746
  Central and Southern Asia,,921,,26 168 623,21 247 814,20 139 825,18 854 544,19 676 783,19 266 265,19 427 576
  Eastern and South-Eastern Asia,,1832,,6 835 882,8 339 806,10 506 212,12 979 157,15 760 463,18 027 810,19 591 106
  Latin America and the Caribbean,,1830,,7 135 971,6 661 553,6 539 738,7 184 113,8 326 588,9 441 503,14 794 623
  Oceania (excluding Australia and New Zealand),,1835,, 258 678, 280 580, 296 618, 306 039, 298 175, 302 810, 313 069
  Australia and New Zealand,,927,,4 473 260,4 741 947,5 065 063,5 717 982,6 830 423,7 769 466,9 067 584
  Europe and Northern America,,1829,,77 218 633,86 830 775,97 210 503,108 948 820,121 597 684,130 392 824,145 414 863
  Developed regions,,901,,82 767 210,92 935 093,103 962 010,116 678 357,130 562 258,140 394 479,157 253 443
  Less developed regions,,902,,70 218 947,68 354 883,69 268 575,74 768 471,90 420 929,107 564 165,123 344 662
" Less developed regions, excluding least developed countries",,934,,59 158 726,56 673 106,59 204 627,64 976 460,79 989 053,94 124 050,107 159 937
" Less developed regions, excluding China",,948,,67 419 066,65 243 958,65 850 628,71 088 981,86 472 612,103 368 940,118 939 005
  Least developed countries,,941,,11 060 221,11 681 777,10 063 948,9 792 011,10 431 876,13 440 115,16 184 725
  Land-locked Developing Countries (LLDC),,1636,,14 212 843,12 370 057,11 503 826,11 576 028,11 597 176,13 821 420,15 022 720
  Small island developing States (SIDS),,1637,,2 312 665,2 758 806,3 287 168,3 918 084,4 710 457,5 273 967,5 678 001
  High-income countries,,1503,,76 295 202,87 896 678,101 641 715,119 026 154,142 642 749,158 516 311,181 897 756
  Middle-income countries,,1517,,67 228 996,64 071 357,63 873 275,64 747 471,69 069 732,78 597 464,85 895 533
 Upper-middle-income countries,,1502,,35 289 343,35 213 683,35 822 210,38 209 661,42 080 101,50 991 477,57 383 443
 Lower-middle-income countries,,1501,,31 939 653,28 857 674,28 051 065,26 537 810,26 989 631,27 605 987,28 512 090
  Low-income countries,,1500,,9 193 274,8 995 692,7 322 731,7 227 899,8 781 206,10 321 749,12 232 043
 AFRICA,,903,,15 689 666,16 357 077,15 051 677,16 040 087,17 806 677,22 860 792,25 389 464
  Eastern Africa,,910,,5 959 183,4 977 644,4 847 119,4 788 649,4 743 657,6 696 922,7 682 801
   Burundi,,108,B R, 333 110, 254 853, 125 628, 192 774, 247 321, 298 299, 344 767
   Comoros,,174,B, 14 079, 13 939, 13 799, 13 209, 12 618, 12 555, 12 496
   Djibouti,,262,B R, 122 221, 99 774, 100 507, 92 110, 102 307, 112 351, 119 738
   Eritrea,,232,I R, 11 848, 12 400, 12 952, 15 905, 15 813, 15 941, 13 934
   Ethiopia,,231,B R,1 155 390, 806 904, 611 384, 514 451, 568 748,1 161 642,1 085 517
   Kenya,,404,B R, 298 089, 618 745, 707 852, 773 354, 954 925,1 126 886,1 050 147
   Madagascar,,450,C R, 23 917, 21 177, 23 541, 26 058, 28 905, 32 075, 35 563
   Malawi,,454,B R,1 127 724, 241 624, 232 620, 221 661, 217 722, 197 328, 191 362
   Mauritius*,,480,C, 3 613, 7 493, 15 543, 19 647, 24 836, 28 585, 28 893
   Mayotte*,1,175,B R, 15 229, 26 316, 45 474, 63 176, 72 757, 81 386, 111 540
   Mozambique,,508,B R, 122 332, 168 256, 195 702, 268 694, 306 471, 321 794, 338 850
   Réunion*,2,638,B, 57 210, 77 159, 100 678, 115 076, 123 029, 127 209, 131 769
   Rwanda,,646,B R, 160 024, 215 735, 347 076, 423 187, 426 901, 514 647, 513 907
   Seychelles,,690,B, 3 721, 5 148, 6 574, 8 997, 11 420, 12 791, 13 050
   Somalia,,706,I R, 478 294, 19 527, 20 097, 20 768, 48 106, 40 990, 58 590
   South Sudan,,728,B R,..,..,..,.., 230 732, 844 112, 882 252
   Uganda,,800,B R, 544 273, 606 987, 584 280, 593 308, 492 930, 851 175,1 720 313
   United Republic of Tanzania*,,834,B R, 574 025,1 106 043, 949 600, 771 153, 309 847, 384 567, 426 017
   Zambia,,894,B R, 279 463, 244 338, 343 703, 252 895, 149 962, 132 107, 187 955
   Zimbabwe,,716,B R, 634 621, 431 226, 410 109, 402 226, 398 307, 400 482, 416 141
  Middle Africa,,911,,1 461 155,2 662 490,1 775 284,1 961 951,2 436 802,3 479 911,3 861 568
   Angola,,24,B R, 33 517, 39 813, 46 108, 62 331, 336 367, 632 178, 656 434
   Cameroon,,120,B R, 265 967, 244 791, 227 242, 265 503, 291 474, 508 346, 579 209
   Central African Republic,,140,C R, 67 234, 99 712, 123 529, 96 409, 94 685, 81 568, 88 546
   Chad,,148,B R, 74 342, 89 584, 104 825, 352 130, 417 034, 466 968, 547 494
   Congo,,178,B R, 129 391, 191 635, 305 880, 318 724, 425 173, 390 142, 387 606
   Democratic Republic of the Congo,,180,B R, 754 194,1 816 963, 744 387, 623 009, 589 882, 810 018, 952 871
   Equatorial Guinea,,226,C, 2 740, 3 629, 4 517, 6 588, 8 658, 209 611, 230 618
   Gabon,,266,C R, 128 188, 171 427, 214 431, 233 824, 270 829, 378 686, 416 651
   Sao Tome and Principe,,678,C, 5 582, 4 936, 4 365, 3 433, 2 700, 2 394, 2 139
  Northern Africa,,912,,2 403 325,2 081 640,1 900 448,1 749 718,1 952 040,2 138 918,3 167 926
   Algeria,,12,B R, 273 954, 262 032, 250 110, 197 728, 217 268, 239 473, 250 378
   Egypt,,818,B R, 173 833, 166 955, 184 774, 285 006, 310 017, 353 641, 543 937
   Libya,,434,C R, 457 075, 508 041, 567 436, 625 412, 687 192, 771 146, 826 537
   Morocco,,504,C R, 54 895, 50 360, 53 034, 56 222, 71 189, 92 424, 102 358
   Sudan,3,729,B R,1 402 896,1 053 396, 805 086, 546 419, 618 709, 620 523,1 379 147
   Tunisia,,788,C R, 37 984, 37 867, 36 719, 35 040, 43 172, 56 532, 60 145
   Western Sahara,,732,I, 2 688, 2 989, 3 289, 3 891, 4 493, 5 179, 5 424
  Southern Africa,,913,,1 395 265,1 201 708,1 267 695,1 582 721,2 352 541,3 477 903,3 125 072
   Botswana,,72,B R, 27 510, 40 168, 74 934, 84 661, 94 863, 103 053, 110 268
   Eswatini,,748,B R, 74 991, 35 157, 34 084, 33 392, 32 637, 32 352, 32 858
   Lesotho,,426,C R, 8 240, 7 204, 6 167, 6 290, 6 414, 9 152, 12 060
   Namibia,,516,B R, 120 641, 115 372, 135 547, 107 347, 103 826, 101 618, 109 391
   South Africa,,710,B R,1 163 883,1 003 807,1 016 963,1 351 031,2 114 801,3 231 728,2 860 495
  Western Africa,,914,,4 470 738,5 433 595,5 261 131,5 957 048,6 321 637,7 067 138,7 552 097
   Benin,,204,C B R, 76 751, 105 703, 134 655, 248 320, 309 225, 366 284, 394 276
   Burkina Faso,,854,B R, 349 652, 464 104, 520 363, 597 658, 674 438, 704 676, 723 989
   Cabo Verde,,132,B R, 8 931, 9 979, 11 027, 12 700, 14 373, 14 924, 15 788
   Côte d'Ivoire,,384,C B R,1 816 426,2 076 394,2 163 644,2 265 090,2 366 537,2 470 613,2 564 857
   Gambia,,270,B R, 118 123, 150 890, 182 514, 181 839, 185 837, 192 540, 215 659
   Ghana,,288,B R, 164 851, 252 879, 191 601, 309 932, 337 766, 414 744, 476 412
   Guinea,,324,C B R, 403 621, 774 505, 560 075, 233 419, 178 762, 126 657, 121 437
   Guinea-Bissau,,624,B R, 15 368, 27 961, 20 450, 20 902, 21 391, 22 333, 17 945
   Liberia,,430,B R, 94 964, 208 563, 151 868, 87 217, 99 165, 112 111, 87 947
   Mali,,466,B R, 160 736, 176 187, 189 475, 258 630, 341 078, 420 504, 485 829
   Mauritania,,478,C R, 111 650, 89 562, 57 366, 58 211, 84 920, 166 552, 182 286
   Niger,,562,B R, 115 464, 145 999, 122 260, 124 509, 126 482, 252 998, 348 056
   Nigeria,,566,C R, 456 621, 462 999, 487 882, 969 714, 990 494,1 199 115,1 308 568
   Saint Helena*,4,654,C,  178,  117,  108,  163,  248,  377,  437
   Senegal,,686,B R, 270 410, 287 654, 231 901, 238 298, 256 092, 266 496, 274 929
   Sierra Leone,,694,B R, 222 148, 98 516, 97 974, 146 227, 79 265, 58 830, 53 746
