"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
WORLD,,900,,5 327 231,5 744 213,6 143 494,6 541 907,6 956 824,7 379 797,7 794 799
  Sub-Saharan Africa,,947,, 490 605, 560 759, 639 661, 729 733, 836 364, 958 577,1 094 366
  Northern Africa and Western Asia,,1833,, 288 060, 323 178, 355 882, 391 986, 435 367, 481 520, 525 869
  Central and Southern Asia,,921,,1 239 984,1 376 200,1 511 915,1 647 074,1 775 361,1 896 327,2 014 709
  Eastern and South-Eastern Asia,,1832,,1 837 799,1 950 220,2 044 789,2 125 348,2 201 807,2 279 490,2 346 709
  Latin America and the Caribbean,,1830,, 442 840, 483 018, 521 836, 557 501, 591 352, 623 934, 653 962
  Oceania (excluding Australia and New Zealand),,1835,, 6 940, 7 722, 8 575, 9 376, 10 348, 11 312, 12 356
  Australia and New Zealand,,927,, 20 359, 21 668, 22 850, 24 314, 26 525, 28 547, 30 322
  Europe and Northern America,,1829,,1 000 644,1 021 448,1 037 985,1 056 575,1 079 700,1 100 090,1 116 506
  Developed regions,,901,,1 145 508,1 169 481,1 188 359,1 209 215,1 234 768,1 256 622,1 273 304
  Less developed regions,,902,,4 181 723,4 574 731,4 955 134,5 332 692,5 722 056,6 123 175,6 521 494
" Less developed regions, excluding least developed countries",,934,,3 675 448,3 995 050,4 297 919,4 588 501,4 885 441,5 182 043,5 464 056
" Less developed regions, excluding China",,948,,2 978 289,3 305 985,3 635 583,3 971 957,4 322 553,4 684 981,5 050 208
  Least developed countries,,941,, 506 276, 579 682, 657 216, 744 191, 836 615, 941 131,1 057 438
  Land-locked Developing Countries (LLDC),,1636,, 265 852, 298 698, 333 947, 374 685, 420 661, 473 817, 533 143
  Small island developing States (SIDS),,1637,, 49 771, 53 769, 57 577, 61 002, 65 206, 68 810, 72 028
  High-income countries,,1503,,1 030 391,1 065 242,1 098 780,1 135 351,1 177 929,1 212 054,1 238 417
  Middle-income countries,,1517,,3 991 574,4 326 140,4 640 682,4 941 374,5 244 984,5 561 737,5 867 349
 Upper-middle-income countries,,1502,,2 225 369,2 365 034,2 483 516,2 589 938,2 695 485,2 811 079,2 913 154
 Lower-middle-income countries,,1501,,1 766 204,1 961 106,2 157 165,2 351 435,2 549 498,2 750 658,2 954 195
  Low-income countries,,1500,, 303 390, 350 774, 401 768, 462 680, 531 260, 603 234, 686 089
 AFRICA,,903,, 630 350, 717 270, 810 984, 916 154,1 039 304,1 182 439,1 340 598
  Eastern Africa,,910,, 197 168, 223 934, 257 353, 295 185, 339 318, 389 671, 445 406
   Burundi,,108,B R, 5 439, 5 987, 6 379, 7 365, 8 676, 10 160, 11 891
   Comoros,,174,B,  412,  475,  542,  612,  690,  777,  870
   Djibouti,,262,B R,  590,  630,  718,  783,  840,  914,  988
   Eritrea,,232,I R, 2 259, 2 204, 2 292, 2 827, 3 170, 3 343, 3 546
   Ethiopia,,231,B R, 47 888, 57 048, 66 225, 76 346, 87 640, 100 835, 114 964
   Kenya,,404,B R, 23 725, 27 768, 31 965, 36 625, 42 031, 47 878, 53 771
   Madagascar,,450,C R, 11 599, 13 475, 15 767, 18 337, 21 152, 24 234, 27 691
   Malawi,,454,B R, 9 404, 9 844, 11 149, 12 626, 14 540, 16 745, 19 130
   Mauritius*,,480,C, 1 056, 1 129, 1 185, 1 222, 1 248, 1 259, 1 272
   Mayotte*,1,175,B R,  95,  123,  150,  178,  209,  240,  273
   Mozambique,,508,B R, 12 987, 15 483, 17 712, 20 494, 23 532, 27 042, 31 255
   Réunion*,2,638,B,  611,  674,  737,  792,  831,  863,  895
   Rwanda,,646,B R, 7 289, 5 836, 7 934, 8 840, 10 039, 11 369, 12 952
   Seychelles,,690,B,  71,  77,  81,  89,  91,  95,  98
   Somalia,,706,I R, 7 225, 7 492, 8 872, 10 447, 12 044, 13 797, 15 893
   South Sudan,,728,B R, 5 493, 5 118, 6 199, 7 536, 9 508, 10 716, 11 194
   Uganda,,800,B R, 17 354, 20 413, 23 650, 27 685, 32 428, 38 225, 45 741
   United Republic of Tanzania*,,834,B R, 25 204, 29 649, 33 499, 38 450, 44 347, 51 483, 59 734
   Zambia,,894,B R, 8 037, 9 097, 10 416, 11 856, 13 606, 15 879, 18 384
   Zimbabwe,,716,B R, 10 432, 11 411, 11 881, 12 077, 12 698, 13 815, 14 863
  Middle Africa,,911,, 70 855, 83 775, 96 116, 112 008, 131 622, 154 203, 179 595
   Angola,,24,B R, 11 848, 13 945, 16 395, 19 434, 23 356, 27 884, 32 866
   Cameroon,,120,B R, 11 780, 13 600, 15 514, 17 733, 20 341, 23 298, 26 546
   Central African Republic,,140,C R, 2 807, 3 223, 3 640, 4 038, 4 387, 4 493, 4 830
   Chad,,148,B R, 5 963, 7 010, 8 356, 10 097, 11 952, 14 111, 16 426
   Congo,,178,B R, 2 357, 2 708, 3 127, 3 623, 4 274, 4 856, 5 518
   Democratic Republic of the Congo,,180,B R, 34 612, 41 576, 47 106, 54 786, 64 564, 76 245, 89 561
   Equatorial Guinea,,226,C,  419,  497,  606,  750,  944, 1 169, 1 403
   Gabon,,266,C R,  949, 1 085, 1 228, 1 391, 1 624, 1 948, 2 226
   Sao Tome and Principe,,678,C,  119,  132,  142,  157,  180,  199,  219
  Northern Africa,,912,, 139 745, 156 511, 171 323, 186 421, 202 940, 223 862, 246 233
   Algeria,,12,B R, 25 759, 28 758, 31 042, 33 150, 35 977, 39 728, 43 851
   Egypt,,818,B R, 56 134, 62 334, 68 832, 75 524, 82 761, 92 443, 102 334
   Libya,,434,C R, 4 437, 4 949, 5 358, 5 799, 6 198, 6 418, 6 871
   Morocco,,504,C R, 24 807, 26 994, 28 794, 30 456, 32 343, 34 664, 36 911
   Sudan,3,729,B R, 20 148, 24 095, 27 275, 30 950, 34 545, 38 903, 43 849
   Tunisia,,788,C R, 8 243, 9 125, 9 708, 10 107, 10 635, 11 180, 11 819
   Western Sahara,,732,I,  217,  256,  314,  438,  480,  526,  597
  Southern Africa,,913,, 42 046, 47 358, 51 444, 54 645, 58 383, 62 985, 67 504
   Botswana,,72,B R, 1 287, 1 469, 1 643, 1 799, 1 987, 2 121, 2 352
   Eswatini,,748,B R,  822,  927, 1 005, 1 031, 1 065, 1 104, 1 160
   Lesotho,,426,C R, 1 704, 1 899, 2 033, 1 996, 1 996, 2 059, 2 142
   Namibia,,516,B R, 1 433, 1 628, 1 795, 1 938, 2 119, 2 315, 2 541
   South Africa,,710,B R, 36 801, 41 436, 44 968, 47 881, 51 217, 55 386, 59 309
  Western Africa,,914,, 180 535, 205 692, 234 749, 267 895, 307 040, 351 718, 401 861
   Benin,,204,C B R, 4 978, 5 906, 6 866, 7 982, 9 199, 10 576, 12 123
   Burkina Faso,,854,B R, 8 811, 10 090, 11 608, 13 422, 15 605, 18 111, 20 903
   Cabo Verde,,132,B R,  338,  386,  428,  463,  493,  525,  556
   Côte d'Ivoire,,384,C B R, 11 925, 14 200, 16 455, 18 355, 20 533, 23 226, 26 378
   Gambia,,270,B R,  956, 1 129, 1 318, 1 544, 1 793, 2 086, 2 417
   Ghana,,288,B R, 14 773, 17 014, 19 279, 21 815, 24 780, 27 849, 31 073
   Guinea,,324,C B R, 6 352, 7 270, 8 241, 9 110, 10 192, 11 432, 13 133
   Guinea-Bissau,,624,B R,  975, 1 089, 1 201, 1 345, 1 523, 1 737, 1 968
   Liberia,,430,B R, 2 076, 2 045, 2 848, 3 218, 3 891, 4 472, 5 058
   Mali,,466,B R, 8 450, 9 586, 10 946, 12 776, 15 049, 17 439, 20 251
   Mauritania,,478,C R, 2 034, 2 314, 2 630, 3 024, 3 494, 4 046, 4 650
   Niger,,562,B R, 8 027, 9 490, 11 332, 13 624, 16 464, 20 002, 24 207
   Nigeria,,566,C R, 95 212, 107 948, 122 284, 138 865, 158 503, 181 137, 206 140
   Saint Helena*,4,654,C,  7,  6,  6,  5,  5,  6,  6
   Senegal,,686,B R, 7 526, 8 690, 9 798, 11 090, 12 678, 14 578, 16 744
   Sierra Leone,,694,B R, 4 320, 4 304, 4 585, 5 646, 6 416, 7 172, 7 977
   Togo,,768,C R, 3 774, 4 226, 4 924, 5 612, 6 422, 7 323, 8 279
 ASIA,,935,,3 226 099,3 493 087,3 741 263,3 977 986,4 209 594,4 433 475,4 641 055
  Central Asia,,5500,, 50 123, 53 169, 55 346, 58 450, 62 805, 68 480, 74 339
   Kazakhstan,,398,B R, 16 384, 15 839, 14 923, 15 403, 16 252, 17 572, 18 777
   Kyrgyzstan,,417,B R, 4 373, 4 566, 4 921, 5 075, 5 422, 5 959, 6 524
   Tajikistan,,762,B R, 5 284, 5 765, 6 216, 6 789, 7 527, 8 454, 9 538
   Turkmenistan,,795,B R, 3 684, 4 208, 4 516, 4 755, 5 087, 5 565, 6 031
   Uzbekistan,,860,B R, 20 398, 22 791, 24 770, 26 428, 28 516, 30 930, 33 469
  Eastern Asia,,906,,1 393 335,1 464 565,1 519 781,1 564 192,1 604 859,1 645 184,1 678 090
   China*,,156,C,1 176 884,1 240 921,1 290 551,1 330 776,1 368 811,1 406 848,1 439 324
"   China, Hong Kong SAR*",,344,B R, 5 728, 6 084, 6 606, 6 770, 6 966, 7 186, 7 497
"   China, Macao SAR*",,446,B,  344,  386,  428,  483,  538,  602,  649
"   China, Taiwan Province of China*",,158,, 20 479, 21 356, 21 967, 22 706, 23 188, 23 557, 23 817
   Dem. People's Republic of Korea,,408,I, 20 293, 21 862, 22 929, 23 904, 24 549, 25 184, 25 779
   Japan,,392,C, 124 505, 126 365, 127 524, 128 326, 128 542, 127 985, 126 476
   Mongolia,,496,C R, 2 184, 2 298, 2 397, 2 526, 2 720, 2 998, 3 278
   Republic of Korea,,410,C R, 42 918, 45 293, 47 379, 48 701, 49 546, 50 823, 51 269
  South-Eastern Asia,,920,, 444 464, 485 655, 525 008, 561 156, 596 947, 634 306, 668 620
   Brunei Darussalam,,96,B,  259,  297,  333,  365,  389,  415,  437
   Cambodia,,116,B R, 8 976, 10 656, 12 155, 13 273, 14 312, 15 521, 16 719
   Indonesia,,360,B R, 181 413, 196 934, 211 514, 226 289, 241 834, 258 383, 273 524
   Lao People's Democratic Republic,,418,C R, 4 258, 4 846, 5 324, 5 752, 6 249, 6 741, 7 276
   Malaysia*,,458,C R, 18 030, 20 488, 23 194, 25 691, 28 208, 30 271, 32 366
   Myanmar,,104,C, 41 335, 43 902, 46 720, 48 950, 50 601, 52 681, 54 410
   Philippines,,608,C R, 61 895, 69 784, 77 992, 86 326, 93 967, 102 113, 109 581
   Singapore,,702,B, 3 013, 3 526, 4 029, 4 266, 5 131, 5 592, 5 850
   Thailand,,764,B R, 56 558, 59 467, 62 953, 65 416, 67 195, 68 715, 69 800
   Timor-Leste,,626,B R,  738,  844,  884,  995, 1 094, 1 196, 1 318
   Viet Nam,,704,C R, 67 989, 74 910, 79 910, 83 833, 87 968, 92 677, 97 339
  Southern Asia,,5501,,1 189 861,1 323 030,1 456 569,1 588 624,1 712 555,1 827 847,1 940 370
   Afghanistan,,4,B R, 12 412, 18 111, 20 780, 25 654, 29 186, 34 414, 38 928
   Bangladesh,,50,B R, 103 172, 115 170, 127 658, 139 036, 147 575, 156 256, 164 689
   Bhutan,,64,B,  531,  535,  591,  649,  686,  728,  772
   India,,356,B R, 873 278, 963 923,1 056 576,1 147 610,1 234 281,1 310 152,1 380 004
   Iran (Islamic Republic of),,364,C R, 56 366, 61 443, 65 623, 69 762, 73 763, 78 492, 83 993
   Maldives,,462,C,  223,  254,  279,  320,  366,  455,  541
   Nepal,,524,B R, 18 905, 21 576, 23 941, 25 745, 27 013, 27 015, 29 137
   Pakistan,,586,B R, 107 648, 123 777, 142 344, 160 304, 179 425, 199 427, 220 892
   Sri Lanka,,144,B R, 17 326, 18 243, 18 778, 19 545, 20 262, 20 908, 21 413
  Western Asia,,922,, 148 316, 166 667, 184 559, 205 564, 232 427, 257 658, 279 637
   Armenia,,51,B R, 3 538, 3 217, 3 070, 2 981, 2 877, 2 926, 2 963
   Azerbaijan*,,31,B R, 7 243, 7 775, 8 123, 8 539, 9 032, 9 623, 10 139
   Bahrain,,48,C R,  496,  564,  665,  889, 1 241, 1 372, 1 702
   Cyprus*,,196,B,  767,  855,  943, 1 028, 1 113, 1 161, 1 207
   Georgia*,,268,B R, 5 410, 4 976, 4 362, 4 210, 4 099, 4 024, 3 989
   Iraq,,368,C R, 17 419, 20 149, 23 498, 26 922, 29 742, 35 572, 40 223
   Israel,,376,B R, 4 448, 5 271, 5 946, 6 529, 7 346, 7 978, 8 656
   Jordan,,400,C R, 3 566, 4 589, 5 122, 5 766, 7 262, 9 267, 10 203
   Kuwait,,414,C R, 2 095, 1 606, 2 045, 2 270, 2 992, 3 836, 4 271
   Lebanon,,422,B R, 2 803, 3 528, 3 843, 4 699, 4 953, 6 533, 6 825
   Oman,,512,C R, 1 812, 2 204, 2 268, 2 511, 3 041, 4 267, 5 107
   Qatar,,634,C,  476,  513,  592,  865, 1 856, 2 566, 2 881
   Saudi Arabia,,682,C R, 16 234, 18 639, 20 664, 23 816, 27 421, 31 718, 34 814
   State of Palestine*,5,275,B, 2 101, 2 619, 3 224, 3 578, 4 056, 4 529, 5 101
   Syrian Arab Republic,,760,C R, 12 446, 14 345, 16 411, 18 361, 21 363, 17 997, 17 501
   Turkey,,792,B R, 53 922, 58 486, 63 240, 67 903, 72 327, 78 529, 84 339
   United Arab Emirates,,784,C R, 1 828, 2 415, 3 134, 4 588, 8 550, 9 263, 9 890
   Yemen,,887,C R, 11 710, 14 913, 17 409, 20 107, 23 155, 26 498, 29 826
 EUROPE,,908,, 720 858, 726 994, 725 558, 729 288, 736 413, 743 059, 747 636
  Eastern Europe,,923,, 309 809, 309 435, 303 918, 297 501, 294 873, 294 391, 293 013
   Belarus,,112,B, 10 151, 10 078, 9 872, 9 562, 9 421, 9 439, 9 449
   Bulgaria,,100,B, 8 841, 8 379, 7 998, 7 687, 7 425, 7 200, 6 948
