Series Name,Series Code,Country Name,Country Code,2016Q1 [YR2016Q1],2016Q2 [YR2016Q2],2016Q3 [YR2016Q3],2016Q4 [YR2016Q4],2017Q1 [YR2017Q1],2017Q2 [YR2017Q2],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1],2020Q2 [YR2020Q2],2020Q3 [YR2020Q3]
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Angola,AGO,..,15.2349996566772,16.6866664886475,26.5100002288818,26.296667098999,24.6733341217041,27.2399997711182,23.8799991607666,26.9400005340576,28.7999992370605,22.8099994659424,16.0550003051758,26.1000003814697,17.6550006866455,19.2900009155273,19.0900001525879
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Australia,AUS,9.49815845489502,9.76183700561523,9.66070175170898,9.52260112762451,9.64763355255127,9.31415176391602,8.42786884307861,8.14570045471191,7.76580667495728,8.12025547027588,7.58062887191772,7.42235851287842,7.61112499237061,7.58811902999878,7.30895090103149,7.21491289138794
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Austria,AUT,6.49422216415405,6.72368431091309,6.70269250869751,6.74153852462769,7.03938770294189,6.88938760757446,6.91792440414429,6.96867942810059,6.44084739685059,6.18281269073486,5.69630765914917,6.18260860443115,5.77169227600098,5.51102924346924,5.64294099807739,6.36676454544067
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bahrain,BHR,..,3.24749994277954,3.20250010490417,4.77464294433594,4.57214307785034,4.99071407318115,3.18321418762207,2.79357147216797,3.27387094497681,3.64516139030457,3.59981822967529,3.72206354141235,3.52349209785461,3.60682535171509,3.56403851509094,3.32730770111084
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Belgium,BEL,7.67214298248291,7.05939388275146,7.33939409255981,7.17343759536743,7.2571873664856,7.2972412109375,7.35900020599365,7.42999982833862,7.31341457366943,7.12395334243774,6.57928562164307,7.78724145889282,7.54374980926514,7.31634616851807,7.03980398178101,7.58080005645752
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Brazil,BRA,6.76392841339111,6.04666662216187,5.72964286804199,5.48379325866699,5.85655164718628,3.47241377830505,5.83551740646362,4.93190479278564,6.47137928009033,7.69758605957031,7.65956544876099,6.5704345703125,6.82739114761353,5.09208345413208,9.56652164459229,9.77285671234131
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cameroon,CMR,..,14.0579996109009,6.92000007629395,6.98999977111816,10.8299999237061,12.1499996185303,14.8366670608521,11.9549999237061,14.8599996566772,10.7875003814697,10.9075002670288,10.1949996948242,5.99249982833862,15.960000038147,16.1700000762939,14.6899995803833
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Canada,CAN,7.80263566970825,8.01135349273682,8.32251930236816,8.39007377624512,7.84075164794922,7.21079158782959,7.29465770721436,7.25061225891113,8.01679992675781,7.69337558746338,7.82936906814575,7.93882608413696,8.2810001373291,7.43640899658203,7.11757564544678,6.2675609588623
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Chile,CHL,4.63800001144409,3.81900000572205,3.49600005149841,4.56454563140869,3.73818182945251,4.64499998092651,4.38500022888184,3.77500009536743,4.58555555343628,4.95222234725952,3.21499991416931,2.64428567886353,3.52142858505249,4.34714269638062,7.53142833709717,7.56714296340942
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Costa Rica,CRI,3.375,3.20833325386047,3.125,3.125,3.33333325386047,3.33333325386047,3.33333325386047,3.45833325386047,5.5,5.5,4.16666650772095,5.83333349227905,5.875,5.95833349227905,5.125,5.125
