,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
0,world,900,152986157,161289976,173230585,191446828,220983187,247958644,280598105
1,  sub-saharan africa,947,13286341,14275437,13151229,14290369,15854637,20721874,22221538
2,  northern africa and western asia,1833,17608769,18912064,20321397,23165804,32638434,42036092,49767746
3,  central and southern asia,921,26168623,21247814,20139825,18854544,19676783,19266265,19427576
4,  eastern and south-eastern asia,1832,6835882,8339806,10506212,12979157,15760463,18027810,19591106
5,  latin america and the caribbean,1830,7135971,6661553,6539738,7184113,8326588,9441503,14794623
6,  oceania (excluding australia and new zealand),1835,258678,280580,296618,306039,298175,302810,313069
7,  australia and new zealand,927,4473260,4741947,5065063,5717982,6830423,7769466,9067584
8,  europe and northern america,1829,77218633,86830775,97210503,108948820,121597684,130392824,145414863
9,  developed regions,901,82767210,92935093,103962010,116678357,130562258,140394479,157253443
10,  less developed regions,902,70218947,68354883,69268575,74768471,90420929,107564165,123344662
11," less developed regions, excluding least developed countries",934,59158726,56673106,59204627,64976460,79989053,94124050,107159937
12," less developed regions, excluding china",948,67419066,65243958,65850628,71088981,86472612,103368940,118939005
13,  least developed countries,941,11060221,11681777,10063948,9792011,10431876,13440115,16184725
14,  land-locked developing countries (lldc),1636,14212843,12370057,11503826,11576028,11597176,13821420,15022720
15,  small island developing states (sids),1637,2312665,2758806,3287168,3918084,4710457,5273967,5678001
16,  high-income countries,1503,76295202,87896678,101641715,119026154,142642749,158516311,181897756
17,  middle-income countries,1517,67228996,64071357,63873275,64747471,69069732,78597464,85895533
18, upper-middle-income countries,1502,35289343,35213683,35822210,38209661,42080101,50991477,57383443
19, lower-middle-income countries,1501,31939653,28857674,28051065,26537810,26989631,27605987,28512090
20,  low-income countries,1500,9193274,8995692,7322731,7227899,8781206,10321749,12232043
21, africa,903,15689666,16357077,15051677,16040087,17806677,22860792,25389464
22,  eastern africa,910,5959183,4977644,4847119,4788649,4743657,6696922,7682801
23,   burundi,108,333110,254853,125628,192774,247321,298299,344767
24,   comoros,174,14079,13939,13799,13209,12618,12555,12496
25,   djibouti,262,122221,99774,100507,92110,102307,112351,119738
26,   eritrea,232,11848,12400,12952,15905,15813,15941,13934
27,   ethiopia,231,1155390,806904,611384,514451,568748,1161642,1085517
28,   kenya,404,298089,618745,707852,773354,954925,1126886,1050147
29,   madagascar,450,23917,21177,23541,26058,28905,32075,35563
30,   malawi,454,1127724,241624,232620,221661,217722,197328,191362
31,   mauritius*,480,3613,7493,15543,19647,24836,28585,28893
32,   mayotte*,175,15229,26316,45474,63176,72757,81386,111540
33,   mozambique,508,122332,168256,195702,268694,306471,321794,338850
34,   réunion*,638,57210,77159,100678,115076,123029,127209,131769
35,   rwanda,646,160024,215735,347076,423187,426901,514647,513907
36,   seychelles,690,3721,5148,6574,8997,11420,12791,13050
37,   somalia,706,478294,19527,20097,20768,48106,40990,58590
38,   south sudan,728,0,0,0,0,230732,844112,882252
39,   uganda,800,544273,606987,584280,593308,492930,851175,1720313
40,   united republic of tanzania*,834,574025,1106043,949600,771153,309847,384567,426017
41,   zambia,894,279463,244338,343703,252895,149962,132107,187955
42,   zimbabwe,716,634621,431226,410109,402226,398307,400482,416141
43,  middle africa,911,1461155,2662490,1775284,1961951,2436802,3479911,3861568
44,   angola,24,33517,39813,46108,62331,336367,632178,656434
45,   cameroon,120,265967,244791,227242,265503,291474,508346,579209
46,   central african republic,140,67234,99712,123529,96409,94685,81568,88546
47,   chad,148,74342,89584,104825,352130,417034,466968,547494
48,   congo,178,129391,191635,305880,318724,425173,390142,387606
49,   democratic republic of the congo,180,754194,1816963,744387,623009,589882,810018,952871
50,   equatorial guinea,226,2740,3629,4517,6588,8658,209611,230618
51,   gabon,266,128188,171427,214431,233824,270829,378686,416651
52,   sao tome and principe,678,5582,4936,4365,3433,2700,2394,2139
53,  northern africa,912,2403325,2081640,1900448,1749718,1952040,2138918,3167926
54,   algeria,12,273954,262032,250110,197728,217268,239473,250378
55,   egypt,818,173833,166955,184774,285006,310017,353641,543937
56,   libya,434,457075,508041,567436,625412,687192,771146,826537
57,   morocco,504,54895,50360,53034,56222,71189,92424,102358
58,   sudan,729,1402896,1053396,805086,546419,618709,620523,1379147
59,   tunisia,788,37984,37867,36719,35040,43172,56532,60145
60,   western sahara,732,2688,2989,3289,3891,4493,5179,5424
61,  southern africa,913,1395265,1201708,1267695,1582721,2352541,3477903,3125072
62,   botswana,72,27510,40168,74934,84661,94863,103053,110268
63,   eswatini,748,74991,35157,34084,33392,32637,32352,32858
64,   lesotho,426,8240,7204,6167,6290,6414,9152,12060
65,   namibia,516,120641,115372,135547,107347,103826,101618,109391
66,   south africa,710,1163883,1003807,1016963,1351031,2114801,3231728,2860495
67,  western africa,914,4470738,5433595,5261131,5957048,6321637,7067138,7552097
68,   benin,204,76751,105703,134655,248320,309225,366284,394276
69,   burkina faso,854,349652,464104,520363,597658,674438,704676,723989
70,   cabo verde,132,8931,9979,11027,12700,14373,14924,15788
71,   côte d'ivoire,384,1816426,2076394,2163644,2265090,2366537,2470613,2564857
72,   gambia,270,118123,150890,182514,181839,185837,192540,215659
73,   ghana,288,164851,252879,191601,309932,337766,414744,476412
74,   guinea,324,403621,774505,560075,233419,178762,126657,121437
75,   guinea-bissau,624,15368,27961,20450,20902,21391,22333,17945
76,   liberia,430,94964,208563,151868,87217,99165,112111,87947
77,   mali,466,160736,176187,189475,258630,341078,420504,485829
78,   mauritania,478,111650,89562,57366,58211,84920,166552,182286
79,   niger,562,115464,145999,122260,124509,126482,252998,348056
80,   nigeria,566,456621,462999,487882,969714,990494,1199115,1308568
81,   saint helena*,654,178,117,108,163,248,377,437
82,   senegal,686,270410,287654,231901,238298,256092,266496,274929
83,   sierra leone,694,222148,98516,97974,146227,79265,58830,53746
84,   togo,768,84844,101583,137968,204219,255564,277384,279936
85, asia,935,48209949,46418044,49066986,53249787,66123640,77191249,85618502
86,  central asia,5500,6630683,5904795,5189082,5235877,5264938,5392792,5564042
87,   kazakhstan,398,3619200,3251968,2874194,3103027,3334937,3546060,3732073
88,   kyrgyzstan,417,623083,518338,389824,309399,232065,204382,199011
89,   tajikistan,762,428900,348347,299499,280466,279808,275101,276031
90,   turkmenistan,795,306500,273565,219067,213053,197979,196376,194920
91,   uzbekistan,860,1653000,1512577,1406498,1329932,1220149,1170873,1162007
92,  eastern asia,906,3959266,4639749,5393004,6228684,7062527,7866663,8975729
93,   china*,156,376361,442198,508034,678947,849861,978046,1039675
94,"   china, hong kong sar*",344,2218473,2443798,2669122,2721235,2779950,2841113,2962492
95,"   china, macao sar*",446,205047,224929,240791,279308,318506,376066,403490
96,"   china, taiwan province of china*",158,0,0,0,0,0,0,0
97,   dem. people's republic of korea,408,34103,35143,36183,40097,44010,48458,49549
98,   japan,392,1075317,1362371,1686444,2011555,2134151,2232189,2770996
99,   mongolia,496,6718,7424,8206,11477,16062,19886,21345
100,   republic of korea,410,43247,123886,244224,486065,919987,1370905,1728182
101,  south-eastern asia,920,2876616,3700057,5113208,6750473,8697936,10161147,10615377
102,   brunei darussalam,96,73200,84748,96296,98441,100587,102733,111959
103,   cambodia,116,38375,92230,146085,114096,82028,73962,79341
104,   indonesia,360,465612,378960,292307,289310,307487,338124,355505
105,   lao people's democratic republic,418,22866,23526,21948,20371,32955,45538,48731
106,   malaysia*,458,695920,937368,1463598,1918504,2417395,3280681,3476560
107,   myanmar,104,133545,113663,98011,83025,76414,73309,76446
108,   philippines,608,154071,207345,318095,257468,208599,211862,225525
109,   singapore,702,727262,991492,1351691,1710594,2164794,2483405,2523648
110,   thailand,764,528693,809720,1257821,2195610,3234381,3470220,3632496
111,   timor-leste,626,8954,9743,10602,11286,11540,8520,8399
112,   viet nam,704,28118,51262,56754,51768,61756,72793,76767
113,  southern asia,5501,19537940,15343019,14950743,13618667,14411845,13873473,13863534
114,   afghanistan,4,57686,71522,75917,87314,102276,339432,144098
115,   bangladesh,50,881617,934735,987853,1062270,1345546,1422179,2115408
116,   bhutan,64,23807,27972,32137,40279,48420,51106,53612
117,   india,356,7594801,6952238,6411331,5936740,5574018,5210847,4878704
118,   iran (islamic republic of),364,4291601,2937668,2476469,2552206,2722397,2729939,2797235
119,   maldives,462,8689,18510,27092,45045,54659,64273,70079
