,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
0,world,900,2680895,2892142,3093434,3296485,3507704,3720696,3929974
1,  sub-saharan africa,947,244051,278800,318001,362946,416386,477837,546156
2,  northern africa and western asia,1833,145659,163624,179942,199133,222727,246800,270179
3,  central and southern asia,921,640532,711481,781527,851430,916462,977497,1037598
4,  eastern and south-eastern asia,1832,933103,989642,1037057,1078363,1117990,1156649,1189407
5,  latin america and the caribbean,1830,219608,238982,257773,274945,291416,307137,321629
6,  oceania (excluding australia and new zealand),1835,3541,3934,4362,4770,5264,5760,6295
7,  australia and new zealand,927,10128,10762,11368,12096,13225,14194,15069
8,  europe and northern america,1829,484274,494916,503406,512802,524233,534822,543641
9,  developed regions,901,555759,567868,577398,587784,600332,611553,620463
10,  less developed regions,902,2125137,2324274,2516036,2708701,2907371,3109143,3309511
11," less developed regions, excluding least developed countries",934,1872569,2034700,2188232,2337588,2490940,2641219,2783494
12," less developed regions, excluding china",948,1507663,1673436,1839235,2010240,2188768,2371247,2555677
13,  least developed countries,941,252568,289574,327804,371114,416432,467924,526016
14,  land-locked developing countries (lldc),1636,131642,148354,165593,185930,208698,234664,264412
15,  small island developing states (sids),1637,24858,26853,28747,30480,32734,34588,36304
16,  high-income countries,1503,507042,524650,541460,560854,584201,602334,616907
17,  middle-income countries,1517,2022710,2192391,2351430,2504310,2658070,2816609,2969627
18, upper-middle-income countries,1502,1121608,1191119,1250151,1304013,1357177,1414522,1464474
19, lower-middle-income countries,1501,901102,1001272,1101279,1200297,1300893,1402087,1505153
20,  low-income countries,1500,150213,174086,199429,230093,264140,300400,342004
21, africa,903,314377,357598,404163,456648,518253,590281,669878
22,  eastern africa,910,97877,110939,127369,146040,167966,193128,221040
23,   burundi,108,2665,2925,3132,3629,4288,5031,5900
24,   comoros,174,206,239,273,308,348,392,439
25,   djibouti,262,297,317,361,394,447,483,519
26,   eritrea,232,1130,1097,1141,1410,1584,1674,1778
27,   ethiopia,231,23880,28441,33019,38074,43727,50409,57517
28,   kenya,404,11820,13811,15867,18172,20869,23783,26719
29,   madagascar,450,5791,6716,7850,9130,10536,12082,13815
30,   malawi,454,4662,4883,5504,6215,7154,8250,9434
31,   mauritius*,480,527,563,588,606,619,624,627
32,   mayotte*,175,48,63,76,88,102,118,134
33,   mozambique,508,6205,7381,8469,9848,11351,13092,15188
