"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Namibia,516, 9 360, 14 974, 24 829, 32 195, 48 854, 25 042, 23 612
   South Africa,710, 150 141, 188 622, 245 810, 294 672, 367 512, 379 443, 451 638
  Western Africa,914,2 770 898,3 408 627,3 481 307,4 063 093,4 492 453,5 100 035,5 743 910
   Benin,204, 127 252, 148 769, 174 755, 280 680, 298 194, 341 137, 365 338
   Burkina Faso,854, 573 295, 681 370, 715 933, 757 585, 801 969, 848 841, 894 339
   Cabo Verde,132, 42 681, 50 377, 59 328, 66 615, 70 174, 76 690, 85 032
   Côte d'Ivoire,384, 185 629, 228 580, 271 361, 361 279, 463 697, 520 911, 571 219
   Gambia,270, 20 808, 22 147, 26 237, 36 960, 47 865, 60 472, 93 414
   Ghana,288, 187 375, 215 795, 251 580, 355 105, 404 723, 466 166, 529 432
   Guinea,324, 201 530, 207 743, 211 832, 228 829, 256 473, 273 042, 312 062
   Guinea-Bissau,624, 27 429, 34 138, 42 477, 45 328, 49 210, 51 546, 60 632
   Liberia,430, 260 639, 267 590, 123 295, 174 000, 109 053, 102 946, 116 235
   Mali,466, 360 541, 451 780, 430 246, 504 937, 563 350, 696 316, 742 057
   Mauritania,478, 75 167, 85 261, 65 705, 63 798, 71 784, 71 355, 80 059
   Niger,562, 94 786, 111 377, 126 966, 183 773, 201 800, 221 615, 236 316
   Nigeria,566, 255 357, 302 154, 352 560, 440 569, 535 088, 682 707, 877 687
   Saint Helena*,654,  386,  887, 1 468, 1 319, 1 510, 1 731, 1 981
   Senegal,686, 230 817, 221 538, 241 858, 286 672, 344 435, 368 123, 430 442
   Sierra Leone,694, 31 967, 230 241, 254 796, 76 684, 62 967, 69 275, 76 143
   Togo,768, 95 239, 148 880, 130 910, 198 960, 210 161, 247 162, 271 522
 ASIA,935,30 220 434,31 337 811,34 677 458,38 928 847,48 356 859,57 068 023,63 957 509
  Central Asia,5500,2 757 747,2 978 669,3 122 316,3 372 771,3 558 067,3 640 447,3 807 379
   Kazakhstan,398,1 427 481,1 557 194,1 652 929,1 736 321,1 778 295,1 810 038,1 934 708
   Kyrgyzstan,417, 252 637, 266 043, 273 034, 315 925, 352 824, 358 754, 368 266
   Tajikistan,762, 264 425, 289 709, 299 119, 327 743, 336 574, 334 196, 337 393
   Turkmenistan,795, 127 429, 119 518, 109 999, 112 625, 112 615, 113 826, 115 596
   Uzbekistan,860, 685 775, 746 205, 787 235, 880 157, 977 759,1 023 633,1 051 416
  Eastern Asia,906,3 588 473,4 108 628,4 618 538,5 350 635,6 119 053,6 820 704,6 898 164
   China*,156,2 197 565,2 555 203,2 924 744,3 547 044,4 094 711,4 769 179,4 768 512
