"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Namibia,516, 6 717, 13 246, 24 519, 33 403, 50 745, 25 368, 24 158
   South Africa,710, 157 979, 197 366, 255 790, 307 131, 376 295, 407 111, 463 263
  Western Africa,914,2 280 171,2 883 514,2 905 043,3 387 975,3 718 723,4 325 945,4 814 242
   Benin,204, 107 062, 126 927, 153 291, 223 485, 242 958, 293 786, 316 489
   Burkina Faso,854, 448 036, 534 295, 563 481, 594 707, 632 559, 669 727, 705 008
   Cabo Verde,132, 48 682, 56 577, 65 495, 75 369, 82 689, 94 739, 102 526
   Côte d'Ivoire,384, 180 707, 220 918, 267 873, 370 683, 476 098, 535 469, 578 079
   Gambia,270, 15 472, 16 237, 19 190, 24 249, 29 575, 36 491, 45 796
   Ghana,288, 183 782, 212 256, 244 307, 310 626, 357 279, 426 087, 474 892
   Guinea,324, 151 233, 158 119, 165 187, 175 848, 199 393, 220 369, 238 728
   Guinea-Bissau,624, 27 977, 33 011, 35 187, 37 518, 42 336, 46 605, 51 158
   Liberia,430, 256 239, 274 705, 125 117, 180 792, 110 086, 102 795, 117 329
   Mali,466, 286 885, 368 784, 342 620, 390 423, 431 482, 532 228, 561 454
   Mauritania,478, 59 311, 66 449, 41 902, 39 309, 42 408, 43 275, 50 167
   Niger,562, 54 991, 65 690, 78 270, 120 313, 134 097, 153 378, 163 391
   Nigeria,566, 191 396, 222 381, 257 570, 376 823, 461 826, 623 819, 792 768
   Saint Helena*,654,  498, 1 320, 2 247, 1 949, 2 097, 2 554, 2 904
   Senegal,686, 139 426, 137 523, 152 750, 183 836, 203 060, 226 384, 263 323
   Sierra Leone,694, 29 886, 227 586, 254 302, 75 202, 63 763, 70 021, 76 343
   Togo,768, 98 588, 160 736, 136 254, 206 843, 207 017, 248 218, 273 887
 ASIA,935,26 736 566,27 810 111,30 656 155,33 877 196,39 765 318,46 309 996,50 953 975
  Central Asia,5500,2 962 145,3 181 190,3 340 029,3 546 128,3 674 228,3 787 585,4 028 125
   Kazakhstan,398,1 544 153,1 737 963,1 901 555,1 981 328,2 019 232,2 075 538,2 269 191
   Kyrgyzstan,417, 269 937, 283 979, 293 281, 336 927, 373 720, 384 087, 406 111
