"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
   South Africa,,710,B R, 18 515, 20 980, 22 796, 24 273, 25 947, 28 049, 30 093
  Western Africa,,914,, 90 223, 102 700, 117 138, 133 553, 152 888, 174 911, 199 581
   Benin,,204,C B R, 2 555, 3 011, 3 483, 4 027, 4 630, 5 306, 6 069
   Burkina Faso,,854,B R, 4 505, 5 147, 5 906, 6 800, 7 868, 9 092, 10 459
   Cabo Verde,,132,B R,  178,  201,  222,  238,  247,  262,  277
   Côte d'Ivoire,,384,C B R, 5 717, 6 831, 7 976, 8 975, 10 106, 11 479, 13 078
   Gambia,,270,B R,  479,  564,  661,  777,  903, 1 051, 1 218
   Ghana,,288,B R, 7 335, 8 433, 9 548, 10 795, 12 246, 13 744, 15 323
   Guinea,,324,C B R, 3 303, 3 786, 4 307, 4 766, 5 334, 5 957, 6 780
   Guinea-Bissau,,624,B R,  504,  562,  620,  696,  785,  891, 1 005
   Liberia,,430,B R, 1 044, 1 028, 1 428, 1 609, 1 943, 2 229, 2 515
   Mali,,466,B R, 4 279, 4 845, 5 518, 6 417, 7 532, 8 719, 10 106
   Mauritania,,478,C R, 1 024, 1 167, 1 322, 1 516, 1 747, 2 019, 2 315
   Niger,,562,B R, 4 102, 4 818, 5 718, 6 841, 8 237, 9 972, 12 036
   Nigeria,,566,C R, 47 316, 53 603, 60 635, 68 744, 78 342, 89 417, 101 670
   Saint Helena*,4,654,C,..,..,..,..,..,..,..
   Senegal,,686,B R, 3 780, 4 380, 4 984, 5 673, 6 506, 7 489, 8 573
   Sierra Leone,,694,B R, 2 187, 2 174, 2 311, 2 841, 3 223, 3 598, 3 996
   Togo,,768,C R, 1 913, 2 147, 2 493, 2 835, 3 236, 3 685, 4 159
 ASIA,,935,,1 577 131,1 707 138,1 828 900,1 942 763,2 054 281,2 164 973,2 267 593
  Central Asia,,5500,, 25 506, 26 963, 28 082, 29 632, 31 787, 34 611, 37 527
   Kazakhstan,,398,B R, 8 432, 8 166, 7 746, 7 984, 8 397, 9 064, 9 664
   Kyrgyzstan,,417,B R, 2 228, 2 314, 2 488, 2 560, 2 743, 3 011, 3 297
   Tajikistan,,762,B R, 2 665, 2 889, 3 103, 3 376, 3 730, 4 189, 4 732
   Turkmenistan,,795,B R, 1 874, 2 136, 2 293, 2 416, 2 585, 2 825, 3 062
   Uzbekistan,,860,B R, 10 307, 11 458, 12 453, 13 297, 14 334, 15 523, 16 772
  Eastern Asia,,906,, 682 053, 717 011, 744 211, 765 487, 785 214, 805 489, 822 614
   China*,,156,C, 573 024, 604 234, 628 363, 647 290, 665 397, 684 340, 701 076
"   China, Hong Kong SAR*",,344,B R, 2 818, 3 032, 3 357, 3 517, 3 690, 3 853, 4 057
"   China, Macao SAR*",,446,B,  174,  199,  223,  253,  280,  313,  337
"   China, Taiwan Province of China*",,158,, 9 945, 10 444, 10 808, 11 212, 11 533, 11 791, 11 982
   Dem. People's Republic of Korea,,408,I, 10 434, 11 204, 11 751, 12 234, 12 554, 12 870, 13 170
   Japan,,392,C, 63 148, 64 176, 64 900, 65 441, 65 668, 65 448, 64 723
   Mongolia,,496,C R, 1 106, 1 160, 1 202, 1 270, 1 371, 1 516, 1 663
   Republic of Korea,,410,C R, 21 404, 22 563, 23 607, 24 270, 24 721, 25 357, 25 603
  South-Eastern Asia,,920,, 222 643, 243 567, 263 521, 281 499, 298 603, 317 352, 334 688
   Brunei Darussalam,,96,B,  122,  142,  164,  179,  188,  199,  210
   Cambodia,,116,B R, 4 641, 5 483, 6 248, 6 831, 7 340, 7 951, 8 557
   Indonesia,,360,B R, 90 317, 98 424, 105 660, 112 697, 120 014, 128 250, 135 806
   Lao People's Democratic Republic,,418,C R, 2 129, 2 430, 2 674, 2 906, 3 150, 3 360, 3 624
   Malaysia*,,458,C R, 8 858, 10 059, 11 376, 12 523, 13 658, 14 686, 15 735
   Myanmar,,104,C, 21 211, 22 550, 24 090, 25 278, 26 202, 27 289, 28 190
   Philippines,,608,C R, 30 627, 34 583, 38 711, 42 940, 46 569, 50 724, 54 552
   Singapore,,702,B, 1 497, 1 736, 1 963, 2 110, 2 456, 2 666, 2 788
   Thailand,,764,B R, 28 540, 29 930, 31 858, 33 242, 34 264, 35 155, 35 834
   Timor-Leste,,626,B R,  365,  418,  438,  493,  541,  592,  652
   Viet Nam,,704,C R, 34 336, 37 812, 40 340, 42 301, 44 221, 46 480, 48 740
  Southern Asia,,5501,, 573 947, 637 756, 702 307, 766 011, 827 111, 884 219, 939 584
   Afghanistan,,4,B R, 6 068, 8 718, 10 090, 12 415, 14 250, 16 727, 18 952
   Bangladesh,,50,B R, 49 956, 55 876, 62 063, 67 814, 72 560, 77 039, 81 430
   Bhutan,,64,B,  258,  261,  289,  309,  325,  344,  362
   India,,356,B R, 420 020, 463 092, 507 188, 550 558, 592 117, 628 929, 662 903
   Iran (Islamic Republic of),,364,C R, 27 622, 30 138, 32 236, 34 273, 36 582, 38 762, 41 585
   Maldives,,462,C,  109,  126,  138,  153,  167,  184,  198
   Nepal,,524,B R, 9 510, 10 673, 12 021, 12 957, 13 717, 14 617, 15 788
   Pakistan,,586,B R, 51 827, 59 792, 68 870, 77 628, 86 998, 96 786, 107 220
   Sri Lanka,,144,B R, 8 578, 9 080, 9 412, 9 907, 10 395, 10 830, 11 146
